Parameter,Unit,Test 1,Test 2,Comment
,,Value,,
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD,,As specified in clause A.3.1.1.2. Note that UE may only be allocated at On Duration
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,,As specified in clause A.3.1.2.2.
Active cell,,Cell 1,,E-UTRAN TDD cell
Neighbour cell,,Cell 2,,UTRAN 1.28Mcps TDD cell
Gap Pattern Id,,0,,As specified in TS 36.133 clause 8.1.2.1.
Uplink-downlink configuration,,1,,As specified in TS 36.211 clause 4.2 Table 4.2-2
Special subframe configuration,,6,,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
PRACH configuration,,4,,As specified in table 5.7.1-3 in TS 36.211
CP length of cell 1,,Normal,,
Ofn,dB,0,,
Thresh,dBm,-83,,Absolute P-CCPCH RSCP threshold for event B1
Hysteresis,dB,0,,
TimeToTrigger,s,0,,
Filter coefficient,,0,,L3 filtering is not used
Access Barring Information,-,Not Sent,,No additional delays in random access procedure.
DRX,,ON,,DRX related parameters are defined in Table A.8.4.2.1-3
Time offset between cells,,3 ms,,Asynchronous cells
T1,s,5,,
T2,s,8,30,
