Parameter,Unit,Cell 1,,
,,T1,T2,
E-UTRA RF Channel Number,,1,,
BWchannel,,5MHz: NRB = 2510MHz: NRB = 50,,
Uplink-downlink configuration of cell 1 as specified in table 4.2.2 in TS 36.211,,1,,
Special subframe configuration of cell 1 as specified in table 4.2.1 in TS 36.211,,6,,
PDSCH parameters: DL Reference Measurement Channel as specified in clause A.3.1.1.2,,5MHz: R.4 TDD10MHz: R.0 TDD,,
PCFICH/PDCCH/PHICH parameters: DL Reference Measurement Channel as specified in clause A.3.1.2.2,,5MHz: R.11 TDD10MHz:R.6 TDD,,
OCNG Pattern defined in A.3.2.2.1 and A.3.2.2.9,,5MHz: OP.9 TDD10MHz:OP.1 TDD,,
PBCH_RA,dB,0,,
PBCH_RB,dB,,,
PSS_RA,dB,,,
SSS_RA,dB,,,
PCFICH_RB,dB,,,
PHICH_RA,dB,,,
PHICH_RB,dB,,,
PDCCH_RA,dB,,,
PDCCH_RB,dB,,,
PDSCH_RA,dB,,,
PDSCH_RB,dB,,,
OCNG_RANote 1,dB,,,
OCNG_RBNote 1,dB,,,
,dBm/15 kHz,-98,,
,dB,4,,4
Note 3,dB,4,,4
RSRP Note 3,dBm/15 kHz,-94,,-94
SCH_RP Note 3,dBm/15 kHz,-94,,-94
Io Note 3,dBm/Ch BW,"-64.70+10log(NRB,c /50)",,"-64.70+10log(NRB,c /50)"
Propagation Condition,,ETU70,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Es/Iot, RSRP, SCH_RP and Io have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,
