Parameter,Unit,Cell 1,,,,Cell 2,,,,Cell 3,,,,Cell 4,,,
,,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4
E-UTRA RF Channel Number,,1,,,,2,,,,3,,,,4,,,
BWchannel,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,
PDSCH parameters:DL Reference Measurement Channel,,5MHz: R.7 FDD 10MHz: R.3 FDD20MHz: R.6 FDD5MHz: R.4 TDD 10MHz: R.0 TDD20MHz: R.3 TDD,,,,N/A,N/A,N/A,5MHz: R.7 FDD 10MHz: R.3 FDD20MHz: R.6 FDD5MHz: R.4 TDD 10MHz: R.0 TDD20MHz: R.3 TDD,N/A,,,,N/A,,,
PCFICH/PDCCH/PHICH parameters,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,,
OCNG Pattern defined in A.3.2.1,,5MHz: OP.20 FDD 10MHz: OP.10 FDD20MHz: OP.17 FDD5MHz: OP.9 TDD 10MHz: OP.1 TDD20MHz: OP.7 TDD,,,,5MHz: OP.19 FDD 10MHz: OP.6 FDD20MHz: OP.14 FDD5MHz: OP.10 TDD 10MHz: OP.2 TDD20MHz: OP.8 TDD,5MHz: OP.19 FDD 10MHz: OP.6 FDD20MHz: OP.14 FDD5MHz: OP.10 TDD 10MHz: OP.2 TDD20MHz: OP.8 TDD,5MHz: OP.19 FDD 10MHz: OP.6 FDD20MHz: OP.14 FDD5MHz: OP.10 TDD 10MHz: OP.2 TDD20MHz: OP.8 TDD,5MHz: OP.20 FDD 10MHz: OP.10 FDD20MHz: OP.17 FDD5MHz: OP.9 TDD 10MHz: OP.1 TDD20MHz: OP.7 TDD,5MHz: OP.16 FDD 10MHz: OP.2 FDD20MHz: OP.12 FDD5MHz: OP.10 TDD 10MHz: OP.2 TDD20MHz: OP.8 TDD,,,,5MHz: OP.16 FDD 10MHz: OP.2 FDD20MHz: OP.12 FDD5MHz: OP.10 TDD 10MHz: OP.2 TDD20MHz: OP.8 TDD,,,
PBCH_RA,dB,0,,,,0,,,,0,,,,0,,,
PBCH_RB,dB,,,,,,,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,,,,,,,
Note 3,dBm/15 kHz,-101,,,,-101,,,,-101,,,,-101,,,
,dB,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Note 4,dB,16,16,16,16,16,16,16,16,16,-0.11,16,-0.11,16,-0.11,16,-0.11
RSRP Note 4,dBm/15 kHz,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,85,-85,85,-85
SCH_RP Note 4,dBm/15 kHz,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,85,-85,85,-85
Io Note 4,dBm/Ch BW,"-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-54.15+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-54.15+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-54.15+10log(NRB,c /50)","-57.11+10log(NRB,c /50)","-54.15+10log(NRB,c /50)"
Propagation Condition,,AWGN,,,,AWGN,,,,AWGN,,,,AWGN,,,
Antenna Configuration,,1x2,,,,1x2,,,,1x2,,,,1x2,,,
Timing offset to Cell 1,s,-,,,,0,,,,0,,,,0,,,
Time alignment error relative to cell 1Note 5,s,-,,,,≤ TAE,,,,≤ TAE,,,,≤ TAE,,,
Time alignment error relative to cell 2 Note 5,s,-,,,,-,,,,≤ TAE,,,,≤ TAE,,,
Time alignment error relative to cell 3 Note 5,s,-,,,,-,,,,-,,,,≤ TAE,,,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE on cell1 from the start of time period T2 and on cell2 from the start of time period T4.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:Time alignment error (TAE) as specified in TS 36.104 [30] clause 6.5.3.1. The TAE value depends upon the type of carrier aggregation.",,,,,,,,,,,,,,,,,
