Parameter,Unit,Cell 1,,,,,Cell 2,,,,,
,,T1,T2,T3,T4,T5,T1,T2,T3,,T4,T5
E-UTRA RF Channel Number,,1,,,,,2,,,,,
Special subframe configuration,,6,,,,,N/A,,,,,
Uplink-downlink configuration,,1,,,,,N/A,,,,,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,,,
PDSCH parameters: DL Reference Measurement Channel,,5MHz: R.4 TDD 10MHz: R.0 TDD20MHz: R.3 TDD,,,,,-,,,,,
PCFICH/PDCCH/PHICH parameters: DL Reference Measurement Channel,,5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,,,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD,,,,,
OCNG Patterns,,5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,,,,,5MHz: OP.16 FDD10MHz: OP.2 FDD20MHz: OP.12 FDD,,,,,
PBCH_RA,dB,0,,,,,0,,,,,
PBCH_RB,dB,,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,,
NocNote 2,dBm/15 kHz,-101,,,,,N/A,-85,,,,
Ês/Noc,dB,19,19,19,19,19,-infinity,0,,0,0,0
Ês/Iot,dB,19,19,19,19,19,infinity,0,,0,0,0
RSRP Note 3,dBm/15 kHz,-82,-82,-82,-82,-82,-infinity,-85,,-85,-85,-85
SCH_RP Note 3,dBm/15 kHz,-82,-82,-82,-82,-82,-infinity,-85,,-85,-85,-85
Io Note 3,dBm/Ch BW,"-54.16+10log(NRB,c /50)","-54.16+10log(NRB,c /50)","-54.16+10log(NRB,c /50)","-54.16+10log(NRB,c /50)","-54.16+10log(NRB,c /50)",N/A,"-54.21+10log(NRB,c /50)",,"-54.21+10log(NRB,c /50)","-54.21+10log(NRB,c /50)","-54.21+10log(NRB,c /50)"
Propagation Condition,,AWGN,,,,,AWGN,,,,,
Antenna Configuration,,1x2,,,,,1x2,,,,,
Receive time offset to cell1 Note 4,s,-,,,,,33,,,,,
PRACH configuration IndexNote 5,,56,,,,,2,,,,,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:Ês/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:Receive time difference between subframe boundaries of signals received from the two cells at the UE antenna connector including time alignment error between the two cells.Note 5:As specified in table 5.7.1-2 in TS 36.211.Note 6:The uplink resources for CSI reporting are assigned to the UE prior to the start of time period T4.",,,,,,,,,,,,
