Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,2,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",
PDSCH parameters:DL Reference Measurement Channel,,5MHz: R.5 FDD 10MHz: R.0 FDD20MHz: R.4 FDD,,5MHz: R.5 FDD 10MHz: R.0 FDD20MHz: R.4 FDD,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD,,5MHz: R.11 FDD 10MHz: R.6 FDD20MHz: R.10 FDD,
OCNG Patterns,,5MHz: OP.15 FDD 10MHz: OP.1 FDD20MHz: OP.11 FDD,,5MHz: OP.15 FDD 10MHz: OP.1 FDD20MHz: OP.11 FDD,
PBCH_RA,dB,0,,0,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_PB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_PB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
Note 2,dBm/15 KHz,-104,,-104,
,dB,-3,-3,-3,-3
,dB,-3,-3,-3,-3
RSRP Note 3,dBm/15 KHz,-107,-107,-107,-74.28
SCH_RP Note 3,dBm/15 KHz,-107,-107,-107,-107
Io Note 3,dBm/Ch BW,"-74.45+10log(NRB,c /50)","-74.45+10log(NRB,c /50)","-74.45+10log(NRB,c /50)","-74.45+10log(NRB,c /50)"
Propagation Condition,,ETU70,,ETU70,
Correlation Matrix and Antenna Configuration,,1x2 Low,,1x2 Low,
Receive Time offset to cell1 Note 4,s,-,,33,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:Receive time difference between subframe boundaries of signals received from the two cells at the UE antenna connector including time alignment error between the two cells.",,,,,
