Parameter,Unit,Cell 1,,,Cell 2,,,Cell 3,,
,,T1,T2,T3,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,2,,,,,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 505MHz: NRB,c = 25",,,"5MHz: NRB,c = 2510MHz: NRB,c = 505MHz: NRB,c = 25",,,"5MHz: NRB,c = 2510MHz: NRB,c = 505MHz: NRB,c = 25",,
PDSCH parameters:,,5MHz: R.4 TDD10MHz: R.0 TDD20MHz: R.3 TDD,,,5MHz: R.4 TDD10MHz: R.0 TDD20MHz: R.3 TDD,,,-,,
PCFICH/PDCCH/PHICH parameters:,,5MHz: R.11 TDD10MHz: R.6 TDD20MHz: R.10 TDD,,,5MHz: R.11 TDD10MHz: R.6 TDD20MHz: R.10 TDD,,,5MHz: R.11 TDD10MHz: R.6 TDD20MHz: R.10 TDD,,
OCNG Patterns defined in A.3.2.2,,5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,,,5MHz: OP.9 TDD10MHz: OP.1 TDD20MHz: OP.7 TDD,,,5MHz: OP.10 TDD10MHz: OP.2 TDD20MHz: OP.8 TDD,,
PBCH_RA,dB,0,,,0,,,0,,
PBCH_RB,dB,,,,,,,,,
PSS_RA,dB,,,,,,,,,
SSS_RA,dB,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,
PHICH_RA,dB,,,,,,,,,
PHICH_PB,dB,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,
PDCCH_PB,dB,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,
Note 2,dBm/15 KHz,-98,,,-98,,,,,
,dB,8,8,8,8,8,8,-Infinity,11,11
Note 3,dB,8,8,8,8,-3.3,-3.3,-Infinity,2.36,2.36
RSRP Note 3,dBm/15 KHz,-90,-90,-90,-90,-90,-90,-Infinity,-87,-87
SCH_RP Note3,dBm/15 KHz,-90,-90,-90,-90,-90,-90,-Infinity,-87,-87
Io Note 3,dBm/Ch BW,"-61.58 +10log(NRB,c /50)","-61.58 +10log(NRB,c /50)","-61.58 +10log(NRB,c /50)","-61.58 +10log(NRB,c /50)","-57.23 +10log(NRB,c /50)","-57.23 +10log(NRB,c /50)",Specified in columns for Cell 2,,
Propagation Condition,,AWGN,,,AWGN,,,AWGN,,
Correlation Matrix and Antenna Configuration,,1x2 Low,,,1x2 Low,,,1x2 Low,,
Time offset to cell1,s,-,,,33,,,3,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:, RSRP, Io and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,,,,
