Parameter,Unit,Cell 1,,Cell 2,,Cell 3,
,,T1,T2,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,2,,2,
BWchannel,MHz,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,20,,20,
Uplink-downlink configurationNote1,,1,,-,,-,
Special subframe configurationNote2,,6,,-,,-,
Measurement bandwidth,,5MHz: 10-1510MHz: 22-2720MHz: 47-52,,47-52,,47-52,
PDSCH parameters defined in A.3.1.1.2,,5MHz: R.4 TDD 10MHz: R.0 TDD20MHz: R.3 TDD,,-,,-,
PCFICH/PDCCH/PHICH parameters defined in A.3.1.2.2,,5MHz: R.11 TDD 10MHz: R.6 TDD20MHz: R.10 TDD,,-,,-,
OCNG Patterns defined in A.3.2.1 and A.3.2.2,,5MHz: OP.9 TDD 10MHz: OP.1 TDD20MHz: OP.7 TDD,,OP.14 FDD,,OP.14 FDD,
IE allowInterruptions,,True,,-,,-,
PBCH_RA,dB,0,,0,,0,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 3,dB,,,,,,
OCNG_RBNote 3,dB,,,,,,
Note 5,dBm/15 kHz,-98,,-98,,,
,dB,13,13,13,13,-Infinity,13
RSRP Note 6,dBm/15 kHz,-85,-85,-85,-85,-Infinity,-85
Note 6,dB,13,13,13,-0.21,-Infinity,-0.21
SCH_RP Note 6,dBm/15 kHz,-85,-85,-85,-85,-Infinity,-85
Io Note6,dBm/Ch BW,"-57.01+10log(NRB,c /50)",,-54.00,-51.09,Specified in columns for Cell 2,
Propagation Condition,,AWGN,,AWGN,,AWGN,
Antenna Configuration,,1x2,,1x2,,1x2,
timing offset to cell1,μs,-,,0,,0,
timing offset to cell2,μs,,,-,,0,
Time alignment error relative to cell 1 Note 7,s,-,,≤ TAE,,≤ TAE,
Time alignment error relative to cell 2 Note 7,s,,,-,,≤ TAE,
"Note 1:For the uplink-downlink configuration see table 4.2-2 in TS 36.211.Note 2:For the special subframe configuration see table 4.2-1 in TS 36.211.Note 3:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 5:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 6:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 7:Time alignment error (TAE) as specified in TS 36.104 [30] clause 6.5.3.1.",,,,,,,
