Parameter,,,Unit,,Cell 1,,Cell 2,,Cell 3,,Cell 4,,Cell 5,
E-UTRA RF Channel Number,,,,,1,,2,,,,3,,,
Duplex mode,,,,,FDD or TDD,,FDD or TDD,,,,FDD or TDD,,,
BWchannel,,,MHz,,"5MHz:NRB,c = 2510MHz: NRB,c = 5020MHz:NRB,c = 100",,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,,"5MHz: NRB,c = 2510MHz: NRB,c = 5020MHz: NRB,c = 100",,,
TDD Special subframe configurationNote1,,,,,6,,6,,,,6,,,
TDD Uplink/downlink configurationNote1,,,,,1,,1,,,,1,,,
Measurement bandwidth,,,,,5MHz: 10-1510MHz: 22-2720MHz: 47-52,,5MHz: 10-1510MHz: 22-2720MHz: 47-52,,,,5MHz: 10-1510MHz: 22-2720MHz: 47-52,,,
PDSCH Reference measurement channel defined in A.3.1.1.,,,,,5MHz FDD:R.5 FDD 10MHz FDD:R.0 FDD20MHz FDD:R.4 FDD5MHz TDD:R.4 TDD 10MHz TDD:R.0 TDD20MHz TDD:R.3 TDD,,5MHz FDD:R.5 FDD 10MHz FDD:R.0 FDD20MHz FDD:R.4 FDD5MHz TDD:R.4 TDD 10MHz TDD:R.0 TDD20MHz TDD:R.3 TDD,,-,,5MHz FDD:R.5 FDD 10MHz FDD:R.0 FDD20MHz FDD:R.4 FDD5MHz TDD:R.4 TDD 10MHz TDD:R.0 TDD20MHz TDD:R.3 TDD,,-,
PDSCH allocation,,,,,5MHz: 7-1710MHz: 13-3620MHz: 38-61,,5MHz: 7-1710MHz: 13-3620MHz: 38-61,,-,,5MHz: 7-1710MHz: 13-3620MHz: 38-61,,-,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.,,,,,5MHz FDD:R.11 FDD10MHz FDD:R.6 FDD20MHz FDD:R.10 FDD5MHz TDD:R.11 TDD10MHz TDD:R.6 TDD20MHz TDD:R.10 TDD,,5MHz FDD:R.11 FDD10MHz FDD:R.6 FDD20MHz FDD:R.10 FDD5MHz TDD:R.11 TDD10MHz TDD:R.6 TDD20MHz TDD:R.10 TDD,,5MHz FDD:R.11 FDD10MHz FDD:R.6 FDD20MHz FDD:R.10 FDD5MHz TDD:R.11 TDD10MHz TDD:R.6 TDD20MHz TDD:R.10 TDD,,5MHz FDD:R.11 FDD10MHz FDD:R.6 FDD20MHz FDD:R.10 FDD5MHz TDD:R.11 TDD10MHz TDD:R.6 TDD20MHz TDD:R.10 TDD,,5MHz FDD:R.11 FDD10MHz FDD:R.6 FDD20MHz FDD:R.10 FDD5MHz TDD:R.11 TDD10MHz TDD:R.6 TDD20MHz TDD:R.10 TDD,
OCNG Patterns defined in A.3.2.,,,,,5MHz FDD:OP.15 FDD10MHz FDD:OP.1 FDD20MHz FDD:OP.11 FDD5MHz TDD:OP.9 TDD10MHz TDD:OP.1 TDD20MHz TDD:OP.7 TDD,,5MHz FDD:OP.15 FDD10MHz FDD:OP.1 FDD20MHz FDD:OP.11 FDD5MHz TDD:OP.9 TDD10MHz TDD:OP.1 TDD20MHz TDD:OP.7 TDD,,5MHz FDD:OP.16 FDD 10MHz FDD:OP.2 FDD20MHz FDD:OP.12 FDD5MHz TDD:OP.10 TDD10MHz TDD:OP.2 TDD20MHz TDD:OP.8 TDD,,5MHz FDD:OP.15 FDD10MHz FDD:OP.1 FDD20MHz FDD:OP.11 FDD5MHz TDD:OP.9 TDD10MHz TDD:OP.1 TDD20MHz TDD:OP.7 TDD,,5MHz FDD:OP.16 FDD 10MHz FDD:OP.2 FDD20MHz FDD:OP.12 FDD5MHz TDD:OP.10 TDD10MHz TDD:OP.2 TDD20MHz TDD:OP.8 TDD,
PBCH_RA,,,dB,,0,,0,,0,,0,,0,
PBCH_RB,,,,,,,,,,,,,,
PSS_RA,,,,,,,,,,,,,,
SSS_RA,,,,,,,,,,,,,,
PCFICH_RB,,,,,,,,,,,,,,
PHICH_RA,,,,,,,,,,,,,,
PHICH_RB,,,,,,,,,,,,,,
PDCCH_RA,,,,,,,,,,,,,,
PDCCH_RB,,,,,,,,,,,,,,
PDSCH_RA,,,,,,,,,,,,,,
PDSCH_RB,,,,,,,,,,,,,,
OCNG_RANote2,,,,,,,,,,,,,,
OCNG_RBNote2,,,,,,,,,,,,,,
Note3,Bands TDD_A,,dBm/15 kHz,,-117,,( for Channel 1 +1dB),,,,( for Channel 1 +1dB),,,
,Bands TDD_C,,,,-116,,,,,,,,,
,Bands TDD_E,,,,-115,,,,,,,,,
,Bands FDD_A,,,,-117,,,,,,,,,
,"Bands FDD_B1, FDD_B2 Note 10",,,,-116.5,,,,,,,,,
,Bands FDD_C,,,,-116,,,,,,,,,
,Bands FDD_D,,,,-115.5,,,,,,,,,
,"Bands FDD_E, FDD_F Note 7",,,,-115,,,,,,,,,
,Bands FDD_G,,,,-114,,,,,,,,,
,Bands FDD_H,,,,-113.5,,,,,,,,,
,,,dB,,-4,,3,,-1,,3,,-1,
,,,dB,,-4,,0.46,,-5.76,,0.46,,-5.76,
RSRPNote4,Bands TDD_A,,dBm/15 kHz,,-121,,(RSRP for Cell 1 +8dB),,(RSRP for Cell 1 +4dB),,(RSRP for Cell 1 +8dB),,(RSRP for Cell 1 +4dB),
,Bands TDD_C,,,,-120,,,,,,,,,
,Bands TDD_E,,,,-119,,,,,,,,,
,Bands FDD_A,,,,-121,,,,,,,,,
,"Bands FDD_B1, FDD_B2 Note 10",,,,-120.5,,,,,,,,,
,Bands FDD_C,,,,-120,,,,,,,,,
,Bands FDD_D,,,,-119.5,,,,,,,,,
,"Bands FDD_E, FDD_F Note 7",,,,-119,,,,,,,,,
,Bands FDD_G,,,,-118,,,,,,,,,
,Bands FDD_H,,,,-117.5,,,,,,,,,
IoNote4,Bands TDD_A,,dBm/ BWchannel,,"-87.76+10log(NRB,c/50)",,(Io for Channel 1 +5.33dB +10log(NRB channel2 / NRB channel 1)),,,,(Io for Channel 1 +5.33dB +10log(NRB channel3 / NRB channel 1)),,,
,Bands TDD_C,,,,"-86.76+10log(NRB,c/50)",,,,,,,,,
,Bands TDD_E,,,,"-85.76+10log(NRB,c/50)",,,,,,,,,
,Bands FDD_A,,,,"-87.76+10log(NRB,c/50)",,,,,,,,,
,"Bands FDD_B1, FDD_B2 Note 10",,,,"-87.26+10log(NRB,c/50)",,,,,,,,,
,Bands FDD_C,,,,"-86.76+10log(NRB,c/50)",,,,,,,,,
,Bands FDD_D,,,,"-86.26+10log(NRB,c/50)",,,,,,,,,
,"Bands FDD_E, FDD_F Note 7",,,,"-85.76 +10log(NRB,c/50)",,,,,,,,,
,Bands FDD_G,,,,"-84.76 +10log(NRB,c/50)",,,,,,,,,
,Bands FDD_H,,,,"-84.26 +10log(NRB,c/50)",,,,,,,,,
Propagation condition,,,-,,AWGN,,AWGN,,AWGN,,AWGN,,AWGN,
Antenna Configuration,,,-,,1x2,,1x2,,1x2,,1x2,,1x2,
Timing offset to cell 1,,,s,,-,,0,,3,,0,,3,
Time alignment error relative to cell 1 Note 8,,,,,-,,TAE,,-,,TAE,,-,
Time alignment error relative to cell 2Note 8,,,,,-,,-,,-,,TAE,,-,
