Parameter,Unit,Cell 1,Cell 2
E-UTRAN RF Channel Number,,1,1
Channel bandwidth (BWchannel),MHz,10,10
PDSCH Reference measurement channel defined in A.3.1.1.1,,R.0 FDD,N/A
PDSCH allocation,,13—36,N/A
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1,,R.6 FDD,N/A
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.6 (OP.6 FDD),,OP.5 FDD,OP.6 FDD
PBCH_RA,dB,0,Non-ABS and ABS subframe channel powers defined in Table A.3.4.1.1-1.
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote1,dB,,
OCNG_RBNote1,dB,,
Note 2,dBm/15 kHz,-98,-98
CRS,dB,-3,1
CRS  Note 3,dB,-3,-0.76
CRS  Note 3,dB,-6.54,-0.76
RSRP Note 4,dBm/15 kHz,-101,-97
Note 4,dBm/9 MHz,-67.89,-67.89
Note 4,dBm/9 MHz,-65.81,-65.81
Propagation condition,,AWGN,
"NOTE 1:OCNG shall be used such that the resources in the active cell are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled. Applies to all subframes.Note 3:is calculated in CRS REs in the subframes indicated for PCell measurements by measurement resource restriction pattern, whilst  is calculated in CRS REs in the subframes not indicated for PCell measurements by measurement resource restriction paattern.Note 4:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.  is calculated in CRS symbols in the subframes indicated for PCell measurements by measurement resource restriction pattern, whilst   is calculated in CRS symbols in the subframes not indicated for PCell measurements by measurement resource restriction pattern.",,,
