Field,Test 1,Comment
srsBandwidthConfiguration,bw5,
srsSubframeConfiguration,sc1,
ackNackSrsSimultaneousTransmission,FALSE,
srsMaxUpPTS,N/A,Not applicable for FDD
srsBandwidth,0,No hopping
srsHoppingBandwidth,hbw0,
frequencyDomainPosition,0,
Duration,TRUE,Indefinite duration
Srs-ConfigurationIndex,0,SRS periodicity of 2ms for all Tests.
transmissionComb,0,
cyclicShift,cs0,No cyclic shift
SRS-AntennaPort,an1,Number of antenna ports used for SRS transmission
Note:For further information see clause 6.3.2 in TS 36.331.,,
