Parameter,Unit,Test 1
E-UTRAN RF Channel Number,,1
Channel Bandwidth (BWchannel),MHz,10
Special subframe configurationNote1,,6
Uplink-downlink configurationNote2,,1
DRX,,OFF
PRACH Configuration,,PRACH_4CE  As specified in A.3.16
MPDCCH Reference measurement channelNote3,,R.14 TDD
OCNG PatternNote4,,OP.11 TDD
PBCH_RA,dB,0
PBCH_RB,dB,
PSS_RA,dB,
SSS_RA,dB,
PHICH_RA,dB,
PHICH_RB,dB,
MPDCCH_RA,dB,
MPDCCH_RB,dB,
OCNG_RANote5,dB,
OCNG_RBNote5,dB,
,dBm/15 kHz,-98
,dB,3
,dB,3
IoNote6,dBm/9 MHz,-65.5
Propagation Condition,,AWGN
"Note 1:For the special subframe configuration see table 4.2-1 in TS 36.211.Note 2:For the uplink-downlink configuration see table 4.2-2 in TS 36.211.Note 3:For the reference measurement channels, see clause A.3.1.Note 4:For the OCNG pattern, see clause A.3.2.Note 5:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 6:Io level has been derived from other parameters for information purpose. It is not a settable parameter.",,
