Parameter,Unit,Value,Comment
PCFICH/PDCCH/PHICH parameters,,R.6 TDD,As specified in clause A.3.1.2.2
OCNG Patterns defined in A.3.2.2,,OP.2 TDD,OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols (other than those in the PRS subframes). There is no PDSCH allocated in the subframe transmitting PRS.
Assistance data reference cell,,Cell 2,Cell 2 is the SCell on RF channel number 2
PCell,,Cell 1,Cell 1 on RF channel number 1
Neighbour cell,,Cell 3,Cell 3 on RF channel number 2
E-UTRA RF Channel Number,,"1,2",Two TDD carrier frequencies are used.
Channel Bandwidth (BWchannel),MHz,10,
PRS Bandwidth,RB,50,PRS Bandwidthbandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24].
Number of  consecutive positioning downlink subframes,,1,As defined in TS 36.211
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells.
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211 and table 8.1.2.5.2-2. The same configuration in both cells.
prs-MutingInfo,,Cell1:‘11110000’Cell2:‘11110000’Cell3:’11110000’,See clause 6.5.1.2 in TS 36.355 for more information
Cell ID,,(Cell ID of cell 2 – Cell ID of cell 3) mod 6 = 3,PCI of cell 1 is selected randomly.
expectedRSTD,s,Cell 3:-2 Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
expectedRSTDUncertainty for all neighbour cells,s,5,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
CP length,,Normal,
DRX,,OFF,
Radio frame receive time offset between the cells at the UE antenna connector,s,Cell 1 to Cell 2: -1Cell 3 to Cell 2:1,PRS are transmitted from synchronous cells
Time alignment error between cell2 and cell1,s,Time alignment error as specified in 3GPP TS 36.104 [30] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
Number of cells provided in OTDOA assistance data,,16,"The list includes the assistance-data-reference cell (received in OTDOA-ReferenceCellInfo [24]) and 15 other cells, all received in OTDOA-ProvideAssistanceData [24]. All cells provided in OTDOA assistance data are on RF channel 2."
,ms,2560,Derived according to the RSTD measurement requirements specified in Clause 8.1.2.5.2
