Parameter,,Unit,Value,Comment
NB-IOT operational mode,,,Standalone,
Satellite information,Config 1,,SSC.1 for nCell1NSC.1 for nCell2,GSO
,"Config 2,3",,SSC.2 for nCell1NSC.2 for nCell2,NGSO
Initial condition,Active cell,,nCell1,
,Neighbour cells,,nCell2,
T2 end condition,Active cell,,nCell2,
,Neighbour cells,,nCell1,
Final condition,Visited cell,,nCell1,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T0,,s,5,"During T0, UE decodes SIB3-NB and SIB5-NB to acquire the inter-frequency carrier information."
T1,,s,>7,"During T1, nCell2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that nCell2 has not been detected by the UE prior to the start of period T2"
T2,,s,60,T2 is defined so that cell re-selection time is taken into account.
T3,,s,15,T3 is defined so that cell re-selection time is taken into account.
