Parameter,Unit,nCell 1,,,,,,,
,,T1,dT,T2,dT,,T3,dT,T4
NB-IoT Channel Bandwidth (BWchannel),kHz,200,,,,,,,
OCNG Pattern as defined in  A.3.2.3.3 Note 1,,"Config 1, Config 2",,,,NOP.3 FDD,,,
,,Config 3,,,,NOP.4.TDD,,,
NPDCCH parameters as defined in A.3.1.6.3,,R.30  HD-FDD,,,,,,,
NPBCH_RA,dB,0,,,,,,,
NPBCH_RB,dB,,,,,,,,
NPSS_RA,dB,,,,,,,,
NSSS_RA,dB,,,,,,,,
NPDCCH_RA,dB,,,,,,,,
NPDCCH_RB,dB,,,,,,,,
NPDSCH_RA,dB,,,,,,,,
NPDSCH_RB,dB,,,,,,,,
OCNG_RA Note 1,dB,,,,,,,,
OCNG_RB Note 1,dB,,,,,,,,
,dBm/15 KHz,-98,,,,,,,
"SNR Note 4,5 (Config 1 and Config 2)",-,-3.1,Note 6,-9.1,Note 7,,-14.1,Note 6,-3.1
"SNR Note 4,5 (Config 3)",-,7,Note 6,-1,Note 7,,-8,Note 6,7
Propagation Condition,-,AWGN,,,,,,,
Antenna Configuration,-,1x1,,,,,,,
"Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. The OCNG pattern is chosen during the test according to the presence of a DL reference measurement channel.Note 2:VoidNote 3:VoidNote 4:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 5:The SNRs in time periods T1, T2, T3 and T4 are denoted as SNR1, SNR2, SNR3 and SNR1 respectively in figure A.13.4.3.7.1-1.Note 6:The Test system shall reduce its transmit power in steps of ((SNR2-SNR1) / (10*dT)) dB every 100ms until SNR2 is achieved at the end of dT.Note 7:The Test system shall reduce its transmit power in steps of ((SNR3-SNR2) / (10*dT)) dB every 100ms until SNR3 is achieved at the end of dT.Note 8:The Test system shall increase its transmit power in steps of ((SNR1-SNR3) / (10*dT)) dB every 100ms until SNR1 is achieved at the end of dT.",,,,,,,,,
