Change history,,,,,,,
Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version
2016-03,RAN#71,RP-160359,210,-,F,Alignment eD2D CR for 36.211,13.1.0
2016-03,RAN#71,RP-160367,212,-,F,Clarification on PDSCH collision with PSS/SSS/PBCH,13.1.0
2016-03,RAN#71,RP-160357,213,-,F,Correction on support of CA with up to 32 CCs,13.1.0
2016-03,RAN#71,RP-160357,214,-,F,Correction on PUCCH format 4 and 5,13.1.0
2016-03,RAN#71,RP-160360,217,-,F,Correction on DRS subframe in 36.211,13.1.0
2016-03,RAN#71,RP-160360,218,-,F,Correction on EPDCCH start symbol in LAA,13.1.0
2016-03,RAN#71,RP-160360,219,-,F,Correction to MBSFN subframe configuration,13.1.0
2016-03,RAN#71,RP-160358,220,-,F,CR on CSI-RS configuration for more than eight antenna ports in 36.211,13.1.0
2016-03,RAN#71,RP-160358,221,-,F,CR on mismatch between 36.211 and 36.331,13.1.0
2016-03,RAN#71,RP-160358,222,-,F,Clarification on additional SC-FDMA symbols in UpPTS for SRS,13.1.0
2016-03,RAN#71,RP-160358,223,-,F,Correction on Precoding and definition of DMRS ports,13.1.0
2016-03,RAN#71,RP-160361,207,9,B,Introduction of LC/CE MTC,13.1.0
2016-06,RAN#72,RP-161063,216,2,F,CR on CSI-RS transmission in DwPTS,13.2.0
2016-06,RAN#72,RP-161067,224,8,B,Introduction of NB-IoT,13.2.0
2016-06,RAN#72,RP-161066,229,2,F,Collision between PSS/SSS/PBCH and MPDCCH/PDSCH for MTC,13.2.0
2016-06,RAN#72,RP-161066,230,-,F,DMRS initialization of CSS for MTC,13.2.0
2016-06,RAN#72,RP-161066,231,-,F,Missing words in PRACH starting subframe paragraph for MTC,13.2.0
2016-06,RAN#72,RP-161065,232,-,F,Correction to EPDCCH procedures for LAA FS 3,13.2.0
2016-06,RAN#72,RP-161063,233,-,F,Clarification on PDSCH mapping to resource elements,13.2.0
2016-06,RAN#72,RP-161063,234,-,F,CR on CSI-RS description in TS 36.211,13.2.0
2016-06,RAN#72,RP-161065,235,-,F,Corrections on the support of ending partial subframe in LAA,13.2.0
2016-06,RAN#72,RP-161063,236,-,F,Clarification of CSI-RS on extended CP,13.2.0
2016-06,RAN#72,RP-161063,237,-,F,Correction on description about UpPTS length for preamble format 4 for PRACH,13.2.0
2016-06,RAN#72,RP-161066,238,-,F,Correction to TS 36.211 for eMTC,13.2.0
2016-06,RAN#72,RP-161066,239,-,F,Narrow band hopping,13.2.0
2016-06,RAN#72,RP-161066,240,1,F,CR on MPDCCH format for Rmax=1 and 2/4 PRBs,13.2.0
2016-06,RAN#72,RP-161066,241,1,F,Correction on RE mapping in MBSFN subframe for BL/CE UEs in CEModeB,13.2.0
2016-06,RAN#72,RP-161063,242,-,F,Correction on the description about DMRS,13.2.0
2016-06,RAN#72,RP-161066,243,-,F,CR for TS36.211 related to 2+4 PRB set,13.2.0
2016-06,RAN#72,RP-161065,244,-,F,CR on UE assumptions on number of CRS ports in DRS,13.2.0
2016-06,RAN#72,RP-161066,245,-,F,Some corrections for eMTC,13.2.0
2016-06,RAN#72,RP-161066,247,-,F,Clarification of MPDCCH over empty CRS tones in PBCH repetition,13.2.0
2016-06,RAN#72,RP-161066,248,-,F,Scrambling sequence initialization,13.2.0
2016-06,RAN#72,RP-161066,249,-,F,On MPDCCH AL for 8 EREGs per ECCE in TS 36.211,13.2.0
2016-06,RAN#72,RP-161066,250,-,F,Overriding of valid-invalid subframes for R=1,13.2.0
2016-06,RAN#72,RP-161066,251,-,F,Scrambling Sequence for paging MPDCCH and PDSCH,13.2.0
2016-06,RAN#72,RP-161066,252,-,F,Scrambling sequence initialization for PDSCH,13.2.0
2016-09,RAN#73,RP-161563,253,-,F,Correction on DMRS for NB-IoT in TS 36.211,13.3.0
2016-09,RAN#73,RP-161563,254,1,F,Correction on NPRACH in TS 36.211,13.3.0
2016-09,RAN#73,RP-161563,255,-,F,Correction on SC-FDMA signal generation for NB-IoT in TS 36.211,13.3.0
2016-09,RAN#73,RP-161563,256,-,F,Corrections to RRC parameter names for NB-IoT in TS 36.211,13.3.0
2016-09,RAN#73,RP-161562,259,-,F,MPDCCH search-space with Temporary C-RNTI,13.3.0
2016-09,RAN#73,RP-161563,260,-,F,Correction on NPBCH in TS 36.211,13.3.0
2016-09,RAN#73,RP-161563,261,1,F,Correction on UL collisions in TS 36.211,13.3.0
2016-09,RAN#73,RP-161563,262,1,F,Correction on NPSS mapping in TS 36.211,13.3.0
2016-09,RAN#73,RP-161563,263,1,F,Corrections on the presence of NRS for standalone and guard band operation mode in TS 36.211,13.3.0
2016-09,RAN#73,RP-161561,264,-,F,Correction on the determination of EPDCCH starting position,13.3.0
2016-09,RAN#73,RP-161563,265,-,F,Corrections on NPDCCH scrambling in TS 36.211,13.3.0
2016-09,RAN#73,RP-161562,272,1,F,Frequency hopping for SI and paging messages for BL/CE UE,13.3.0
2016-09,RAN#73,RP-161562,275,-,F,Scrambling of DL DMRS for BL/CE UE,13.3.0
2016-09,RAN#73,RP-161562,276,-,F,Enable cross-subframe channel estimation for BL/CE UE,13.3.0
2016-09,RAN#73,RP-161562,278,-,F,Frequency hopping interval for MPDCCH during random access for BL/CE UE,13.3.0
2016-09,RAN#73,RP-161565,279,-,F,CR on the correction from SC-FDFMA to SC-FDMA,13.3.0
2016-09,RAN#73,RP-161561,280,-,F,Correction for PHICH resource reservation on the LAA cell in 36.211 for Rel-13 LAA,13.3.0
2016-09,RAN#73,RP-161562,281,-,F,Correction on MPDCCH transmission without repetition in special subframes,13.3.0
2016-09,RAN#73,RP-161563,282,1,F,Introduction of a reserved range of NPRACH sub-carriers for contention based access,13.3.0
2016-09,RAN#73,RP-161562,283,-,F,Clarification of valid subframe in eMTC,13.3.0
2016-09,RAN#73,RP-161563,284,-,F,Correction of NB-IoT antenna port mapping,13.3.0
2016-09,RAN#73,RP-161562,285,-,F,Clarification on PRACH system frame number,13.3.0
2016-09,RAN#73,RP-161562,286,-,F,PUCCH retuning with puncturing for BL/CE UE,13.3.0
2016-09,RAN#73,RP-161563,287,1,F,Phase difference between NRS and CRS,13.3.0
2016-09,RAN#73,RP-161825,288,1,B,Continuous uplink transmission in eMTC,13.3.0
2016-09,RAN#73,RP-161571,266,2,B,Introduction of eLAA,14.0.0
2016-09,RAN#73,RP-161570,267,2,B,Introduction of V2V support,14.0.0
2016-12,RAN#74,RP-162368,0297,-,F,CR on start timing of PUSCH,14.1.0
2016-12,RAN#74,RP-162358,0298,-,A,Correction to DMRS for MPDCCH associated with P-RNTI – Rel-14,14.1.0
2016-12,RAN#74,RP-162359,0300,-,A,Clarification on NPRACH and NPUSCH collision,14.1.0
2016-12,RAN#74,RP-162358,0302,1,A,Clarification on i_0 value,14.1.0
2016-12,RAN#74,RP-162358,0304,-,A,Correction of PRACH starting subframes for eMTC,14.1.0
2016-12,RAN#74,RP-162359,0306,-,A,Correction of NPRACH frequency hopping,14.1.0
2016-12,RAN#74,RP-162358,0307,-,A,Correction on MPDCCH transmission without repetition,14.1.0
2016-12,RAN#74,RP-162358,0308,-,A,"Correction of typos due to wrong implementation of CR0283 ""Clarification of valid subframe in eMTC """,14.1.0
2016-12,RAN#74,RP-162356,0309,-,A,Correction on NZP CSI-RS aggregation for Class A,14.1.0
2016-12,RAN#74,RP-162367,0310,2,B,Introduction of performance enhancements for high speed scenario,14.1.0
2016-12,RAN#74,RP-162450,0311,-,B,Introduction of further indoor positioning enhancements,14.1.0
2016-12,RAN#74,RP-162365,0312,1,B,Introduction of Multiuser Superposition Transmission (MUST),14.1.0
2016-12,RAN#74,RP-162359,0316,1,A,Correction on NPDSCH Mapping to resource elements in 36.211,14.1.0
2016-12,RAN#74,RP-162358,0320,-,A,UL gap applicability for CE Mode A,14.1.0
2016-12,RAN#74,RP-162355,0322,-,A,CR on pseudo-random sequence generator for PUCCH format 4 and PUCCH format 5 and sequence group hopping for PUCCH format 4,14.1.0
2016-12,RAN#74,RP-162359,0324,-,A,Clarification on vShift value for CRS,14.1.0
2016-12,RAN#74,RP-162359,0326,-,A,Correction to OFDM baseband signal generation of NB-IoT,14.1.0
2016-12,RAN#74,RP-162358,0327,-,A,Mapping of MPDCCH and PDSCH,14.1.0
2016-12,RAN#74,RP-162364,0328,-,B,Introduction of SRS switching between LTE component carriers,14.1.0
2016-12,RAN#74,RP-162366,0329,-,F,Corrections for V2V,14.1.0
2017-03,RAN#75,RP-170605,0330,1,B,Introduction of Uplink Capacity Enhancements for LTE,14.2.0
2017-03,RAN#75,RP-170608,0331,1,B,Introduction of eMBMS enhancements for LTE,14.2.0
2017-03,RAN#75,RP-170623,0332,2,B,Introduction of Further Enhanced MTC for LTE,14.2.0
2017-03,RAN#75,RP-170624,0333,3,B,Introduction of NB-IoT enhancements,14.2.0
2017-03,RAN#75,RP-170622,0334,2,B,Introduction of V2X,14.2.0
2017-03,RAN#75,RP-170607,0335,2,B,Introduction of eFD-MIMO,14.2.0
2017-03,RAN#75,RP-170625,0336,2,B,Introduction of Voice and Video enhancement for LTE,14.2.0
2017-03,RAN#75,RP-170610,0338,2,A,Correction on the scrambling of NPDSCH carrying the BCCH,14.2.0
2017-03,RAN#75,RP-170609,0340,-,A,Frequency hopping in eMTC,14.2.0
2017-03,RAN#75,RP-170609,0342,-,A,Retuning gap with shortened PUCCH format for BL/CE UE,14.2.0
2017-03,RAN#75,RP-170609,0344,-,A,Parameters for number of PUCCH repetitions for Msg4 for BL/CE UE – Superseded by CR0332r2,14.2.0
2017-03,RAN#75,RP-170609,0346,-,A,Clarification on repetition and starting subframe of the MPDCCH search space,14.2.0
2017-03,RAN#75,RP-170615,0347,-,F,CR for SRS switching in 36.211,14.2.0
2017-03,RAN#75,RP-170617,0348,-,F,CR on the new restricted sets of cyclic shifts for PRACH for high speed in 36.211,14.2.0
2017-03,RAN#75,RP-170612,0352,-,A,Correction on single layer precoding for EPCCH,14.2.0
2017-03,RAN#75,RP-170610,0354,-,A,NPBCH symbol rotation for interference randomization in NB-IoT,14.2.0
2017-03,RAN#75,RP-170617,0355,-,F,Correction to PRACH resource configuration for high speed scenario in TS 36.211,14.2.0
2017-06,RAN#76,RP-171205,0356,-,F,Correction on baseband generation for paging/random access non-anchor carriers,14.3.0
2017-06,RAN#76,RP-171204,0357,-,F,Correction of reference to PRS occasion group for OTDOA enhancements,14.3.0
2017-06,RAN#76,RP-171204,0358,-,F,Center frequency for PUSCH allocation in larger bandwidth mode in FeMTC,14.3.0
2017-06,RAN#76,RP-171205,0359,-,F,Clarification of NRS presence,14.3.0
2017-06,RAN#76,RP-171194,0360,-,F,Clarification and Correction on IFDMA UL-DMRS for eFD-MIMO,14.3.0
2017-06,RAN#76,RP-171199,0363,-,A,Clarification on PDSCH collision with PSS/SSS in TDD,14.3.0
2017-06,RAN#76,RP-171195,0364,-,F,Clarification on CDM-8 pattern for 24-ports CSI-RS in DwPTS,14.3.0
2017-06,RAN#76,RP-171192,0365,-,F,Correction on PUSCH symbol locations in UpPTS for UL capacity enhancement in TS 36.211,14.3.0
2017-06,RAN#76,RP-171196,0366,-,A,CR on correction of PRACH transmission across SFN boundary,14.3.0
2017-06,RAN#76,RP-171204,0367,-,F,Correction on resource mapping in case of retuning in 36.211,14.3.0
2017-06,RAN#76,RP-171197,0369,1,A,Correction on NB-IoT DMRS definition in 36.211,14.3.0
2017-06,RAN#76,RP-171197,0371,1,A,Correction on NB-IoT SC-FDMA baseband signal generation in 36.211,14.3.0
2017-06,RAN#76,RP-171197,0373,-,A,Clarification on the definition of the nprach-NumCBRA-StartSubcarriers,14.3.0
2017-06,RAN#76,RP-171204,0374,-,F,Parallel reception of MPDCCH and PDSCH for BL/CE UE,14.3.0
