HARQ-ACK(0),HARQ-ACK(1),HARQ-ACK(2),HARQ-ACK(3),,
ACK,ACK,ACK,ACK,,"1,1"
ACK,NACK/DTX,ACK,ACK,,"0,1"
NACK/DTX,ACK,ACK,ACK,,"0,1"
NACK/DTX,NACK/DTX,ACK,ACK,,"1,1"
ACK,ACK,ACK,NACK/DTX,,"1,0"
ACK,NACK/DTX,ACK,NACK/DTX,,"0,0"
NACK/DTX,ACK,ACK,NACK/DTX,,"0,0"
NACK/DTX,NACK/DTX,ACK,NACK/DTX,,"1,0"
ACK,ACK,NACK/DTX,ACK,,"1,1"
ACK,NACK/DTX,NACK/DTX,ACK,,"1,0"
NACK/DTX,ACK,NACK/DTX,ACK,,"0,1"
NACK/DTX,NACK/DTX,NACK/DTX,ACK,,"0,0"
ACK,ACK,NACK/DTX,NACK/DTX,,"1,1"
ACK,NACK/DTX,NACK/DTX,NACK/DTX,,"1,0"
NACK/DTX,ACK,NACK/DTX,NACK/DTX,,"0,1"
NACK/DTX,NACK,NACK/DTX,NACK/DTX,,"0,0"
NACK,NACK/DTX,NACK/DTX,NACK/DTX,,"0,0"
DTX,DTX,NACK/DTX,NACK/DTX,No Transmission,
