Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Subject/Comment,Old,New
2006-09,,,,,Draft version created,,0.0.0
2006-10,,,,,Endorsed by RAN1,0.0.0,0.1.0
2007-01,,,,,Inclusion of decisions from RAN1#46bis and RAN1#47,0.1.0,0.1.1
2007-01,,,,,Endorsed by RAN1,0.1.1,0.2.0
2007-02,,,,,Inclusion of decisions from RAN1#47bis,0.2.0,0.2.1
2007-02,,,,,Endorsed by RAN1,0.2.1,0.3.0
2007-02,,,,,Editor's version including decisions from RAN1#48 & RAN1#47bis,0.3.0,0.3.1
2007-03,,,,,Updated Editor's version,0.3.1,0.3.2
2007-03,RAN-35,RP-070171,,,For information at RAN#35,0.3.2,1.0.0
2007-03,,,,,Random access text modified to better reflect RAN1 scope,1.0.0,1.0.1
2007-03,,,,,Updated Editor's version,1.0.1,1.0.2
2007-03,,,,,Endorsed by RAN1,1.0.2,1.1.0
2007-05,,,,,Updated Editor's version,1.1.0,1.1.1
2007-05,,,,,Updated Editor's version,1.1.1,1.1.2
2007-05,,,,,Endorsed by RAN1,1.1.2,1.2.0
2007-08,,,,,Updated Editor's version,1.2.0,1.2.1
2007-08,,,,,Updated Editor's version – uplink power control from RAN1#49bis,1.2.1,1.2.2
2007-08,,,,,Endorsed by RAN1,1.2.2,1.3.0
2007-09,,,,,Updated Editor's version reflecting RAN#50 decisions,1.3.0,1.3.1
2007-09,,,,,Updated Editor's version reflecting comments,1.3.1,1.3.2
2007-09,,,,,Updated Editor's version reflecting further comments,1.3.2,1.3.3
2007-09,,,,,Updated Editor's version reflecting further comments,1.3.3,1.3.4
2007-09,,,,,Updated Editor's version reflecting further comments,1.3.4,1.3.5
2007-09,RAN-37,RP-070731,,,Endorsed by RAN1,1.3.5,2.0.0
2007-09,RAN-37,RP-070737,,,For approval at RAN#37,2.0.0,2.1.0
12/09/07,RP-37,RP-070737,-,-,Approved version,2.1.0,8.0.0
28/11/07,RP-38,RP-070949,0001,2,Update of 36.213,8.0.0,8.1.0
05/03/08,RP-39,RP-080145,0002,-,Update of TS 36.213 according to changes listed in cover sheet,8.1.0,8.2.0
28/05/08,RP-40,RP-080434,0003,1,PUCCH timing and other formatting and typo corrections,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0006,1,PUCCH power control for non-unicast information,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0008,-,UE ACK/NACK Procedure,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0009,-,UL ACK/NACK timing for TDD,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0010,-,Specification of UL control channel assignment,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0011,-,Precoding Matrix for 2Tx Open-loop SM,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0012,-,Clarifications on UE selected CQI reports,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0013,1,UL HARQ Operation and Timing,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0014,-,SRS power control,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0015,1,Correction of UE PUSCH frequency hopping procedure,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0017,4,Blind PDCCH decoding,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0019,1,Tx Mode vs DCI format is clarified,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0020,-,Resource allocation for distributed VRB,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0021,2,Power Headroom,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0022,-,Clarification for RI reporting in PUCCH and PUSCH reporting modes,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0025,-,Correction of the description of PUSCH power control for TDD,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0026,-,UL ACK/NACK procedure for TDD,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0027,-,Indication of radio problem detection,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0028,-,Definition of Relative Narrowband TX Power Indicator,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0029,-,Calculation of ΔTF(i) for UL-PC,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0030,-,"CQI reference and set S definition, CQI mode removal, and Miscellanious",8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0031,-,Modulation order and TBS determination for PDSCH and PUSCH,8.2.0,8.3.0
28/05/08,RP-40,RP-080434,0032,-,On Sounding RS,8.2.0,8.3.0
28/05/08,RP-40,RP-080426,0033,-,Multiplexing of rank and CQI/PMI reports on PUCCH,8.2.0,8.3.0
28/05/08,RP-40,RP-080466,0034,-,Timing advance command responding time,8.2.0,8.3.0
09/09/08,RP-41,RP-080670,37,2,SRS hopping pattern for closed loop antenna selection,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,39,2,Clarification on uplink power control,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,41,-,Clarification on DCI formats using resource allocation type 2,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,43,2,Clarification on tree structure of CCE aggregations,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,46,2,Correction of the description of PUCCH power control for TDD,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,47,1,Removal of CR0009,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,48,1,Correction of mapping of cyclic shift value to PHICH modifier,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,49,-,TBS disabling for DCI formats 2 and 2A,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,50,-,Correction of maximum TBS sizes,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,51,-,Completion of the table specifying the number of bits for the periodic feedback,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,54,-,Clarification of RNTI for PUSCH/PUCCH power control with DCI formats 3/3A,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,55,1,Clarification on mapping of Differential CQI fields,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,59,1,PUSCH Power Control,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,60,-,RB restriction and modulation order for CQI-only transmission on PUSCH,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,61,-,Modulation order determination for uplink retransmissions,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,62,2,Introducing missing L1 parameters into 36.213,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,63,2,Correcting the range and representation of delta_TF_PUCCH,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,64,1,Adjusting TBS sizes to for VoIP,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,67,-,Correction to the downlink resource allocation,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,68,-,Removal of special handling for PUSCH mapping in PUCCH region,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,69,-,Correction to the formulas for uplink power control,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,70,1,Definition of Bit Mapping for DCI Signalling,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,71,-,Clarification on PUSCH TPC commands,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,72,1,Reference for CQI/PMI Reporting Offset,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,74,-,Correction to the downlink/uplink timing,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,75,-,Correction to the time alignment command,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,77,1,Correction of offset signalling of UL Control information MCS,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,78,2,DCI format1C,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,80,-,Correction to Precoder Cycling for Open-loop Spatial Multiplexing,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,81,1,Clarifying Periodic CQI Reporting using PUCCH,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,84,1,CQI reference measurement period,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,86,-,Correction on downlink multi-user MIMO,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,87,-,PUCCH Reporting,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,88,1,Handling of Uplink Grant in Random Access Response,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,89,-,Correction to UL Hopping operation,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,90,-,DRS EPRE,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,92,-,Uplink ACK/NACK mapping for TDD,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,93,-,UL SRI Parameters Configuration,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,94,-,Miscellaneous updates for 36.213,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,95,-,Clarifying Requirement for Max PDSCH Coding Rate,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,96,-,UE Specific SRS Configuration,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,97,-,DCI Format 1A changes needed for scheduling Broadcast Control,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,98,-,Processing of TPC bits in the random access response,8.3.0,8.4.0
09/09/08,RP-41,RP-080670,100,1,Support of multi-bit ACK/NAK transmission in TDD,8.3.0,8.4.0
03/12/08,RP-42,RP-081075,82,3,Corrections to RI for CQI reporting,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,83,2,Moving description of large delay CDD to 36.211,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,102,3,Reception of DCI formats,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,105,8,Alignment of RAN1/RAN2 specification,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,107,1,General correction of reset of power control and random access response message,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,108,2,Final details on codebook subset restrictions,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,109,-,Correction on the definition of Pmax,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,112,2,CQI/PMI reference measurement periods,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,113,-,Correction of introduction of shortened SR,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,114,-,RAN1/2 specification alignment on HARQ operation,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,115,-,Introducing other missing L1 parameters in 36.213,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,116,-,PDCCH blind decoding,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,117,-,PDCCH search space,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,119,-,Delta_TF for PUSCH,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,120,-,Delta_preamble_msg3 parameter values and TPC command in RA response,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,122,1,Correction of offset signaling of uplink control information MCS,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,124,-,Miscellaneous Corrections,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,125,-,Clarification of the uplink index in TDD mode,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,126,-,Clarification of the uplink transmission configurations,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,127,2,Correction to the PHICH index assignment,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,128,-,Clarification of type-2 PDSCH resource allocation for format 1C,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,129,-,Clarification of uplink grant in random access response,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,130,-,UE sounding procedure,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,134,-,Change for determining DCI format 1A TBS table column indicator for broadcast control,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,135,-,Clarifying UL VRB Allocation,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,136,1,Correction for Aperiodic CQI,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,137,1,Correction for Aperiodic CQI Reporting,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,138,1,Correction to PUCCH CQI reporting mode for N^DL_RB <= 7,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,140,1,On sounding procedure in TDD,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,141,1,Alignment of RAN1/RAN3 specification,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,143,1,TTI bundling,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,144,1,ACK/NACK transmission on PUSCH for LTE TDD,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,145,1,Timing relationship between PHICH and its associated PUSCH,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,147,1,Definition of parameter for downlink reference signal transmit power,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,148,1,Radio link monitoring,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,149,1,Correction in 36.213 related to TDD downlink HARQ processes,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,151,-,Nominal PDSCH-to-RS EPRE Offset for CQI Reporting,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,152,1,Support of UL ACK/NAK repetition in Rel-8,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,155,-,Clarification of misconfiguration of aperiodic CQI and SR,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,156,1,Correction of control information multiplexing in subframe bundling mode,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,157,-,Correction to the PHICH index assignment,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,158,1,UE transmit antenna selection,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,159,-,Clarification of spatial different CQI for CQI reporting Mode 2-1,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,160,1,Corrections for TDD ACK/NACK bundling and multiplexing,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,161,-,Correction to RI for Open-Loop Spatial Multiplexing,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,162,-,Correction of differential CQI,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,163,-,Inconsistency between PMI definition and codebook index,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,164,-,PDCCH validation for semi-persistent scheduling,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,165,1,Correction to the UE behavior of PUCCH CQI piggybacked on PUSCH,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,166,-,Correction on SRS procedure when shortened PUCCH format is used,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,167,1,Transmission overlapping of physical channels/signals with PDSCH for transmission mode 7,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,169,-,Clarification of SRS and SR transmission,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,171,-,Clarification on UE behavior when skipping decoding,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,172,1,PUSCH Hopping operation corrections,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,173,-,Clarification on message 3 transmission timing,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,174,-,MCS handling for DwPTS,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,175,-,Clarification of UE-specific time domain position for SR transmission,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,176,1,Physical layer parameters for CQI reporting,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,177,-,A-periodic CQI clarification for TDD UL/DL configuration 0,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,179,1,Correction to the definitions of rho_A and rho_B (downlink power allocation),8.4.0,8.5.0
03/12/08,RP-42,RP-081075,180,-,Clarification of uplink A/N resource indication,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,181,-,PDCCH format 0 for message 3 adaptive retransmission and transmission of control information in message 3 during contention based random access procedure,8.4.0,8.5.0
03/12/08,RP-42,RP-081075,182,-,To Fix the Discrepancy of Uplink Power Control and Channel Coding of Control Information in PUSCH,8.4.0,8.5.0
03/12/08,RP-42,RP-081122,183,1,CQI reporting for antenna port 5,8.4.0,8.5.0
03/12/08,RP-42,RP-081110,168,1,Clarification on path loss definition,8.4.0,8.5.0
04/03/09,RP-43,RP-090236,184,1,Corrections to Transmitted Rank Indication,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,185,4,Corrections to transmission modes,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,186,2,Delta_TF configuration for control only PUSCH,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,187,1,Correction to concurrent SRS and ACK/NACK transmission,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,191,1,PDCCH release for semi-persistent scheduling,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,192,1,Correction on ACKNACK transmission on PUSCH for LTE TDD,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,193,-,Correction to subband differential CQI value to offset level mapping for aperiodic CQI reporting,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,194,-,Correction for DRS Collision handling,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,196,2,Alignment of RAN1/RAN4 specification on UE maximum output power,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,197,-,Transmission scheme for transmission mode 7 with SPS C-RNTI,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,198,-,Clarifying bandwidth parts for periodic CQI reporting and CQI refererence period,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,199,2,Correction to the ACK/NACK bundling in case of transmission mode 3 and 4,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,200,-,ACK/NAK repetition for TDD ACK/NAK multiplexing,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,201,-,Clarifying UL ACK/NAK transmission in TDD,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,202,-,Corrections to UE Transmit Antenna Selection,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,203,-,Correction to UE PUSCH hopping procedure,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,204,-,Correction to PHICH resource association in TTI bundling,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,205,-,Clarification of the length of resource assignment,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,206,-,Correction on ACK/NACK transmission for downlink SPS resource release,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,207,-,Introduction of additional values of wideband CQI/PMI periodicities,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,208,2,Correction to CQI/PMI/RI reporting field,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,209,2,Correction to rho_A definition for CQI calculation,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,210,-,Correction to erroneous cases in PUSCH linear block codes,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,211,1,Removing RL monitoring start and stop,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,214,1,Correction to type-1 and type-2 PUSCH hopping,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,215,-,Contradicting statements on determination of CQI subband size,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,216,-,Corrections to SRS,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,219,2,Miscellaneous corrections on TDD ACKNACK,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,221,1,CR for Redundancy Version mapping function for DCI 1C,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,223,-,Scrambling of PUSCH corresponding to Random Access Response Grant,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,225,-,Removal of SRS with message 3,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,226,3,PRACH retransmission timing,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,227,-,Clarifying error handling of PDSCH and PUSCH assignments,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,228,-,Clarify PHICH index mapping,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,229,-,Correction of CQI timing,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,230,-,Alignment of CQI parameter names with RRC,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,231,1,Removal of 'Off' values for periodic reporting in L1,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,232,-,Default value of RI,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,233,1,Clarification of uplink timing adjustments,8.5.0,8.6.0
04/03/09,RP-43,RP-090236,234,-,Clarification on ACK/NAK repetition,8.5.0,8.6.0
27/05/09,RP-44,RP-090529,235,1,Correction to the condition of resetting accumulated uplink power correction,8.6.0,8.7.0
27/05/09,RP-44,RP-090529,236,-,Correction to the random access channel parameters received from higher layer,8.6.0,8.7.0
27/05/09,RP-44,RP-090529,237,-,Correction on TDD ACKNACK,8.6.0,8.7.0
