Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
11/2007,RP-38,RP-070916,,,,Presented for approval at TSG RAN-38,1.0.0
12/2007,,-,,,,Approved at TSG RAN-38 and placed under change control,8.0.0
03/2008,RP-39,RP-080194,0001,1,,CR to 36.306 with Update to E-UTRA UE capabilities,8.1.0
05/2008,RP-40,RP-080409,0002,1,,Update to E-UTRA UE capabilities: CR 0002r1 to 36.306 with status after RAN2 #62,8.2.0
03/2009,RP-43,RP-090126,0007,-,,CR to remove the clauses on MBMS,8.3.0
,RP-43,RP-090126,0008,-,,Final values for L2 buffer sizes,8.3.0
,RP-43,RP-090126,0009,-,,Various Corrections,8.3.0
,RP-43,RP-090126,0010,-,,CR to update uplink transmit diversity (UE transmit antenna selection),8.3.0
,RP-43,RP-090126,0011,-,,Downlink PDCP SDU limitation,8.3.0
,RP-43,RP-090126,0014,-,,Thoughts on UE capability for RoHC,8.3.0
,RP-43,RP-090126,0015,1,,Capturing USIMless UE to stage 3,8.3.0
06/2009,RP-44,RP-090511,0016,2,,Support of inter-RAT PS handover to GERAN Editor Note Removal,8.4.0
,RP-44,RP-090511,0017,1,,Clarification of Half Duplex in TDD,8.4.0
,RP-44,RP-090511,0018,-,,Correcting the maximum number of bits received during one TTI,8.4.0
,RP-44,RP-090511,0019,-,,Clarification of field names used in TS 36.331,8.4.0
,RP-44,RP-090511,0021,-,,Clarification on disabling E-UTRA capabilities with a USIM,8.4.0
09/2009,RP-45,RP-090906,0023,-,,"Unit for ""Total layer 2 buffer size""",8.5.0
12/2009,RP-46,-,-,,,Upgrade to the Release 9 - no technical change,9.0.0
03/2010,RP-47,RP-100308,0024,1,,CR to 36.306 on Optionality of Rel-9 UE features,9.1.0
,RP-47,RP-100308,0025,-,,Introduction of power-limited device indication in UE capability.,9.1.0
,RP-47,RP-100308,0026,-,,UE capability for enhanced 1xRTT CS fallback,9.1.0
,RP-47,RP-100285,0028,1,,Bounds to RoHC requirements for IMS capable UEs supporting voice,9.1.0
,RP-47,RP-100309,0029,1,,CR to 36.306 on Redirection enhancements to UTRAN,9.1.0
,RP-47,RP-100188,0030,1,,Redirection enhancements to GERAN,9.1.0
06/2010,RP-48,RP-100556,0031,1,,Clarification regarding / alignment of REL-9 UE capabilities,9.2.0
,RP-48,RP-100531,0033,-,,Correction on the definition of ue-SpecificRefSigsSupported,9.2.0
09/2010,RP-49,RP-100853,0035,-,,Clarification of MBMS UE capability,9.3.0
12/2010,RP-50,RP-101268,0037,-,,Inclusion of new UE categories in Rel-10,10.0.0
03/2011,RP-51,RP-110290,0038,-,,Description of carrier aggregation and MIMO capabilities,10.1.0
,RP-51,RP-110290,0039,-,,L2 buffer sizes for Rel-10 categories,10.1.0
,RP-51,RP-110280,0041,-,,CR to 36.306 adding UE capability indicator for dual Rx/Tx e1xCSFB,10.1.0
,RP-51,RP-110288,0042,1,,UE UL&DL MIMO Capabilities,10.1.0
,RP-51,RP-110282,0043,-,,Counter proposal to R2-110795 on UE capabilities for MDT,10.1.0
06/2011,RP-52,RP-110828,0048,-,,Clarification of optionality of UE features without capability,10.2.0
,RP-52,RP-110830,0051,-,,Options for CSFB to GSM,10.2.0
,RP-52,RP-110840,0056,1,,CR to 36.306 on UE capabilities for Rel-10 LTE features,10.2.0
,RP-52,RP-110701,0058,2,,CA and MIMO Capabilities in LTE Rel-10,10.2.0
,RP-52,RP-110839,0062,-,,Introduction of UE capability for enhanced redirection to UTRA TDD,10.2.0
,RP-52,RP-110834,0063,2,,"Clarification of ""supportedMIMO-CapabilityDL""",10.2.0
,RP-52,RP-110627,0064,-,,"Correction of ""total number of soft channel bits"" for category 6 and 7",10.2.0
09/2011,RP-53,RP-111291,0065,-,,The SON feature in optional features without UE radio access capability parameters,10.3.0
,RP-53,RP-111283,0067,-,,AdditionalSpectrumEmissions in CA,10.3.0
,RP-53,RP-111278,0069,-,,Correction to UE capability parameters for handover to CSG cell,10.3.0
12/2011,RP-54,RP-111716,0070,1,,Corrections to enhancedDualLayerTDD,10.4.0
,RP-54,RP-111710,0072,-,,Optionality of SR Masking,10.4.0
,RP-54,RP-111709,0074,1,,Optionality of UE Rx-Tx time difference report,10.4.0
,RP-54,RP-111714,0077,-,,Correction to the number of soft channel bits,10.4.0
03/2012,RP-55,RP-120321,0078,-,,Clarification on physical layer parameter values requirement,10.5.0
,RP-55,RP-120326,0080,1,,Clarification on number of PDCP SDUs for categories 6-7 UEs,10.5.0
,RP-55,RP-120326,0082,-,,UE processing requirement in the presence of MCH transmission,10.5.0
06/2012,RP-56,RP-120813,0090,-,,Korean Public Alert System (KPAS) in relation to CMAS,10.6.0
,RP-56,RP-120813,0093,1,,EU-Alert in relation to CMAS,11.0.0
09/2012,RP-57,RP-121359,0100,-,,Voice support Capabilities,11.1.0
,RP-57,RP-121375,0103,-,,Introducing MBMS enhancements,11.1.0
,RP-57,RP-121395,0105,-,,Clarification on spatial multiplexing requirement in supportedBandCombination,11.1.0
12/2012,RP-58,RP-121936,0120,-,,Power Management Indicator in PHR,11.2.0
,RP-58,RP-121936,0124,1,,Clarification on UL CA in supportedBandCombination,11.2.0
,RP-58,RP-122002,0125,2,,Introduction of Rel-11 UE features,11.2.0
,RP-58,RP-121960,0132,-,,Broadcast of Time Info by Using a New SIB,11.2.0
03/2013,RP-59,RP-130243,0133,2,,DL COMP capability related correction,11.3.0
,RP-59,RP-130233,0135,-,,MIMO capability related correction,11.3.0
,RP-59,RP-130241,0137,-,,Correction to supported DL MIMO capability for TM10,11.3.0
,RP-59,RP-130240,0138,-,,Optional support of RLF report for inter-RAT MRO,11.3.0
,RP-59,RP-130248,0140,1,,Corrections to UE capabiliy naming and definition,11.3.0
,RP-59,RP-130233,0142,-,,Clarification on cross carrier scheduling capability,11.3.0
,RP-59,RP-130226,0146,-,,Introduction of PDSCH TM5 capabilities for FDD and TDD,11.3.0
09/2013,RP-61,RP-131315,0151,-,,Remove TBD in max MCH TB size table,11.4.0
,RP-61,RP-131314,0157,-,,Clarification of InterFreqRSTDMeasurementIndication procedure support,11.4.0
12/2013,RP-62,RP-131986,0160,-,,Introduction of capability bit for UTRA MFBI,11.5.0
,RP-62,RP-132003,0161,1,,Capturing mandatory/optional agreements on Rel-11 UE features,11.5.0
,RP-62,RP-131991,0163,-,,Clarification on eRedirection to UMTS TDD with multiple UMTS TDD frequencies,11.5.0
,RP-62,RP-131984,0165,-,,Addition of inter-frequency RSTD measurement capability indicator for OTDOA,11.5.0
,RP-62,RP-131789,0166,1,,MBMS reception on any configured or configurable SCell,11.5.0
,RP-62,RP-131993,0167,-,,Enabling SRVCC from GERAN without forwarding UE-EUTRA-Capability,11.5.0
03/2014,RP-63,RP-140364,0168,1,,New UE categories for DL 450Mbps class,11.6.0
,RP-63,RP-140349,0170,-,,SS and common channel interference handling,11.6.0
,RP-63,RP-140354,0176,1,,IoT indication for inter-band TDD CA with different UL/DL configuration,11.6.0
,RP-63,RP-140353,0173,1,,Corrections to UE capability and feature descriptions,12.0.0
06/2014,RP-64,RP-140887,0181,-,,Support of the enhancement for TTI bundling for FDD,12.1.0
,RP-64,RP-140888,0185,3,,Alternative 1: Introduction of FDD/TDD CA full duplex support to 36.306,12.1.0
,RP-64,RP-140892,0190,1,,Extended RLC LI field,12.1.0
,RP-64,RP-140873,0194,1,,Network-requested CA Band Combination Capability Signalling,12.1.0
,RP-64,RP-140892,0196,1,,Introduction of RRC Connection Establishment failure temporary Qoffset handling,12.1.0
,RP-64,RP-141028,0198,3,,eMBMS reception on SCell and Non-Serving Cell,12.1.0
09/2014,RP-65,RP-141498,0218,1,,The PDCP SDU number limitation for Category 9-10 UE,12.2.0
,RP-65,RP-141505,0215,-,,UE capabilities for Hetnet mobility in TS 36.306,12.2.0
,RP-65,RP-141499,0212,-,,Introduction of UE eIMTA capabilities,12.2.0
,RP-65,RP-141493,0205,-,,Corrections to UE capabilities and features,12.2.0
,RP-65,RP-141507,0209,-,,Introduction of MBSFN MDT capability,12.2.0
,RP-65,RP-141506,0207,2,,Introduction of Category 0 for low complexity UEs,12.2.0
12.2014,RP-66,RP-142129,0225,-,,Clarification on DL parallel reception of category 0 UEs,12.3.0
,RP-66,RP-142125,0228,-,,Optional features for Hetnet mobility in TS 36.306,12.3.0
,RP-66,RP-142123,0230,-,,Corrections to eIMTA capabilities,12.3.0
,RP-66,RP-142140,0243,-,,Introduction of extended RSRQ value range and new RSRQ definition,12.3.0
,RP-66,RP-142132,0232,-,,Support of Discovery Signals in TS 36.306,12.3.0
,RP-66,RP-142140,0247,-,,Prohibit timer for SR,12.3.0
,RP-66,RP-142128,0241,1,,UE capability for IncMon,12.3.0
,RP-66,RP-142115,0227,1,,Introduction of capability for serving cell interruptions,12.3.0
,RP-66,RP-142134,0239,-,,Introduction of missing Rel-12 UE capabilities,12.3.0
,RP-66,RP-142130,0245,1,,Optionality support of UE mandatory features for Category 0 UEs,12.3.0
,RP-66,RP-142135,0238,1,,Introduction of Dual Connectivity,12.3.0
,RP-66,RP-142139,0237,2,,NAICS Capability,12.3.0
,RP-66,RP-142124,0229,2,,Mandatory support of TTI bundling without resource allocation restriction for LTE coverage enhancements for Rel-12,12.3.0
,RP-66,RP-141981,0248,-,,UE capability signaling for WLAN/3GPP radio interworking,12.3.0
,RP-66,RP-142232,0233,2,,Support of 256QAM in TS 36.306,12.3.0
03/2015,RP-67,RP-150378,0265,-,,UE capability for modified MPR behavior,12.4.0
,RP-67,RP-150373,0257,-,,Correction to UE capabilities for Low Complexity UEs,12.4.0
