Codepoint/Index,LCID values
00000,CCCH
00001-01010,Identity of the logical channel
01011,CCCH
01100,CCCH
01101,CCCH and Extended Power Headroom Report
01110,GNSS Validity Duration Report
01111,Timing Advance Report
10000,Extended logical channel ID field
10001,DCQR and AS RAI
10010,AUL confirmation (4 octets)
10011,AUL confirmation (1 octet)
10100,Recommended bit rate query
10101,SPS confirmation
10110,Truncated Sidelink BSR
10111,Sidelink BSR
11000,Dual Connectivity Power Headroom Report
11001,Extended Power Headroom Report
11010,Power Headroom Report
11011,C-RNTI
11100,Truncated BSR
11101,Short BSR
11110,Long BSR
11111,Padding
