NR Band combination for SUL,NR Band(Table 5.2-1)
CA_n1_n78-n80,"n1, n78, n80"
CA_n1_n78-n81,"n1, n78, n81"
CA_n1_n78-n84,"n1, n78, n84"
CA_n1_n78-n89,"n1, n78, n89"
CA_n3_n41-n80,"n3, n41, n80"
CA_n3_n78-n80,"n3, n78, n80"
CA_n3_n78-n84,"n3, n78, n84"
CA_n3_n79-n80,"n3, n79, n80"
CA_n5_n78-n84,"n5, n78, n84"
CA_n8_n78-n81,"n8, n78, n81"
CA_n8_n78-n84,"n8, n78, n84"
CA_n28_n41-n834,"n28, n41, n83"
CA_n28_n79-n834,"n28, n79, n83"
CA_n41_n79-n80,"n41, n79, n80"
CA_n41_n79-n83,"n41, n79, n83"
CA_n41_n79-n95,"n41, n79, n95"
CA_n41_n79-n97,"n41, n79, n97"
CA_n41_n79-n98,"n41, n79, n98"
CA_n78_n1-n80,"n1, n78, n80"
CA_n78_n1-n81,"n1, n78, n81"
CA_n78_n1-n89,"n1, n78, n89"
CA_n78_n3-n84,"n3, n78, n84"
CA_n78_n5-n84,"n5, n78, n84"
CA_n78_n8-n84,"n8, n78, n84"
CA_n79_n41-n80,"n41, n79, n80"
CA_n79_n41-n83,"n41, n79, n83"
CA_n79_n41-n95,"n41, n79, n95"
CA_n79_n41-n97,"n41, n79, n97"
CA_n79_n41-n98,"n41, n79, n98"
CA_n1-n3_n78-n80,"n1, n3, n78, n80"
CA_n1-n3_n78-n84,"n1, n3, n78, n84"
CA_n28-n41_n79-n834,"n28, n41, n79, n83"
CA_n28-n79_n41-n834,"n28, n41, n79, n83"
CA_n41-n95_n79-n98,"n41, n95, n79, n98"
CA_n41-n98_n79-n95,"n41, n98, n79, n95"
CA_n41-n83_n79-n95,"n41, n79, n83, n95"
CA_n41-n83_n79-n98,"n41, n79, n83, n98"
CA_n41_n95-n98,"n41, n95, n98"
CA_n78_n80-n84,"n78, n80, n84"
CA_n78_n81-n84,"n78, n81, n84"
CA_n78_n84-n89,"n78, n84, n89"
"NOTE 1:If a UE is configured with a single cell consisting of a NR UL carrier and a corresponding NR SUL carrier, the switching time between NR UL carrier and the corresponding NR SUL carrier is according to either uplinkTxSwitchingPeriod-r16 parameter within UE capability IE ULTxSwitchingBandPair-r16 if reported, or switchingPeriodFor1T-r18 parameter within UE capability IE ULTxSwitchingBandPair-r18 or ULTxSwitchingBandPair-v1840 if reported, otherwise 0 us.NOTE 2:For UE supporting SUL band combination simultaneous Rx/Tx capability is mandatory.NOTE 3:Unless otherwise stated, the SUL channel bandwidth is same with the DL bandwidth of its associated NR band that shares the same UL frequency range.NOTE 4:Channels for both n28 and n83 are confined either to lowest 30MHz or to highest 30MHz of the band.",
