SUL configuration,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
SUL_n1A-n80A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,n80,"5, 10, 15, 20, 25, 30",
,n1,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n80,See n80 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n1A-n81A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,n81,"5, 10, 15, 20",
SUL_n1A-n89A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,n89,"5, 10, 15, 20",
SUL_n3A-n84A,n3,"5, 10, 15, 20, 25, 30, 40",0
,n84,"5, 10, 15, 20",
,n3,See n3 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n84,See n84 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n5A-n84A,n5,"5, 10, 15, 20",0
,n84,"5, 10, 15, 20",
SUL_n8A-n84A,n8,"5, 10, 15, 20",0
,n84,"5, 10, 15, 20",
SUL_n24A-n99A,n24,"5, 10",0
,n99,"5, 10",
SUL_n41A-n80A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n80,"5, 10, 15, 20, 25, 30",
,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",1
,n80,"5, 10, 15, 20, 25, 30, 40",
SUL_n41A-n81A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n81,"5, 10, 15, 20",
SUL_n41A-n83A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,n83,"5, 10, 15, 20, 30",
SUL_n41A-n95A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,n95,"5, 10, 15",
,n41,See n41 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n95,See n95 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n41A-n97A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,n97,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",1
,n97,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
SUL_n41A-n98A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,n98,"5, 10, 15, 20, 25, 30, 40",
,n41,See n41 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n98,See n98 channel bandwidths in Table 5.3.5-1 for each carrier,
