Modulation/Waveform,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Edge/Inner,,,,
DFT-s-OFDM PI/2 BPSK,≤ 9,≤ 5,≤ 4,≤ 9,≤ 5,1,≤ 8.5,≤ 5,≤ 4,≤ 2
DFT-s-OFDM QPSK,≤ 9,≤ 5,≤ 4,≤ 9,≤ 5.5,1.5,≤ 10,≤ 6.5,≤ 4.5,≤ 2
DFT-s-OFDM 16 QAM,≤ 9,≤ 5,≤ 4,≤ 9,≤ 5.5,2,≤ 10,≤ 6.5,≤ 4.5,≤ 2.5
DFT-s-OFDM 64 QAM,≤ 9,≤ 5,≤ 4,≤ 9,≤ 5.5,,≤ 10,≤ 6.5,≤ 4.5,≤ 2.5
DFT-s-OFDM 256 QAM,≤ 9,≤ 5,≤ 9,≤ 13.5,≤ 6,,≤ 10,≤ 9,≤ 5,≤ 3.5
CP-OFDM QPSK,≤ 10.5,≤ 6.5,≤ 4,≤ 10.5,≤ 7,3,≤ 11,≤ 6.5,≤ 6,≤ 3
CP-OFDM 16 QAM,≤ 10.5,≤ 6.5,≤ 4,≤ 10.5,≤ 7,3,≤ 11,≤ 6.5,≤ 6,≤ 3
CP-OFDM 64 QAM,≤ 10.5,≤ 6.5,≤ 4,≤ 10.5,≤ 7,,≤ 11,≤ 6.5,≤ 6,≤ 4
CP-OFDM 256 QAM,≤ 10.5,≤ 6.5,≤ 9,≤ 13.5,≤ 7.5,,≤ 11,≤ 9.5,≤ 6.5,≤ 5
