"Channel Bandwidth, MHz","Carrier Center Frequency, Fc, MHz",Regions,,A-MPR
,,RBend*12*SCSMHz,LCRB*12*SCSMHz,
10 MHz,1925≤ FC ≤ 1975,≥0,≥8.1,A6
,,<1.8,≥0,A6
15 MHz,1927.5≤ FC ≤ 1972.5,≥0,≥9,A6
,,≥0,"≥max (0,12*SCS* RBend - 2.88)<9",A6
20 MHz,1930≤ FC ≤ 1970,≥0,≥9.72,A4
,,≥0,"≥max (0,12*SCS* RBend - 3.6)<9.72",A6
25 MHz,1932.5≤ FC ≤ 1967.5,≥0,≥9.72,A3
,,≥18.72,<1.08,A3
,,≥0,"≥max (0, 12*SCS*RBend - 1.08)<9.72",A6
,,≥0,≥13.5,A3
30 MHz,1935 ≤ FC ≤ 1965,≥0,"≥12.96, <13.5",A6
,,≥21.6,<1.08,A5
,,≥0,"≥max (0, 12*SCS*RBend - 3.6)< 12.96",A6
,,"≥0, <2.88",≥0,A2
,,"≥2.88, <17.1","≥max (0, 12*SCS*RBend - 3.6)",A3
,,"≥2.88, <17.1","<max (0, 12*SCS*RBend - 3.6),≥max (0, 12*SCS*RBend - 4.68)",A6
40 MHz,1940 ≤ FC ≤ 1960,"≥17.1, <27.36",≥13.5,A3
,,"≥27.36, <34.56",≥13.5,A2
,,"≥17.1, <34.56","≥12.96, <13,5",A6
,,"≥27.36, <34.56",<1.08,A3
,,≥34.56,≥0,A1
,,"≥0, <4.86",>0,A2
,,"≥4.86, <5.22","<max (0, 12*SCS*RBend - 3.6)",A6
,,"≥4.86, <19","≥max (0, 12*SCS*RBend - 3.6)",A3
45 MHz,1942.5 ≤ FC ≤ 1957.5,"≥5.22, <19","≥max (0, 12*SCS*RBend - 5.4),<max (0, 12*SCS*RBend - 3.6)",A6
,,"≥19, <37.44",≥15.4,A2
,,"≥19, <37.44","≥14.04, <15.4",A6
,,"≥30.96, <37.44",<1.08,A5
,,≥37.44,>0,A1
,,"≥0, <6.12",>0,A2
,,"≥6.12, <7.2","<max (0, 12*SCS*RBend - 3.6)",A6
,,"≥6.12, <20.7","≥max (0, 12*SCS*RBend - 3.6)",A3
50 MHz,1945 ≤ FC ≤ 1955,"≥7.2, <20.7","≥max (0, 12*SCS*RBend - 5.4)<max (0, 12*SCS*RBend - 3.6)",A6
,,"≥20.7, <41.04",≥17.1,A2
,,"≥20.7, <41.04","≥15.12,<17.1",A6
,,"≥33.84, <41.04",<1.08,A5
,,≥41.04,>0,A1
