Modulation,,MPR for bandwidth class B(dB),,,MPR for bandwidth class C(dB),,
,,inner,Outer12,Outer23,Inner,Outer12,Outer23
DFT-s-OFDM,Pi/2 BPSK,31,6.5,13,31,7.5,13.5
,QPSK,31,6.5,,31,7.5,
,16QAM,31,6.5,,31,7.5,
,64QAM,5,6.5,,5,7.5,
,256QAM,6.5,7,,6.5,7.5,
CP-OFDM,QPSK,3.51,7,14,3.51,8,14.5
,16QAM,3.51,7,,3.51,8,
,64QAM,5,7,,5,8,
,256QAM,7.5,7.5,,7.5,8,
NOTE 1: the allowed MPR is [4] dB for aggregated allocation bandwidth < [2MHz]. NOTE 2: Outer 1 MPR for Pi/2 BPSK and QPSK is reduced by 2dB for aggregated allocation bandwidth > 10MHz NOTE 3: Outer 2 MPR is reduced by 4.5dB for aggregated allocation bandwidth > 10MHz,,,,,,,
