NR CA combination,Band,AppliedNS,Requirements (clause),A-MPR (table/clause),Note
CA_n1-n3,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
,n3,100,6.5.2.4.2,Table 6.2.3.1-2,
CA_n1-n8,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
,n8,43,6.5.3.3.5,Clause 6.2.3.6,
,,43U,"6.5.3.3.5, 6.5.2.4.2",Clause 6.2.3.6,
CA_n1-n18,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
,n18,100,6.5.2.4.2,Table 6.2.3.1-2,
CA_n1-n28,n1,05,6.5.3.3.4,Clause 6.2.3.4,"1,2"
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
,n28,17,6.5.3.3.2,N/A,
CA_n1-n40,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
CA_n1-n41,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n1-n74,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
,n74,37,6.5.3.3.6,Table 6.2.3.8-1,
CA_n1-n77,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
CA_n1-n78,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
CA_n1-n79,n1,05,6.5.3.3.4,Clause 6.2.3.4,1
,,05U,"6.5.3.3.4, 6.5.2.4.2",Clause 6.2.3.4,
CA_n3-n8,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
,n8,43,6.5.3.3.5,Clause 6.2.3.6,
,,43U,"6.5.3.3.5, 6.5.2.4.2",Clause 6.2.3.6,
CA_n3-n18,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
,n18,100,6.5.2.4.2,Table 6.2.3.1-2,
CA_n3-n28,n3,100,6.5.2.4.2,Table 6.2.3.1-2,"1,2"
,n28,17,6.5.3.3.2,N/A,
CA_n3-n40,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n3-n41,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n3-n74,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
,n74,37,6.5.3.3.6,Table 6.2.3.8-1,
CA_n3-n77,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n3-n78,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n3-n79,n3,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n5-n28,n5,100,6.5.2.4.2,Table 6.2.3.1-2,"1,2"
,n28,17,6.5.3.3.2,N/A,
CA_n5-n77,n5,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n5-n78,n5,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n5-n79,n5,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n8-n40,n8,43,6.5.3.3.5,Clause 6.2.3.6,1
,,43U,"6.5.3.3.5, 6.5.2.4.2",Clause 6.2.3.6,
CA_n8-n41,n8,43,6.5.3.3.5,Clause 6.2.3.6,1
,,43U,"6.5.3.3.5, 6.5.2.4.2",Clause 6.2.3.6,
,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n8-n78,n8,43,6.5.3.3.5,Clause 6.2.3.6,1
,,43U,"6.5.3.3.5, 6.5.2.4.2",Clause 6.2.3.6,
CA_n8-n79,n8,43,6.5.3.3.5,Clause 6.2.3.6,1
,,43U,"6.5.3.3.5, 6.5.2.4.2",Clause 6.2.3.6,
CA_n18-n28,n18,100,6.5.2.4.2,Table 6.2.3.1-2,"1, 2"
,n28,17,6.5.3.3.2,N/A,
CA_n18-n41,n18,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n18-n74,n18,100,6.5.2.4.2,Table 6.2.3.1-2,1
,n74,37,6.5.3.3.6,Table 6.2.3.8-1,
CA_n18-n77,n18,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n18-n78,n18,100,6.5.2.4.2,Table 6.2.3.1-2,1
CA_n26-n28,n26,100,6.5.2.4.2,Table 6.2.3.1-2,"1,2"
,n28,17,6.5.3.3.2,N/A,
CA_n28-n40,n28,17,6.5.3.3.2,N/A,2
CA_n28-n41,n28,17,6.5.3.3.2,N/A,2
,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n28-n74,n28,17,6.5.3.3.2,N/A,22
,n74,37,6.5.3.3.6,Table 6.2.3.8-1,
CA_n28-n77,n28,17,6.5.3.3.2,N/A,2
CA_n28-n78,n28,17,6.5.3.3.2,N/A,2
CA_n28-n79,n28,17,6.5.3.3.2,N/A,2
CA_n40-n41,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n41-n74,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
,n74,37,6.5.3.3.6,Table 6.2.3.8-1,
CA_n41-n77,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n41-n78,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n41-n79,n41,47,6.5.3.3.15,Table 6.2.3.18-2,
CA_n74-n77,n74,37,6.5.3.3.6,Table 6.2.3.8-1,
CA_n74-n78,n74,37,6.5.3.3.6,Table 6.2.3.8-1,
