Inter-band CA combination,"ΔTIB,c for NR bands (dB)5",,,
,Component band in order of bands in configuration6,,,
CA_n1-n3-n5-n7,0.6,0.6,0.3,-
CA_n1-n3-n5-n28,0.3,0.3,0.7,0.7
CA_n1-n3-n5-n78,0.6,0.6,0.3,0.8
CA_n1-n3-n7-n8,0.6,0.6,0.6,0.6
CA_n1-n3-n7-n20,0.6,0.6,0.6,0.3
CA_n1-n3-n7-n26,0.6,0.6,0.6,0.6
CA_n1-n3-n7-n28,0.6,0.6,0.6,0.6
CA_n1-n3-n7-n38,0.6,0.6,N/A,N/A
CA_n1-n3-n7-n40,0.6,0.6,0.6,0.6
CA_n1-n3-n7-n67,0.6,0.6,0.6,N/A
CA_n1-n3-n7-n75,0.6,0.6,0.6,N/A
CA_n1-n3-n7-n77,0.6,0.6,0.6,0.8
CA_n1-n3-n7-n78,0.7,0.7,0.7,0.8
CA_n1-n3-n7-n79,0.6,0.6,0.6,0.8
CA_n1-n3-n7-n105,0.6,0.6,0.6,0.6
CA_n1-n3-n8-n41,0.5,0.5,0.5,0.33 / 0.84
CA_n1-n3-n8-n78,0.6,0.6,0.6,0.8
CA_n1-n3-n8-n77,0.6,0.6,0.6,0.8
CA_n1-n3-n18-n28,0.3,0.3,0.5,0.5
CA_n1-n3-n18-n41,0.5,0.5,0.3,0.33 / 0.84
CA_n1-n3-n18-n77,0.6,0.6,0.3,0.8
CA_n1-n3-n20-n41,0.5,0.5,0.3,0.33 / 0.84
CA_n1-n3-n20-n67,0.3,0.3,0.3,N/A
CA_n1-n3-n20-n75,0.3,0.3,0.3,N/A
CA_n1-n3-n26-n78,0.6,0.6,0.6,0.8
CA_n1-n3-n20-n71,0.3,0.3,0.8,0.6
CA_n1-n3-n20-n77,0.6,0.6,0.6,0.8
CA_n1-n3-n20-n78,0.6,0.6,0.6,0.8
CA_n1-n3-n28-n38,0.6,0.6,0.6,0.6
CA_n1-n3-n28-n40,0.6,0.6,0.6,0.5
CA_n1-n3-n28-n41,0.5,0.5,0.5,0.33 / 0.84
CA_n1-n3-n28-n75,0.5,0.5,0.5,N/A
CA_n1-n3-n28-n77,0.6,0.6,0.6,0.8
CA_n1-n3-n28-n78,0.6,0.6,0.6,0.8
CA_n1-n3-n28-n79,0.3,0.3,0.6,0.8
CA_n1-n3-n40-n41,0.5,0.5,0.5,0.33 / 0.84
CA_n1-n3-n40-n77,0.7,0.7,0.7,0.8
CA_n1-n3-n40-n78,0.6,0.6,0.6,0.8
CA_n1-n3-n40-n105,0.7,0.7,0.7,0.5
CA_n1-n3-n41-n71,0.5,0.5,0.33 / 0.84,0.5
CA_n1-n3-n41-n77,0.6,0.6,0.33 / 0.84,0.8
CA_n1-n3-n41-n78,0.6,0.6,0.33 / 0.84,0.8
CA_n1-n3-n41-n79,0.5,0.5,0.53 / 0.84,0.8
CA_n1-n3-n67-n78,0.6,0.6,N/A,0.8
CA_n1-n3-n71-n77,0.6,0.6,0.6,0.8
CA_n1-n3-n71-n78,0.6,0.6,0.6,0.8
CA_n1-n3-n75-n78,0.6,0.6,N/A,0.8
CA_n1-n3-n77-n79,0.6,0.6,0.8,0.8
CA_n1-n5-n7-n40,0.5,0.3,0.6,0.5
CA_n1-n5-n7-n78,0.6,0.6,0.6,0.8
CA_n1-n5-n7-n105,0.5,0.3,0.6,0.6
CA_n1-n5-n28-n78,0.3,0.7,0.7,0.8
CA_n1-n5-n28-n79,0.3,0.7,0.7,0.8
CA_n1-n5-n40-n78,0.6,0.6,0.5,0.8
