Modulation,,MPR (dB),,
,,Edge RB allocations,Outer RB allocations,Inner RB allocations
DFT-s-OFDM,Pi/2 BPSK,≤ 3.5,≤ 1,01
,QPSK,≤ 3.5,≤ 2,0.52
,16 QAM,≤ 3.5,≤ 2.5,≤ 1.5
,64 QAM,≤ 3.5,≤ 3,
,256 QAM,≤ 5.5,,
CP-OFDM,QPSK,≤ 4.0,≤ 3.5,≤ 2
,16 QAM,≤ 4.0,≤ 3.5,≤ 2.5
,64 QAM,≤ 4.5,,
,256 QAM,≤ 8.0,,
"NOTE 1:For a UE indicating support for UE capability powerBoosting-pi2BPSK-QPSK-r18 or powerBoosting-pi2BPSK-QPSK-Modified-r18 and if the IE powerBoostPi2BPSK-r18 is set to 1, the reference power is increased by ΔPPowerBoost.NOTE 2:For a UE indicating support for UE capability powerBoosting-pi2BPSK-QPSK-r18 or powerBoosting-pi2BPSK-QPSK-Modified-r18 and if the IE powerBoostQPSK-r18 is set to 1, the reference power is increased by ΔPPowerBoost.",,,,
