NR V2X concurrent operating band Configuration,NR band,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance(dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
V2X_n1A-n47A,n1,,,,,23,±2,,
,n47,,,,,23,+2/-3,,
V2X_n5A-n47A,n5,,,,,23,±2,,
,n47,,,,,23,+2/-3,,
V2X_n8A-n47A,n8,,,,,23,±2,,
,n47,,,,,23,+2/-3,,
V2X_n39A-n47A,n39,,,,,23,+2/-3,,
,n47,,,,,23,+2/-3,,
V2X_n40A-n47A,n40,,,,,23,+2/-3,,
,n47,,,,,23,+2/-3,,
V2X_n41A-n47A,n41,,,,,23,+2/-3,,
,n47,,,,,23,+2/-3,,
V2X_n71A-n47A,n71,,,,,23,+2/-34,,
,n47,,,,,23,+2/-3,,
V2X_n78A-n47A,n78,,,,,23,+2/-3,,
,n47,,,,,23,+2/-3,,
V2X_n79A-n47A,n79,,,,,23,+2/-3,,
,n47,,,,,23,+2/-3,,
"NOTE 1:For the concurrent band combinations, the simultaneous transmission and reception of sidelink and Uu interfaces can be supported while operation is agnostic of the service used on each interface.NOTE 2:PPowerClass is the maximum output power specified without taking into account the tolerance for each operating band.NOTE 3:For inter-band concurrent operation, the aggregation power apply to the total transmitted power over all component carriers (per UE).NOTE 4:4 refers to the transmission bandwidths (Figure 5.6-1) confined within FUL_low and FUL_low + 4 MHz or FUL_high – 4 MHz and FUL_high, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dB",,,,,,,,,
