NR Band,NS value,Channel bandwidth (MHz),Frequency range (MHz),Maximum mean power density (dBm/MHz)
n46,NS_28,"20, 40, 60, 80",5150 – 5350,10
,,,5470 – 5725,
,NS_29,20,5170 – 5330,10
,,,5490 – 5730,
,,40,5170 – 5330,7
,,,5490 – 5730,
,,"60, 80",5170 – 5330,4
,,,5490 – 5730,
,NS_30,"20, 40, 60, 80",5150 – 5350,11
,,,5470 – 5725,
,NS_31,20,5150 - 5230,10
,,,5250 – 5350,
,,,5470 – 5725,
,,,5725 - 5850,
,,,5230 – 5250,4
,,40,5150 - 5230,7
,,,5250 – 5350,
,,,5470 – 5725,
,,,5725 - 5850,
,,,5230 – 5250,4
,,"60, 80",5150 - 5230,4
,,,5250 – 5350,
,,,5470 – 5725,
,,,5725 - 5850,
,,,5230 – 5250,
,NS_54,"20, 40, 60, 80",5925 – 6425,17
n96,,,6525 – 6875,
,NS_61,"20, 40, 60, 80",5925 - 6425,1
,NS_66,"20, 40, 60, 80, 100",5925 - 7125,-8
,NS_67,"20, 40, 60, 80, 100",5925 - 7125,-5
,NS_71,"20, 40, 60, 80, 100",5925 – 6425MHz6525 – 6875MHz,-5
n102,NS_64,"20, 40, 60, 80, 100",5945 – 6425,1
,NS_65,"20, 40, 60, 80, 100",5945 – 6425,11
,NS_68,"20, 40, 60, 80, 100",5945 – 6425,1
