Network signalling label,Requirements (clause),NR Band,Channel bandwidth (MHz),Resources blocks (NRB),A-MPR (clause)
NS_01,,"n46, n96, n102","20, 40, 60, 80",,N/A
NS_28,"6.5F.3.3.1, 6.2F.1",n46,"20, 40, 60, 80",,6.2F.3.2
NS_29,"6.5F.3.3.2, 6.2F.1",n46,"20, 40, 60, 80",,6.2F.3.3
NS_30,"6.5F.3.3.3, 6.2F.1",n46,"20, 40, 60, 80",,6.2F.3.4
NS_31,"6.5F.3.3.4, 6.2F.1",n46,"20, 40, 60, 80",,6.2F.3.5
NS_53,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2F.3.6
NS_54,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80",,6.2F.3.7
NS_58,"6.5F.3.3.6, 6.2F.1",n102,"20, 40, 60, 80",,6.2F.3.8
NS_59,6.2F.1,n96,"20, 40, 60, 80, 100",,6.2F.3.9
NS_60,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2F.3.10
NS_61,"6.5F.3.3.7, 6.2F.1",n96,"20, 40, 60, 80",,6.2F.3.11
NS_63,6.5F.3.3.8,n102,"20, 40, 80",,6.2F.3.12
NS_64,"6.5F.3.3.9, 6.2F.1",n102,"20, 40, 60, 80, 100",,6.2F.3.13
NS_65,6.2F.1,n102,"20, 40, 60, 80, 100",,6.2F.3.14
NS_66,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2F.3.15
NS_67,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2F.3.16
NS_68,6.2F.1,n102,"20, 40, 60, 80, 100",,6.2F.3.17
NS_69,6.5F.3.3.8,n102,"20, 40, 80",,6.2F.3.18
NS_71,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2F.3.19
NOTE 1:The A-MPR shall apply to all active 20 MHz sub-bands contiguously allocated in the channel.,,,,,
