Pre-coding,Modulation,RB Allocation (Note 2),RB Allocation (Note 3),
,,Full/Partial,Full (dB),Partial (dB)
DFT-s-OFDM,PI/2 BPSK4,See Table 6.2F.2-1,≤ 4.0,≤ 6.5
,QPSK,,≤ 4.0,≤ 6.5
,16 QAM,,≤ 4.0,≤ 6.5
,64 QAM,,≤ 4.0,≤ 6.5
,256 QAM,,≤ 5.0,≤ 6.5
CP-OFDM,QPSK,,≤ 5.5,≤ 6.5
,16 QAM,,≤ 5.5,≤ 7.0
,64 QAM,,≤ 5.5,≤ 7.0
,256 QAM,,≤ 7.0,≤ 7.0
"NOTE 1:Full allocation A-MPR applies when all RB’s in a 20 MHz channel or all RB’s in all sub-bands for wideband operation are fully allocated and all sub-bands are transmitted.  Partial allocation A-MPR applies when one or more RB’s in one or more sub-bands are not allocated or when not all transmitted sub-bands for wideband operation are transmitted.NOTE 2:Applicable for 20 MHz channels centered at the nearest NR-ARFCN corresponding to 5180, 5200, 5220, 5280, 5300, 5320, 5500, 5520, 5540, 5560, 5580, 5600, 5620, 5640, 5660, 5680, 5745, 5765, 5785, and 5805 MHz.NOTE 3:Applicable for all valid channels and bandwidths other than those enumerated in NOTE 2.NOTE 4:Applicable to Pi/2-BPSK modulation when IE powerBoostPi2BPSK is set to 0.",,,,
