Pre-coding,Modulation,Channel bandwidth (Sub-band allocation) / RB Allocation,,,,,
,,20 MHz,,40 MHz,,80 MHz,
,,Full (dB),Partial (dB),Full (dB),Partial (dB),Full (dB),Partial (dB)
DFT-s-OFDM,PI/2 BPSK2,≤ 6.0,≤ 6.0,≤ 6.0,≤ 6.5,≤ 6.5,≤ 7.0
,QPSK,≤ 6.0,≤ 6.0,≤ 6.0,≤ 6.5,≤ 6.5,≤ 7.0
,16 QAM,≤ 6.0,≤ 6.0,≤ 6.0,≤ 6.5,≤ 6.5,≤ 7.0
,64 QAM,≤ 6.0,≤ 6.0,≤ 6.0,≤ 6.5,≤ 6.5,≤ 7.0
,256 QAM,≤ 6.0,≤ 6.0,≤ 6.0,≤ 6.5,≤ 6.5,≤ 7.0
CP-OFDM,QPSK,≤ 6.0,≤ 6.0,≤ 6.0,≤ 8.0,≤ 6.5,≤ 8.5
,16 QAM,≤ 6.0,≤ 6.0,≤ 6.0,≤ 8.0,≤ 6.5,≤ 8.5
,64 QAM,≤ 6.0,≤ 6.0,≤ 6.0,≤ 8.0,≤ 6.5,≤ 8.5
,256 QAM,≤ 7.0,≤ 6.0,≤ 6.0,≤ 8.0,≤ 7.0,≤ 8.5
"NOTE 1:Full allocation A-MPR applies when all RB’s in a 20 MHz channel or all RB’s in all sub-bands for wideband operation are fully allocated and all sub-bands are transmitted.  Partial allocation A-MPR applies when one or more RB’s in one or more sub-bands are not allocated but when all sub-bands within the channel are transmitted.  When not all sub-bands within the channel are transmitted, the A-MPR associated with the channel bandwidth according to the bandwidth of the contiguously transmitted sub-bands and according to the allocation type applies.NOTE 2:Applicable to Pi/2-BPSK modulation when IE powerBoostPi2BPSK is set to 0.NOTE 3: Channel bandwidth sizes of 60MHz and 100MHz are not applicable for this network signalling.",,,,,,,
