CA configuration,SCS(PCC/SCC)(kHz),Aggregated channel bandwidth (PCC+SCC),Wgap / [MHz],UL PCC allocation(LCRB),SCCΔRIBNC (dB),Duplex mode
CA_n1(2A),15/15,5MHz + 5MHz,0.0 < Wgap ≤ 50.0,25,0.5,FDD
CA_n2(2A),15/15,5MHz + 5MHz,Wgap = 50.0,105,5.0,FDD
,,,Wgap = 30.0,25,0.0,
CA_n3(2A),15/15,5MHz + 5MHz,Wgap = 65.0,125,4.7,FDD
,,,Wgap = 45.0,255,0.0,
CA_n5(2A),15/15,15MHz + 5MHz,Wgap = 5.0,55,6.3,FDD
CA_n7(2A),15/15,10MHz + 5MHz,Wgap = 55,325,0.0,FDD
,,,Wgap = 30,505,0.0,
CA_n12(2A),15/15,5MHz + 5MHz,0.0 < Wgap ≤ 7.0,5 (RBstart=12),3,FDD
CA_n25(2A) 9,15/15,5MHz + 5MHz,Wgap = 55.0,105,5.0,FDD
,,,Wgap = 30.0,25,0.0,
CA_n25(2A) 10,15/15,40MHz + 5MHz,Wgap = 20.0,40 (RBstart = 176),[24.6] 8,FDD
CA_n26(2A),15/15,15MHz + 10MHz,Wgap = 10.0,5 (RBstart = 74),25.2,FDD
CA_n66(2A)CA_n66(3A),N/A,NOTE 1,NOTE 2,"NOTE 3, NOTE 4",0.0,FDD
CA_n71(2A),15/15,15MHz + 10MHz,Wgap = 10.0,5 (RBstart = 2),22.2,FDD
,,25MHz + 5MHz11,Wgap = 5.0,20 (RBstart = 19),25.1,
"NOTE 1:All combinations of channel bandwidths defined in Table 5.5A.2-1.NOTE 2:All applicable sub-block gap sizes.NOTE 3:The PCC allocation is same as Transmission bandwidth configuration NRB as defined in Table 5.3.2-1. NOTE 4:The carrier center frequency of PCC in the DL operating band is configured closer to the UL operating band.NOTE 5:Refers to the UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission.NOTE 6:Wgap is the sub-block gap between the two sub-blocks.NOTE 7:Void.NOTE 8: For operation with three or more non-contiguous component carriers, ΔRIBNC applies to all secondary component carriers.NOTE 9:Bandwidth Combination Set 0.NOTE 10:Bandwidth Combination Set 1NOTE 11: Applicable only to Bandwidth Combination Set 4 and 5 and for UEs supporting the symmetrical UL/DL channel bandwidths.",,,,,,
