Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
CA_n1-n3,n1,1950,5,25,2140,23,FDD,IMD3
,n3,1760,5,25,1855,N/A,TDD,N/A
CA_n1-n8,n1,1965,5,25,2155,6.0,FDD,IMD4
,n8,887.5,5,25,932.5,N/A,FDD,N/A
CA_n1-n46,n1,1950,5,25,2140,5,FDD,IMD5
,n46,5660,20,100,5660,N/A,TDD,N/A
CA_n1-n71,n1,1958,5,25,2148,N/A,FDD,N/A
,n71,668,5,25,622,15.1,FDD,IMD3
CA_n1-n77,n1,1950,5,25,2140,29.8,FDD,"IMD24,21"
,n77,4090,10,50,4090,N/A,TDD,N/A
,n1,N/A,5,N/A,2130,17,FDD,IMD516
,n7712,3310,10,1 (RBSTART=25),3310,N/A,TDD,N/A
,,3900,10,1 (RBSTART=25),3900,,,
CA_n1-n78,n1,1950,5,25,2140,8.0,FDD,IMD4
,n78,3710,10,50,3710,N/A,TDD,N/A
,n1,N/A,5,N/A,2167.5,1.7,FDD,IMD717
,n7812,3305,10,1 (RBSTART=0),3305,N/A,TDD,N/A
,,3675,10,1 (RBSTART=44),3675,,,
CA_n1-n102,n1,1922.5,5,25,2112.5,13,FDD,IMD3
,n102,5957.5,20,100,5957.5,N/A,TDD,N/A
CA_n1-n105,n1,1958,5,25,2148,N/A,FDD,N/A
,n105,673,5,25,622,15.1,FDD,IMD3
CA_n2-n48,n2,1852.5,5,25,1932.5,12,FDD,IMD4
,n48,3625,20,100,3625,N/A,TDD,N/A
CA_n2-n66,n2,1855,5,25,1935,20,FDD,IMD34
,n66,1775,5,25,2175,N/A,FDD,N/A
CA_n2-n77,n2,1855,5,25,1935,26,FDD,IMD221
,n77,3790,10,50,3790,N/A,TDD,N/A
,n2,1885,5,25,1965,5,FDD,IMD5
,n77,3810,10,50,3810,N/A,TDD,N/A
,n2,N/A,5,N/A,1987.5,2.7,FDD,IMD7
,n7712,3455,10,1 (RBSTART=10),3455,N/A,TDD,N/A
,,3945,10,1 (RBSTART=0),3945,,,
CA_n2-n78,n2,1855,5,25,1935,26,FDD,IMD24
,n78,3790,10,50,3790,N/A,TDD,N/A
CA_n3-n5,n3,1771,10,50,1866,4,FDD,IMD4
,n5,838,5,25,883,N/A,FDD,N/A
,n3,1721,10,50,1816,N/A,FDD,N/A
,n5,838,5,25,883,24,FDD,IMD23
CA_n3-n7,n3,1730,5,25,1825,N/A,FDD,N/A
,n7,2535,10,50,2655,10.2,FDD,IMD4
CA_n3-n8,n3,1755,10,50,1850,N/A,FDD,N/A
,n8,900,5,25,945,8,FDD,IMD44
,n3,1747.5,10,50,1842.5,6.4,FDD,IMD5
,n8,897.5,5,25,942.5,N/A,FDD,N/A
CA_n3-n18,n3,1731,5,25,1826,4,FDD,IMD4
,n18,818,5,25,863,N/A,FDD,N/A
CA_n3-n20,n3,1775,5,25,1870,4,FDD,IMD4
,n20,840,5,25,799,N/A,FDD,N/A
,n3,1735,5,25,1830,N/A,FDD,N/A
,n20,847,5,25,806,9,FDD,IMD4
CA_n3-n26,n3,1771,5,25,1866,4,FDD,IMD4
,n26,838,5,25,883,N/A,FDD,N/A
,n3,1721,5,25,1816,N/A,FDD,N/A
,n26,838,5,25,883,26,FDD,IMD24
CA_n3-n38,n3,1713,5,25,1808,8.2,FDD,IMD4
,n38,2617,5,25,2617,N/A,TDD,N/A
CA_n3-n41,n3,1740,5,25,1835,8.2,FDD,IMD4
,n41,2657.5,10,50,2657.5,N/A,TDD,N/A
,n3,N/A,5,N/A,1877.5,N/A,FDD,IMD914
,n41,2545,60,1 (RBSTART= 0),2545,N/A,TDD,N/A
,,2625,100,1 (RBSTART= 272),2625,,,
,n3,1747.5,5,25 (RBSTART= 0),1842.5,15.3,FDD,IMD3
,n41,2560,60,1 (RBSTART= 30),2560,N/A,TDD,N/A
,,2620,60,1 (RBSTART= 127),2620,,,
CA_n3-n77,n3,1740,5,25,1835,26,FDD,"IMD24,21"
,n77,3575,10,50,3575,N/A,TDD,N/A
,n3,N/A,N/A,N/A,N/A,N/A,FDD,IMD57
,n7712,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n3,N/A,5,N/A,1877.5,2.2,FDD,IMD7
,n7712,3427.5,10,1 (RBSTART=10),3427.5,N/A,TDD,N/A
,,3945,10,1 (RBSTART=0),3945,,,
CA_n3-n78,n3,1740,5,25,1835,26,FDD,"IMD24,21"
,n78,3575,10,25,3575,N/A,TDD,N/A
,n3,N/A,5,N/A,1877.5,2.2,FDD,IMD7
,n7812,3305,10,1 (RBSTART=3),3305,N/A,TDD,N/A
,,3780,10,1 (RBSTART=0),3780,,,
CA_n3-n104,n3,1750,5,25,1845,9.0,FDD,IMD4
,n104,7095,20,50,7095,N/A,TDD,N/A
CA_n5-n7,n5,834,5,25,879,12,FDD,IMD34
,n7,2547,10,50,2667,N/A,FDD,N/A
CA_n5-n8,n5,837.5,5,25,882.5,N/A,FDD,N/A
,n8,882.5,5,25,927.5,25,FDD,IMD3
CA_n5-n12,n5,829,10,10 (RBSTART=0),874,N/A18,FDD,N/A
,,838.9,10,10 (RBSTART=36),883.9,,,
,n12,N/A,5,N/A,743.5,20.8,FDD,IMD11
CA_n5-n13,n5,828,5,25,873,25,FDD,IMD3
,n13,783,5,25,752,N/A,FDD,N/A
CA_n5-n14,n5,836,5,25,881,25,FDD,IMD34
,n14,791,5,25,761,N/A,FDD,N/A
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n14,795.5,5,25,765.5,25,FDD,IMD3
,n5,829,10,10 (RBSTART=0),874,N/A18,FDD,N/A
,,838.9,10,10 (RBSTART=28),883.9,,,
,n14,N/A,5,N/A,765.5,26.2,FDD,IMD9
CA_n5-n29,n5,829,10,10 (RBSTART=0),874,N/A18,FDD,N/A
,,838.9,10,10 (RBSTART=36),883.9,,,
,n29,N/A,5,N/A,725.5,16.0,FDD,IMD13
CA_n5_n41,n5,839,5,25,884,15.6,FDD,IMD33
,n41,2562,10,50,2562,N/A,TDD,N/A
CA_n5-n66,n5,838,5,25,883,30,FDD,IMD24
,n66,1721,5,25,2121,N/A,FDD,N/A
CA_n5-n77,n5,N/A,N/A,N/A,N/A,N/A,FDD,IMD27
,n7712,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n5,844,5,25,889,8.3,FDD,IMD413
,n77,3421,10,50,3421,N/A,TDD,N/A
,n5,829,5,25,874,5.5,FDD,IMD513
,n77,4190,10,50,4190,N/A,TDD,N/A
,n5,N/A,5,N/A,880,8.6,FDD,IMD4
,n7712,3410,10,1 (RBSTART=25),3410,N/A,TDD,N/A
,,3850,10,1 (RBSTART=25),3850,,,
CA_n5-n78,n5,844,5,25,889,8.3,FDD,IMD4
,n78,3421,10,50,3421,N/A,TDD,N/A
,n5,N/A,5,N/A,880,8.6,FDD,IMD417
,n7812,3340,10,1 (RBSTART=25),3340,N/A,TDD,N/A
,,3780,10,1 (RBSTART=25),3780,,,
CA_n7-n20,n7,2512,5,50,2632,N/A,FDD,N/A
