Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CAConfiguration,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
CA_n1-n3,n1,1950,5,25,2140,32,FDD,IMD3
,n3,1760,5,25,1855,N/A,FDD,N/A
CA_n1-n77,n1,1950,5,25,2140,35.8,FDD,"IMD24,18"
,n77,4090,10,50,4090,N/A,TDD,N/A
,n1,N/A,5,N/A,2130,20,FDD,IMD515
,n7712,3310,10,1 (RBSTART=25),3310,N/A,TDD,N/A
,,3900,10,1 (RBSTART=25),3900,,,
CA_n1-n78,n1,1950,5,25,2140,17.8,FDD,IMD4
,n78,3710,10,50,3710,N/A,TDD,N/A
,n1,N/A,5,N/A,"2165,7",6.5,FDD,IMD7
,n7812,3305,10,1 (RBSTART=0),3305,N/A,TDD,N/A
,,3675,10,1 (RBSTART=44),3675,,,
CA_n2-n77,n2,1855,5,25,1935,32.10,FDD,IMD218
,n77,3790,10,50,3790,N/A,TDD,N/A
,n2,1885,5,25,1965,20.0,FDD,IMD5
,n77,3810,10,50,3810,N/A,TDD,N/A
CA_n3-n7,n3,1730,5,25,1825,N/A,FDD,N/A
,n7,2535,10,50,2655,21.8,FDD,IMD4
CA_n3-n20,n3,1775,5,25,1870,14,FDD,IMD4
,n20,840,5,25,799,N/A,FDD,N/A
,n3,1735,5,25,1830,N/A,FDD,N/A
,n20,847,5,25,806,20.4,FDD,IMD4
CA_n3-n41,n3,1740,5,25,1835,18.4,FDD,IMD4
,n41,2657.5,10,50,2657.5,N/A,TDD,N/A
,n3,1747.5,5,25 (RBSTART= 0),1842.5,21.3,FDD,IMD3
,n41,2560,60,1 (RBSTART= 30),2560,N/A,TDD,N/A
,,2620,60,1 (RBSTART= 127),2620,,,
,n3,N/A,5,N/A,1877.5,N/A17,FDD,IMD9
,n41,2545,60,1 (RBSTART= 0),2545,N/A,TDD,N/A
,,2625,100,1 (RBSTART= 272),2625,,,
CA_n3-n77,n3,1740,5,25,1835,31.9,FDD,"IMD24,18"
,n77,3575,10,50,3575,N/A,TDD,N/A
,n3,N/A,N/A,N/A,N/A,N/A6,FDD,IMD5
,n77,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n3,N/A,5,N/A,1877.5,7.9,FDD,IMD7
,n7712,3427.5,10,1 (RBstart=10),3427.5,N/A,TDD,N/A
,,3945,10,1 (RBstart=0),3945,,,
CA_n3-n78,n3,1740,5,25,1835,31.9,FDD,"IMD24,18"
,n78,3575,10,50,3575,N/A,TDD,N/A
,n3,N/A,5,N/A,1877.5,7.9,FDD,IMD7
,n7812,3305,10,1 (RBSTART=3),3305,N/A,TDD,N/A
,,3780,10,1 (RBSTART=0),3780,,,
CA_n5-n77,n5,844,5,25,889,18.6,FDD,"IMD44,13"
,n77,3421,10,50,3421,N/A,TDD,N/A
,n5,829,5,25,874,16.7,FDD,IMD513
,n77,4190,10,50,4190,N/A,TDD,N/A
,n5,N/A,5,N/A,880,18.5,FDD,IMD4
,n7712,3410,10,1 (RBSTART=25),3410,N/A,TDD,N/A
,,3850,10,1 (RBSTART=25),3850,,,
CA_n5-n78,n5,844,5,25,889,18.6,FDD,IMD4
,n78,3421,10,50,3421,N/A,TDD,N/A
CA_n5-n784,n5,N/A,5,N/A,880,16.7,FDD,IMD4
,n7812,3340,10,1 (RBSTART=25),3340,N/A,TDD,N/A
,,3780,10,1 (RBSTART=25),3780,,,
CA_n7-n20,n7,2512,5,50,2632,N/A,FDD,N/A
,n20,851,5,25,810,20.7,FDD,IMD3
CA_n7-n77,n7,2540,5,25,2660,15.8,FDD,IMD4
,n77,3870,10,50,3870,N/A,TDD,N/A
,n7,N/A,5,N/A,2687.5,18,FDD,IMD515
,n7712,3455,10,1 (RBSTART=0),3455,N/A,TDD,N/A
,,3835,10,1 (RBSTART=7),3835,,,
CA_n7-n78,n7,N/A,5,N/A,2650,18,FDD,IMD515
,n7812,3350,10,1 (RBSTART=25),3350,N/A,TDD,N/A
,,3700,10,1 (RBSTART=25),3700,,,
CA_n8-n41,n8,882.5,5,25,927.5,21.1,FDD,IMD34
,n41,2685,10,50,2685,N/A,TDD,N/A
CA_n8-n77,n8,897.5,5,25,942.5,15.5,FDD,IMD4
,n77,3635,10,50,3635,N/A,TDD,N/A
CA_n8-n78,n8,897.5,5,25,942.5,15.5,FDD,IMD4
,n78,3635,10,50,3635,N/A,TDD,N/A
CA_n8-n79,n8,897.5,5,25,942.5,21.5,FDD,IMD5
,n79,4532.5,40,216,4532.5,N/A,TDD,N/A
CA_n12-n77,n12,702,5,20,732,11.7,FDD,IMD5
,n77,3540,10,50,3540,N/A,TDD,N/A
CA_n13-n77,n13,N/A,5,N/A,750,16.6,FDD,IMD414
,n7712,3510,10,1 (RBSTART=25),3510,N/A,TDD,N/A
,,3885,10,1 (RBSTART=25),3885,,,
,n13,782,5,20,751,20.5,FDD,IMD5
,n77,3880,10,50,3880,N/A,TDD,N/A
CA_n14-n77,n14,795.5,5,15,765.5,11.7,FDD,IMD5
,n77,3947.5,10,50,3947.5,N/A,TDD,N/A
CA_n18-n41,n18,820,5,25,865,23.1,FDD,IMD3
,n41,2505,10,50,2505,N/A,TDD,N/A
CA_n18-n77,n18,827.5,5,25,872.5,17.5,FDD,IMD48
,n77,3355,10,50,3355,N/A,TDD,N/A
,n18,817.5,5,25,862.5,10.5,FDD,IMD58
,n77,4130,10,50,4130,N/A,TDD,N/A
,n18,N/A,N/A,N/A,N/A,N/A,FDD,IMD27
,n7712,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n18,N/A,5,N/A,870,16.7,FDD,IMD4
,n7712,34803915,1010,1 (RBSTART=25)1 (RBSTART=25),34803800,N/A,TDD,N/A
CA_n25-n41,n25,N/A,5,N/A,1992.5,16.6,FDD,IMD7
,n41,2545,90,1 (RBstart=0),2545,N/A,TDD,N/A
,,2640,100,1 (RBstart=221),2640,,,
,n25,1860,5,25,1940,21.3,FDD,IMD3
,n41,2501,10,1 (RBstart = 25),2501,N/A,TDD,N/A
,,2556,100,1 (RBstart = 208),2556,,,
CA_n25-n66,n66,1775,5,25,2175,N/A,FDD,N/A
,n25,1855,5,25,1935,29,FDD,IMD3
,n66,1712.5,5,25,2112.5,32,FDD,IMD34
,n25,1912.5,5,25,1992.5,N/A,FDD,N/A
CA_n25-n77,n25,1855,5,25,1935,32.1,FDD,"IMD24,18"
,n77,3790,10,50,3790,N/A,TDD,N/A
,n25,N/A,5,N/A,1987.5,8.4,FDD,IMD7
,n7712,3455,10,1 (RBSTART=10),3455,N/A,TDD,N/A
,,3945,10,1 (RBSTART=0),3945,,,
CA_n25-n78,n25,1855,5,25,1935,32.10,FDD,IMD24
,n78,3790,10,50,3790,N/A,TDD,N/A
,n25,N/A,5,N/A,1980,8.4,FDD,IMD7
,n7812,3315,10,1 (RBSTART=7),3315,N/A,TDD,N/A
,,3760,10,1 (RBSTART=0),3760,,,
CA_n26-n78,n26,836.5,5,25,881.5,23.8,FDD,IMD4
,n78,3391,10,50,3391,N/A,TDD,N/A
CA_n28-n77,n28,N/A,N/A,N/A,N/A,N/A,FDD,IMD27
,n7712,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n28,705.5,5,25,760.5,19.2,FDD,IMD5
,n77,3582.5,10,50,3582.5,N/A,TDD,N/A
,n28,725,5,25,780,16.6,FDD,IMD414
,n7712,3510,10,1 (RBSTART=25),3510,N/A,TDD,N/A
,,3900,10,1 (RBSTART=25),3900,,,
CA_n28-n78,n28,N/A,5,N/A,780,16.7,FDD,IMD414
,n7812,3310,10,1 (RBSTART=7),3310,N/A,TDD,N/A
,,3700,10,1 (RBSTART=0),3700,,,
,n28,705.5,5,25,760.5,19.2,FDD,IMD5
