Operating band / SCS / Channel bandwidth,,,,,
Operating Band,SCS kHz,5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm)
n1,15,-100.0,-96.8,-95.0,-93.7
,30,,-97.2,-95.2,-93.9
,60,,-97.5,-95.4,-94.2
n2,15,-98.8,-95.6,-93.8,-92.5
,30,,-96.0,-94.0,-92.7
,60,,-96.3,-94.2,-93.0
n3,15,-97.8,-94.6,-92.8,-91.5
,30,,-95.0,-93.0,-91.7
,60,,-95.3,-93.2,-92.0
n5,15,-98.8,-95.6,-93.8,-92.5
,30,,-96.0,-94.0,-92.7
n7,15,-98.8,-95.6,-93.8,-92.5
,30,,-96.0,-94.0,-92.7
,60,,-96.3,-94.2,-93.0
n8,15,-97.8,-94.6,-92.8,-91.5
,30,,-95.0,-93.0,-91.7
n12,15,-97.8,-94.6,-92.8,
,30,,-95.0,-93.0,
n13,15,-97.8,-94.6,,
,30,,-95.0,,
n14,15,-97.8,-94.6,,
,30,,-95.0,,
n18,15,-100.0,-96.8,-95.0,
,30,,-97.2,-95.2,
n20,15,-97.8,-94.6,-92.8,-91.5
,30,,-95.0,-93.0,-91.7
n24,15,-100.0,-96.8,,
,30,,-97.2,,
,60,,-97.5,,
n25,15,-97.3,-94.1,-92.3,-91.0
,30,,-94.5,-92.5,-91.2
,60,,-94.8,-92.7,-91.5
n26,15,-98.3,-95.1,-93.3,-92.0
,30,,-95.5,-93.5,-92.2
n28,15,-99.3,-96.1,-94.3,-93.0
,30,,-96.5,-94.5,-93.2
n30,15,-99.5,-96.3,,
,30,,-96.7,,
n65,15,-100.0,-96.8,-95.0,-93.7
,30,,-97.2,-95.2,-93.9
,60,,-97.5,-95.4,-94.2
n66,15,-100.0,-96.8,-95.0,-93.7
,30,,-97.2,-95.2,-93.9
,60,,-97.5,-95.4,-94.2
n70,15,-100.0,-96.8,-95.0,-93.7
,30,,-97.2,-95.2,-93.9
,60,,-97.5,-95.4,-94.2
n71,15,-98.0,-94.8,-93.0,-91.7
,30,,-95.2,-93.2,-91.9
n74,15,-100.0,-96.8,-95.0,-93.7
,30,,-97.2,-95.2,-93.9
,60,,-97.5,-95.4,-94.2
n85,15,-97.8,-94.6,-92.8,
,30,,-95.0,-93.0,
n91,15,-100.0,,,
n92,15,-100.0,-96.8,-95.0,-93.7
,30,,-97.2,-95.2,-93.9
n93,15,-100.0,,,
n94,15,-100.0,-96.8,-95.0,-93.7
,30,,-97.2,-95.2,-93.9
n105,15,-981,-94.8,-93,-91.7
,30,,-95.2,-93.2,-91.9
NOTE 1:DL channels overlapping the 612-617MHz range have 0.5dB added to the REFSENS,,,,,
