Parameter,Allocated resource blocks (LCRB),CP-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,64QAM,19,408,16,2,1,792,132
,5,11,64QAM,19,2024,16,2,1,3960,660
,9,11,64QAM,19,3624,16,2,1,7128,1188
,10,11,64QAM,19,3968,24,1,1,7920,1320
,11,11,64QAM,19,4352,24,1,1,8712,1452
,12,11,64QAM,19,4736,24,1,1,9504,1584
,13,11,64QAM,19,5120,24,1,1,10296,1716
,15,11,64QAM,19,6016,24,1,1,11880,1980
,18,11,64QAM,19,7168,24,1,1,14256,2376
,19,11,64QAM,19,7552,24,1,,15048,2508
,24,11,64QAM,19,9480,24,1,2,19008,3168
,25,11,64QAM,19,9992,24,1,2,19800,3300
,26,11,64QAM,19,10504,24,1,2,20592,3432
,31,11,64QAM,19,12296,24,1,2,24552,4092
,33,11,64QAM,19,13064,24,1,2,26136,4356
,35,11,64QAM,19,14088,24,1,2,27720,4620
,38,11,64QAM,19,15112,24,1,2,30096,5016
,39,11,64QAM,19,15624,24,1,2,30888,5148
,47,11,64QAM,19,18960,24,1,3,37224,6204
,51,11,64QAM,19,20496,24,1,3,40392,6732
,52,11,64QAM,19,21000,24,1,3,41184,6864
,53,11,64QAM,19,21000,24,1,3,41976,6996
,61,11,64QAM,19,24567,24,1,3,48312,8052
,65,11,64QAM,19,26120,24,1,4,51480,8580
,67,11,64QAM,19,26632,24,1,4,53064,8844
,78,11,64QAM,19,31240,24,1,4,61776,10296
,79,11,64QAM,19,31752,24,1,4,62568,10428
,80,11,64QAM,19,31752,24,1,4,63360,10560
,81,11,64QAM,19,32264,24,1,4,64152,10692
,93,11,64QAM,19,36896,24,1,5,73656,12276
,95,11,64QAM,19,37896,24,1,5,75240,12540
,93,11,64QAM,19,36896,24,1,5,73656,12276
,106,11,64QAM,19,42016,24,1,5,83952,13992
,107,11,64QAM,19,43032,24,1,6,84744,14124
,108,11,64QAM,19,43032,24,1,6,85536,14256
,109,11,64QAM,19,44040,24,1,6,86328,14388
,121,11,64QAM,19,48168,24,1,6,95832,15972
,123,11,64QAM,19,49176,24,1,6,97416,16236
,133,11,64QAM,19,53288,24,1,7,105336,17556
,135,11,64QAM,19,54296,24,1,7,106920,17820
,137,11,64QAM,19,54296,24,1,7,108504,18084
,160,11,64QAM,19,63528,24,1,8,126720,21120
,162,11,64QAM,19,64552,24,1,8,128304,21384
,189,11,64QAM,19,75792,24,1,9,149688,24948
,216,11,64QAM,19,86040,24,1,11,171072,28512
,217,11,64QAM,19,86040,24,1,11,171864,28644
,245,11,64QAM,19,98376,24,1,12,194040,32340
,270,11,64QAM,19,108552,24,1,13,213840,35640
,273,11,64QAM,19,108552,24,1,13,216216,36036
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 5.1.3.1-1 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
