Change history,,,,,,,,
Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version,
2017-08,RAN4#84,R4-1708909,,,,Initial Skeleton,0.0.1,
2017-10,RAN4#84Bis,R4-1709958,,,,"Added approved TPs in RAN4-NR-AH#3R4-1709948, TP for TS 38.101-1: minimum output power, HuaweiR4-1709454, TP for TS 38.101-1:UE Tx spurious emission for range 1, ZTE Corporation",0.1.0,
2017-10,RAN4#84Bis,R4-1711978,,,,"Embedded approved TPs in RAN4#84BisR4-1711556, ""TP to TS 38.101: Draft CR to Transmitter power clause"", NokiaR4-1710962, ""TP to TS 38.101-1: Draft CR to Output RF spectrum emissions"" NokiaR4-1711608, ""TP for TS38.101-1 on conducted UE transmitter intermodulation for FR1(section 6.5)"" ZTE CorporationNumber of TPs by editors",0.2.0,
2017-12,RAN4#85,R4-1713805,,,,"Approved TPs in RAN4#85R4-1713204, TP on general parts for 38.101-1 NR FR1, EricssonR4-1714047, WF on MPR for sub6GHz, NTT DOCOMO, INC.R4-1714052, TP for TS 38.101-1 introduction of band n71 for transmitter characteristics, T-Mobile USA Inc.R4-1714162, TP to 38.101-1: ACS, EricssonR4-1714163, TP to 36.101-1: In-band blocking, EricssonR4-1714446, TP to 36.101-1: Out-of-band blocking and exceptions for spurious response, EricssonR4-1714369, TP for NBB requirement for FR1, Intel CorporationR4-1714529, TP on introducing operating bands for NR-LTE DC including SUL band combinations in 38.101-1, HuaweiR4-1714097, TP for TS 38.101-1: UE RF requirements for standalone SUL, HuaweiR4-1714536, TP for TS 38.101-1: Channel Bandwidth Definition, Qualcomm Incorporated (Note, this TP was further discussed and edited in the reflector)R4-1714114, TP for TS 38.101-1: Channel Arrangement, Qualcomm Incorporated (Note, this TP was further discussed and edited in the reflector)R4-1714029, Sub6 Reference Sensitivity, Qualcomm IncorporatedR4-1714329, TP to TR 38.101-01 v0.2.0: ON/OFF mask design for NR UE transmissions for FR1, EricssonBand list according to R4-1714542, List of bands and band combinations to be introduced into RAN4 NR core requirements by December 2017, RAN4 ChairmenInput from:R4-1714479, TP for TR 38.817-01 NR channel bandwidth, Huawei, HiSilicon",0.3.0,
2017-12,RAN4#85,R4-1714569,,,,Further corrections and alignments with 38.104 after email review,0.4.0,
2017-12,RAN#78,RP-172475,,,,v1.0.0 submitted for plenary approval. Contents same as 0.4.0,1.0.0,
2017-12,RAN#78,,,,,Approved by plenary – Rel-15 spec under change control,15.0.0,
2018-03,RAN#79,RP-180264,0003,,F,"Implementation of endorced CRs to 38.101-1Endorsed draft CRsF: R4-1800400, Editorial corrections for 38.101-1, QualcommB: R4-1801102, Draft CR for 30 MHz CBW support, HuaweiF: R4-1800032, 38.101-1 n71 draft CR for section 6.2.3 - UE A-MPR - NS values, T-Mobile USA Inc.B: R4-1801121, Draft pCR for TS 38.101-1 version 15.0.0: Remaining ON/OFF masks for FR1 NR UE transmissions, EricssonF: R4-1800417, Correction of NR SEM table and additional requirements table, vivoF: R4-1800033, 38.101-1 n71 draft CR for section 6.5.3.2 Spurious emissions for UE co-existence, T-Mobile USA Inc.F: R4-1801114, Proposal on protected band numbering in UE specs, Sprint CorporationF: R4-1800407, Draft CR for TS 38.101-1: Mandatory 4Rx antenna performance for NR UE, Vodafone Group PlcF: R4-1800451Draft CR for TS 38.101-1: Clarification of 4Rx NR bands, Huawei, HiSiliconF: R4-1801136, Draft CR for TS 38.101-1: REFSENS for NR bands, Huawei, HiSiliconF: R4-1801137, Draft CR: n71 REFSENS, Dish NetworkF: R4-1800395, Draft CR to 38.101-1: corrections to ACS and in-band blocking, EricssonF: R4-1800396, Draft CR to 38.101-1: corrections to out-of-band blocking, EricssonF: R4-1800397, Draft CR to 38.101-1: corrections to spurious response, EricssonF: R4-1800305, Draft CR for NR FR1 wide band intermodulation requirements, MediaTek Inc.F: R4-1800320, Draft CR to 38.101-1: Rx Spurious emission for NR FR1 (section 7.9), ZTE CorporationF: R4-1800473, Draft CR on UE RF requirements for SUL in TS 38.101-1, HuaweiF: R4-1800965, Draft CR to TS 38.101-1: Asymmetric CH BW operation, Dish NetworkF: R4-1800882, Draft CR for correction of UE channel bandwidth for Bands n77 and n78 for TS 38.101-1, Orange UKF: R4-1801012, Draft CR to 38.101-1: Clarifications to UE spectrum utilization section 5.3, EricssonF: R4-1800030, 38.101-1 n71 draft CR for section 5.4.4 - TX–RX frequency separation, T-Mobile USA IncF: R4-1801228, Draft CR to 38.101-1: Channel spacing for CA for NR FR1(section 5.4.1.2), ZTE CorporationF: R4-1801231, Correction CR for channel spacing:38.101-1, SamsungF: R4-1801235, Draft CR to TS 38.101-1: Corrections on channel raster calculation in section 5.4.2, ZTE CorporationF: R4-1801318, Draft CR on synchronization raster, HuaweiRAN4#86:R4-1803053, Draft CR for new spec structure of 38.101-1, EricssonR4-1801479, Draft CR to 38.101-1: Default Tx-RX frequency separation for NR FR1(section 5.4.4), ZTER4-1801581, Draft CR for TS 38.101-1 update of 4Rx bands, Huawei Technologies FranceR4-1802211, draft CR TS 38.101-1 Uplink configuration for FR1 NR REFSENS, Skyworks Solutions Inc.R4-1802342, Draft CR for NR FR1 ACS case 2 transmitter power setting correction (Note 1), MediaTek Inc.R4-1802509, Draft CR on 38.101-1 v15.0.0: Remaining ON/OFF masks for FR1 NR UE transmissions, EricssonR4-1802566, Draft CR to TS 38.101-1: Clarification of mixed numerology guardband size, EricssonR4-1802978, Draft CR to TS 38.101-1: Corrections on channel raster in Section 5.4.2.3, Intel CorporationR4-1803064, Draft CR for 38.101-1: Correction of errors, Sprint CorporationR4-1803065, Draft CR for 38.101-1 Introduction of n41requirements, Sprint CorporationR4-1803242, Draft CR to 38.101-1: Corrections to n66, Dish NetworkR4-1803285, Draft CR to 38.101-1: Correction to CH BWs without symmetric uplinkDish Network, Skyworks Solutions Inc.R4-1803436, Introduction of UL subcarrier alignment for additional bands, AT&TR4-1803456, Draft CR for 38.101-1: Spurious Emissions for UE Coexistence, Sprint CorporationR4-1803461, CR on configured transmitted power for TS 38.101-1, HuaweiR4-1803452, draft CR for introduction of completed band combinations from 37.865-01-01 into 38.101-1, EricssonR4-1803567, Draft CR for TS 38.101-1: Sync raster offset in re-farming bands (5.4.3), EricssonR4-1803365, CR to introduce MPR for PC2 and PC3 and A-MPR for UTRA protection, Nokia",15.1.0,
2018-06,RAN#80,RP-181262,0011,,F,"CR to TS 38.101-1: Implementation of endorsed draft CRs from RAN4 #86bis and RAN4 #87R4-1803900, Draft CR into TS 38.101-1 Introduction of band combinations for SUL, HuaweiR4-1804021CR for clarifications for NR FR1 CA BW ClassesNokia, Nokia Shanghai BellR4-1804140CR for Narrow Band Blocking requirement for FR1Intel CorporationR4-1804219Draft CR for 38.101-1: n41 SEM and additional spurious emissionsSPRINT CorporationR4-1804266Draft CR to 38.101-1 MPR channel bandwidth criteriaSkyworks Solutions Inc.R4-1804267Draft CR to 38.101-1 n3,n5,n8 REFSENS levelsSkyworks Solutions Inc.R4-1804268Draft CR to 38.101-1: Corrrection to n41 uplink configuration for reference sensitivitySkyworks Solutions Inc.R4-1804370Draft CR to add missing NR inter-band DL CA in FR1 for TS 38.101-1NTT DOCOMO, INC.R4-1804581Draft CR to 38.101-1: On EVM WordingQualcomm, Inc.R4-1804948Corrections to 5.3.3 in TS 38.101-1Nokia, Nokia Shanghai BellR4-1804877draft CR introduction completed band combinations 37.865-01-01 -> 38.101-1EricssonR4-1805444Draft CR to TS 38.101-1: Asymmetric CH BW operationDish NetworkR4-1805447drfat CR for including SRS antenna switching in configured output powerQualcomm IncorporatedR4-1805462Editorial corrections to UE RF requirements in 38.101-1Qualcomm IncorporatedR4-1805659Draft CR for CBW for n50 for 38.101-1HuaweiR4-1805664Draft CR to 38.101-1: Addition of Annex FRohde & SchwarzR4-1805665Correction to inner and outer definitions for MPRQualcomm IncorporatedR4-1805684Draft CR to TS38.101-1: Channel Raster to Resource Element Mapping (Section 5.4.2.2) and RB alignment with different numerologies (Section 5.3.4)ZTE CorporationR4-1805698Draft CR for 38.101-1 for Rx(Ch7) of Band n77, n78 and n79 RF requirementsCMCCR4-1805699Draft CR to 38.101-1:introduction of  Tx/Rx requirements for inter-band CAZTE CorporationR4-1805751Draft CR on UE-to-UE coexistence requirements to protect band 29 from NR band 71LG Electronics FranceR4-1805783Draft CR for 38.101-1 for Tx(Ch6) of Band n77, n78 and n79 RF requirementsCMCCR4-1805902Draft CR into TS 38.101-1 Correction on SUL_n78-n80Huawei, HiSiliconR4-1805904Draft CR into TS 38.101-1 Introduction of new band combinations for SULHuawei, HiSiliconR4-1805921Draft CR on NR UE REFSENS SNR FRC for FR1Intel CorporationR4-1805981Draft CR for  TS38.101-1:Sync rasterSamsungR4-1804548Draft CR for CA BW class for FR1NTT DOCOMO, INC.R4-1806170     Draft CR on frequency error for TS 38.101-1 ZTE CorporationR4-1806481     Draft CR for Environmental conditions in TS 38.101-1 Annex NTT DOCOMO, INC.R4-1806657     Draft CR to 38.101-1: Measurement BW for min and off power  Skyworks Solutions Inc.R4-1806669     Draft CR to TS38.101-1_introduction of completed band combinations for inter-band 2UL CA  ZTE CorporationR4-1806673     Draft CR to TS38.101-1_Remove brackets from Tx and Rx spurious emission table ZTE CorporationR4-1806677     Draft CR on including CA bandwidth class and band combinations for intra-band CA  LG Electronics FranceR4-1806719      Introduction of 7.5 kHz frequency shift for Band n71 Ericsson, T-MobileR4-1806844      Draft CR for 38.101-1 for Tx(Ch6): missing maximum power requirements for n1 and n8 SoftBank Corp.R4-1806945      Draft CR for TS 38.101-1: Channel raster and NR-ARFCN clarification (5.4.2) EricssonR4-1807039      Intra-band CA terminology for UE  ZTE CorporationR4-1807178      Corrections to n70 TX/RX frequency separation Dish NetworkR4-1807181      Corrections to spurious emissions UE co-existence table Dish NetworkR4-1807234      Draft CR into TS 38.101-1 Some Corrections for SUL  Huawei, HiSiliconR4-1807269      Corrections to Wide band intermodulation table <2700MHz Dish NetworkR4-1807392       to remove the brackets for SU in 38.101-1  Huawei, HiSiliconR4-1807647       Draft CR to TS 38.101-1: Correction to Asymmetric CH BW operation    Dish NetworkR4-1807680       Draft CR on 38.101-1 on channel raster to achieve alignment of data and SSB subcarrier grids    Nokia, Nokia Shanghai Bell, EricssonR4-1807705        CR for TS 38.101-1 A-MPR for n51   Huawei, HisiliconR4-1807814        Draft CR for 38.101-1: SEM correction for n41   Sprint CorporationR4-1807851        Draft CR for 38.101-1: UE spurious emission protection requirements for n5     Sprint CorporationR4-1807920        General requirements for downlink inter-band CA   Qualcomm IncorporatedR4-1807923        Resolution bandwidth for ACLR   Qualcomm IncorporatedR4-1808084          Introduction of n12 into TS 38.101-1      NokiaR4-1808087         Draft CR 38.101-1: Introduction of n2, n25, n66 and n70    Sprint Corporation, DishnetworkR4-1808090         Draft CR to TS 38.101-1: Inclusion of Simultaneous RxTx UE capability for some band combinations   Ericsson, Vodafone, OrangeR4-1808107             Draft CR to TS38.101-1_corrections on UE coexistence   ZTE CorporationR4-1808111         TP to TS38.101-1 - UE ON/OFF masks    EricssonR4-1808116            Draft CR to 38.101-1: introduction of Band n34,n39 and n40 RF requirements     ZTE Corporation,CMCCR4-1808136          Draft CR to 38.101-1: FR1 UE Power Control    Qualcomm IncorporatedR4-1808141          Correction to MPR for PC2 and spectrum emission mask measurement bandwidth      Qualcomm IncorporatedR4-1808142          Draft CR for 38.101-1 n41 A-MPR     Sprint Corporation, Nokia, Nokia Shanghai Bell, EricssonR4-1808143           Draft CR for TS 38.101-1 A-MPR for n20    Huawei, HiSiliconR4-1808155          Draft CR for TS 38.101-1: to correct reqirements for n71    SamsungR4-1808178         Addition parameters about n50 & n51 in TS 38.101-1   Huawei, Hisilicon, Etisalat (editors note: n50 not implemented per chairmans aggreement)R4-1808182         Draft CR for TS 38.101-1 A-MPR for n28    Huawei, HiSiliconR4-1808187         CR for RF requirements for Coherent UL MIMO for FR1          Qualcomm Austria RFFE GmbHR4-1808207         Draft CR to 38.101-1: On EVM Averaging Length, Wording  , QualcommR4-1808209         Draft CR for 38.101-1 for Tx (Ch6) of HPUE       QualcommR4-1808466         Draft CR on UL RMC and OCNG pattern for FDD REFSENS tests    RD sessionR4-1808493           Draft CR for TS 38.101-1: Channel and sync raster corrections (5.4)       EricssonR4-1808507          Draft CR for TS38.101-1 on addition of new 90MHz UE CBW for n41/n78      LG Electronics Inc., LG Uplus, SamsungR4-1808176, Draft CR for 38.101-1 : Introduction of A-MPR for n8, SoftBankR4-1808201, Draft CR for 38.101-1 : Introduction of A-MPR for n1, SoftBankR4-1807101, draft CR introduction completed band combinations 37.865-01-01 -> 38.101-1, Ericsson",15.2.0,
2018-09,RAN#81,RP-181896,0025,,F,"Big CR for 38.101-1Endorced draft CRs from RAN4#NR-AH-1807R4-1809335, Draft CR on UL RMC for FR1 RF tests, Qualcomm IncorporatedR4-1809337, Draft CR on NR UE REFSENS SNR FRC for FR1, Intel CorporationR4-1809339, Draft CR on measurement of receiver characteristics for FR1 RF Tests, Qualcomm IncorporatedR4-1809396, Draft CR on NR UE maximum input level FRC for FR1, IntelR4-1809567, Draft CR on OCNG pattern for FR1 REFSENS tests, Qualcomm Incorporated, Rohde & SchwarzEndorced draft CRs from RAN4#88R4-1809714, Draft CR to correct in-band blocking parameters for FR1, Anritsu CorporationR4-1809784, Draft CR to 38.101-1: Corrections on CA bandwidth classes for FR1, ZTE CorporationR4-1809785, Draft CR to TS 38.101-1 for Corrections on UE transmitter power, ZTE CorporationR4-1809793, Draft CR to 38.101-1: Corrections on additional spectrum emission mask, ZTE CorporationR4-1809919, Correction on UE receiver requirement for FR1, CATTR4-1810091, Draft CR TS 38.101-1 - UE ON-OFF mask clean up, EricssonR4-1810210, Draft CR for TS 38.101-1: MPR inner and outer RB allocations formula correction, MediaTek, Inc.R4-1810229, Draft CR for TS 38.101-1: Spurious emission for UE coexistence table corrections, MediaTek, Inc.R4-1810230, Draft CR for TS38.101-1 to correct 90MHz UE CBW, LG Electronics, Inc.R4-1810232, Draft CR for TS 38.101-1: Table 7.3.2-1 n77 reference sensitivity corrections, MediaTek, Inc.R4-1810369, Draft CR to 38.101-1: Corrections on symbols and abbreviations in section 3, ZTE CorporationR4-1810376, Draft CR: General corrections to n71 requirements, Dish NetworkR4-1810428, Draft CR on TS38.101-1 for UE maximum output power for UL MIMO, OPPOR4-1810552, Correction of reference tables, OPPOR4-1810729, Draft CR for introduction of Band n74 for TS 38.101-1, NTT DOCOMO, Inc.R4-1810862, Draft CR to 38.101-1: Updates to Transmit Modulation Annex, Rohde & SchwarzR4-1810892, CR to update Table 6.2D.1-2 for FR1, Qualcomm IncorporatedR4-1810961, CR on ACS minimum requirement, Intel CorporationR4-1810965, CR on Out-of-Band Blocking minimum requirement, Intel CorporationR4-1810967, CR on Rx Intermodulation characteristics for CA, Intel CorporationR4-1810974, Annex lettering change for 38.101-1, Qualcomm IncorporatedR4-1811189, CR to add more details to Coherent UL MIMO spec for FR1, Qualcomm IncorporatedR4-1811280, Corrections of NR receiver characteristics titles, VivoR4-1811455, Draft CR on DL Physical Channel for FR1 RF tests, Qualcomm Europe Inc. (Spain)R4-1811457, NS numbering, Qualcomm IncorporatedR4-1811459, Correction on UE transmitter requirement for FR1, CATTR4-1811463, Draft CR for 38.101-1: Addition of missing NR CA configurations n8-n75 and n28-n75, VodafoneItalia SpAR4-1811472, Addition parameters about n51 in TS 38.101-1, Huawei, Hisilicon, EtisalatR4-1811474, CR CP- OFDM almost contiguous allocation, Nokia, Nokia Shanghai BellR4-1811477, Draft CR to 38.101-1: FR1 Power Control, Qualcomm IncorporatedR4-1811478, A-MPR correction for n20 and n28, Huawei, HiSiliconR4-1811490, Draft CR to 38.101-1: Addition of Carrier Leakage table, Rohde & SchwarzR4-1811491, Draft CR for TS38.101-1 on transmit signal quality, OPPOR4-1811493, CR to TS 38.101-1: pi/2 BPSK with Spectrum Shaping, Indian Institute of Tech (M),Indian Institute of Tech (H), CEWiT,  NokiaR4-1811513, A proposal on 2UL co-ex table modification, SoftBank Corp.R4-1811514, Draft CR to TS 38.101-1: Clarification on OCNG, Keysight Technologies UK LtdR4-1811516, Draft CR on NR DL FRCs for FR1 UE RF requirements, Intel CorporationR4-1811550, Draft CR to TS 38.101-1 on  channel bandwidth and spacing descriptions, EricssonR4-1811553, Draft CR to 38.101-1: Corrections on description of channel raster entries, ZTE CorporationR4-1811783, Measurement period of PRACH time mask, CATTR4-1811792, Draft CR for A-MPR revision for n1, NTT DOCOMO, INC.R4-1811798, Draft CR for Pcmax for FR1, Qualcomm IncorporatedR4-1811799, Pcmax for inter-band NR CA FR1 draft CR, InterDigital, Inc.R4-1811812, Draft CR to 38.101-1: On FR1 AMPR Band n41 NS_04, Qualcomm IncorporatedR4-1811816, CR to update the definition of Long and Short subslot for FR1, QualcommR4-1811894, Addition parameters about n50 in TS 38.101-1, HuaweiR4-1811896, Draft CR for TS 38.101-1: n41 GSCN range modification, MediaTek Inc.R4-1811285, Draft CR TS 38.101-1: NS_04 A-MPR' and spurious emisison corrections, Sprint",15.3.0,
