Rx Parameter,Units,All CA bandwidth classes
"Power in Transmission Bandwidth Configuration, per CC",dBm,REFSENS + 14 dB
"Pinterferer for bands n257, n258, n261",dBm,Aggregated power + 21.5 dB
"Pinterferer for bands n259, n260, n262",dBm,Aggregated power + 20.5 dB
Pinterferer for band n263,dBm,Aggregated power + 19.5 dB
BWInterferer,MHz,BWChannel_CA
FInterferer (offset),MHz,+2*BWChannel_CA / -2*BWChannel_CANOTE 5
FInterferer,MHz,FDL_low + 0.5*BWChannel_CAToFDL_high - 0.5*BWChannel_CA
,,
,,
"NOTE 1:The interferer consists of the Reference measurement channel specified in Annex A.3.3.2 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1. and set-up according to Annex C.NOTE 2:The REFSENS power level is specified in Table 7.3.2-1.NOTE 3:The wanted signal consists of the reference measurement channel specified in Annex A.3.3.2 QPSK, R=1/3 with one sided dynamic OCNG pattern OP.1 TDD as described in Annex A.5.2.1 and set-up according to Annex C.NOTE 4:The FInterferer (offset) is the frequency separation between the center of the aggregated CA bandwidth and the center frequency of the Interferer signal.NOTE 5:The absolute value of the interferer offset FInterferer (offset) shall be further adjusted to (CEIL(|FInterferer(offset)|/SCS) + 0.5)*SCS  MHz with SCS the sub-carrier spacing of the carrier closest to the interferer in MHz. The interfering signal has the same SCS as that of the closest carrier.NOTE 6:FInterferer range values for unwanted modulated interfering signals are interferer center frequencies.NOTE 7:The transmitter shall be set to 4 dB below the PUMAX,f,c as defined in clause 6.2.4, with uplink configuration specified in Table 7.3.2.1-2.",,
