Parameter,,Value,,,
,,SCS 60 kHz (µ=2),SCS 120 kHz (µ=3),SCS 480 kHz (µ=5),SCS 960 kHz (µ=6)
TDD Slot Configuration pattern (Note 1),,DDDSUUUU,7DS8U,31DS32U,63DS64U
Special Slot Configuration (Note 2),,S=4D+6G+4U,S=12D+2G,S=2D+12G,S=2D+12G
referenceSubcarrierSpacing,,60 kHz,120 kHz,480 kHz,960 kHz
UL-DL configuration,dl-UL-TransmissionPeriodicity,2 ms,2 ms,2 ms,2ms
,nrofDownlinkSlots,3,7,31,63
,nrofDownlinkSymbols,4,12,2,2
,nrofUplinkSlot,4,8,32,64
,nrofUplinkSymbols,4,0,0,0
Indexes of active UL slots,,"mod(slot index, 40) = {36,…,39}","mod(slot index, 80) = {72,…,79}","mod(slot index, 320) = {288,…,319}","mod(slot index, 640) = {576,…,639}"
Indexes of active UL slots for UL Gap test,,"mod(slot index, 40) = {12,…,15, 36,…,39}","mod(slot index, 80) = {24,…,31 ,72,…,79}",,
Indexes of the UL slots for UL Gap when UL gap pattern configuration 3 (IE UL-GapFR2-Config-r17) is configured,,"mod(slot index,40)={7, 28}","mod(slot index, 80) = {15,56}",,
Indexes of the UL slots for UL Gap when UL gap pattern configuration 1 (IE UL-GapFR2-Config-r17) is configured,,"mod(slot index,160)={20, 21, 22,23, 28, 29,30,31}","mod(slot index, 320) = {8, … ,15}",,
"NOTE 1:D denotes a slot with all DL symbols; S denotes a slot with a mix of DL, UL and guard symbols; U denotes a slot with all UL symbols. The field is for information.NOTE 2:D, G, U denote DL, guard and UL symbols, respectively. The field is for information.",,,,,
