Parameter,Unit,Value,,,
Channel bandwidth,MHz,400,800,1600,2000
Subcarrier spacing configuration,,6,6,6,6
Allocated resource blocks,,33,62,124,148
Subcarriers per resource block,,12,12,12,12
Allocated slots per Frame (NOTE 7),,383 / 384,383 / 384,383 / 384,383 / 384
MCS index,,4,4,4,4
Modulation,,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3
Maximum number of HARQ transmissions,,1,1,1,1
Information Bit Payload per Slot,,,,,
"For Slots 0 and Slot i, if mod(i, 5) = {3,4} for i from {0,…,1279} (NOTE 5)",Bits,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 5) = {0,1,2} for i from {1,…,1279} (NOTE 6)",Bits,2152,4032,8064,9480
Transport block CRC,Bits,16,24,24,24
LDPC base graph,,2,1,1,1
Number of Code Blocks per Slot,,,,,
"For Slots 0 and Slot i, if mod(i, 5) = {3,4} for i from {0,…,1279} (NOTE 5)",CBs,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 5) = {0,1,2} for i from {1,…,1279} (NOTE 6)",CBs,1,1,1,2
Binary Channel Bits Per Slot,,,,,
"For Slots 0 and Slot i, if mod(i, 5) = {3,4} for i from {0,…,1279} (NOTE 5)",Bits,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 5) = {0,1,2} for i from {1,…,1279} (NOTE 6)",Bits,7128,13392,26784,31968
Max. Throughput averaged over 1 frame (NOTE 8),Mbps,82.637,154.829,309.658,364.032
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 with periodicity 20 msNOTE 4:Slot i is slot index per 2 framesNOTE 5:When this DL RMC used together with the UL RMC for the transmitter requirements requiring at least one sub frame (1ms) for the measurement period, Slot i, if mod(i, 128) = {63,…,127} for i from {0,…,1279} together with the TDD UL-DL configuration specified in A2.3.NOTE 6:When this DL RMC used together with the UL RMC for the transmitter requirements requiring at least one sub frame (1ms) for the measurement period, Slot i, if mod(i, 128) = {0,…,62} for i from {0,…,1279} together with the TDD UL-DL configuration specified in A2.3.NOTE 7:First number corresponds to the number slots allocated in the first frame of the RMC; second number corresponds to the number slots allocated in the second frame of the RMC.NOTE 8:Throughput is averaged over 2nd frame of RMC.",,,,,
