E-UTRA – NR configuration /Bandwidth combination set,,,,,,
DownlinkEN-DC configuration,Uplink EN-DC configurations,Component carriers in order of increasing carrier frequency,,,Maximum aggregated bandwidth (MHz),Bandwidth combination set
,,Channel bandwidths for E-UTRA carrier (MHz),Channel bandwidths for NR carrier (MHz),Channel bandwidths for E-UTRA carrier (MHz),,
DC_(n)3AA,DC_(n)3AA4,"5, 10, 15, 20","5,10,15,20, 25, 30",,50,0
,,,"5,10,15,20, 25, 30","5, 10, 15, 20",,
DC_(n)3CA,DC_(n)3AA4,See CA_3C Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,"10, 20, 25",,50,0
,,,"10, 20, 25",See CA_3C Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,,
DC_(n)5AA,DC_(n)5AA4,"5, 10","5, 10, 15, 20",,25,0
,,,"5, 10, 15, 20","5, 10",,
DC_(n)7AA,DC_(n)7AA4,"5, 10, 15, 20","5, 10, 15, 20",,40,0
,,,"5, 10, 15, 20","5, 10, 15, 20",,
DC_(n)8AA,DC_(n)8AA4,"5, 10","5, 10, 15, 20",,30,0
,,,"5, 10, 15, 20","5, 10",,
DC_(n)12AA,DC_(n)12AA4,"5, 10","5, 10",,15,0
,,,"5, 10","5, 10",,
DC_(n)38AA,DC_(n)38AA4,"5, 10, 15, 20","5, 10, 15, 20, 40",,50,0
,,,"5, 10, 15, 20, 40","5, 10, 15, 20",,
DC_(n)40AA,DC_(n)40AA,"5, 10, 15, 20","10, 20, 25, 30, 40, 50, 60, 70, 80, 90",,95,0
,,,"10, 20, 25, 30, 40, 50, 60, 70, 80, 90","5, 10, 15, 20",,
DC_(n)40CA,DC_(n)40AA,See CA_40C Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,"10, 20, 25, 30, 40, 50, 60, 70",,100,0
,,,"10, 20, 25, 30, 40, 50, 60, 70",See CA_40C Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,,
DC_(n)40DA,DC_(n)40AA,See CA_40D Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,"10, 20, 25, 30, 40, 50",,100,0
,,,"10, 20, 25, 30, 40, 50",See CA_40D Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,,
DC_(n)41AA,DC_(n)41AA,20,"40, 60, 80,100",,120,0
,,,"40, 60, 80,100",20,,
,,20,"40, 50, 60, 80,100",,120,1
,,,"40, 50, 60, 80,100",20,,
,,20,"10, 20, 30, 40, 50, 60, 80,100",,120,2
,,,"10, 20, 30, 40, 50, 60, 80,100",20,,
,,10,"20, 30, 40, 50, 60, 80,100",,,
,,,"20, 30, 40, 50, 60, 80,100",10,,
DC_(n)41AB,DC_(n)41AA,10,20+208,,70,0
,,,20+208,10,,
,,20,10+208,,,
,,,10+208,20,,
,,20,20+308,,,
,,,20+308,20,,
DC_(n)41CA,DC_(n)41AA,20+208,"40, 60, 80,100",,140,0
,,,"40, 60, 80,100",20+208,,
,,20+208,"40, 50, 60, 80,100",,140,1
,,,"40, 50, 60, 80,100",20+208,,
,,20+208,"10, 20, 30, 40, 50, 60, 80,100",,140,2
,,,"10, 20, 30, 40, 50, 60, 80,100",20+208,,
,,10+208,"10, 20, 30, 40, 50, 60, 80,100",,,
,,,"10, 20, 30, 40, 50, 60, 80,100",10+208,,
DC_(n)41DA,DC_(n)41AA,20+20+208,"40, 60, 80,100",,160,0
,,,"40, 60, 80,100",20+20+208,,
,,20+20+208,"40, 50, 60, 80,100",,160,1
,,,"40, 50, 60, 80,100",20+20+208,,
,,20+20+208,"30, 40, 50, 60, 80,100",,160,2
,,,"30, 40, 50, 60, 80,100",20+20+208,,
,,20+20+158,"30, 40, 50, 60, 80,100",,,
,,,"30, 40, 50, 60, 80,100",20+20+158,,
DC_(n)48AA,DC_(n)48AA4,"5, 10, 15, 20","5, 10, 15, 20, 40",,60,0
,,,"5, 10, 15, 20, 40","5, 10, 15, 20",,
DC_48A-(n)48AA,DC_(n)48AA4,See CA_48A-48A Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-3,"5, 10, 15, 20, 40",,80,0
,,,"5, 10, 15, 20, 40",See CA_48A-48A Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-3,,
DC_(n)48CA,DC_(n)48AA4,See CA_48C Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,"5, 10, 15, 20, 40",,80,0
,,,"5, 10, 15, 20, 40",See CA_48C Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,,
DC_(n)48DA,DC_(n)48AA4,See CA_48D Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,"5, 10, 15, 20, 40",,100,0
,,,"5, 10, 15, 20, 40",See CA_48D Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-1,,
DC_(n)66AA,DC_(n)66AA4,"5, 10, 15, 20","5,10,15,20, 25, 30, 40",,60,0
,,,"5,10,15,20, 25, 30, 40","5, 10, 15, 20",,
DC_66A-(n)66AA,DC_(n)66AA4,See CA_66A-66A Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-3,"5,10,15,20, 25, 30, 40",,80,0
,,,"5,10,15,20, 25, 30, 40",See CA_66A-66A Bandwidth Combination Set 0 in TS 36.101 Table 5.6A.1-3,,
DC_(n)71AA,DC_(n)71AA3,15,5,,20,0
,,10,"5, 10",,,
,,5,"5, 10, 15",,,
,,,5,15,,
,,,"5, 10",10,,
,,,"5, 10, 15",5,,
,,5,"5,10,15,20",,253,1
,,10,"5,10,15",,,
,,15,"5,10",,,
,,,"5,10,15,20",5,,
,,,"5,10,15",10,,
,,,"5,10",15,,
,-,5,"5, 10, 15, 20",,356,2
,,10,"10, 15, 20",,,
,,15,"15, 20",,,
,,,"5, 10, 15, 20",5,,
,,,"10, 15, 20",10,,
,,,"15, 20",15,,
"NOTE 1:VoidNOTE 2:VoidNOTE 3:For maximum DL aggregated bandwidth of 25 MHz the asymmetric UL and DL channel bandwidth combination of Table 5.3.6-1 in TS 38.101-1 [2] is used with a maximum UL contiguous aggregated bandwidth of 20 MHz. Furthermore, a restriction is imposed on bandwidth combinations so that only a subset of BCS1 is allowed to be used on the uplink, and this subset is equivalent to BCS0.NOTE4:Only single switched UL is supported.NOTE5:For TDD bands, the minimum requirements only apply for non-simultaneous Rx/Tx between all carriers.NOTE 6:Bandwidth Combination Set 2 only applies to intra-band EN-DC with uplink in n71 but not in Band 71, and paired with another E-UTRA band.NOTE7:The UE does not include the intraBandENDC-Support and intraBandENDC-Support-UL (absent) for these configurations if supported.NOTE 8:X+X or X+X+X presents contiguous intra-band CA configurations with component carriers in order of increasing carrier frequency as listed.",,,,,,
