NR – E-UTRA configuration /Bandwidth combination set,,,,,,
DownlinkNE-DC configuration,Uplink NE-DC configurations,Component carriers in order of increasing carrier frequency,,,Maximum aggregated bandwidth (MHz),Bandwidth combination set
,,Channel bandwidths for E-UTRA carrier (MHz),Channel bandwidths for NR carrier (MHz),Channel bandwidths for E-UTRA carrier (MHz),,
DC_3(n)AA,DC_3(n)AA1,"5, 10, 15, 20","5,10,15, 20, 25, 30",,50,0
,,,"5,10,15, 20, 25, 30","5, 10, 15, 20",,
DC_40(n)AA,DC_40(n)AA1,"5,10,15,20","10, 20, 25, 30, 40, 50, 60, 70, 80, 90",,95,0
,,,"10, 20, 25, 30, 40, 50, 60, 70, 80, 90","5,10,15,20",,
DC_40(n)AC,DC_40(n)AA1,See CA_40C Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,"10, 20, 25, 30, 40, 50, 60, 70",,95,0
,,,"10, 20, 25, 30, 40, 50, 60, 70",See CA_40C Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,,
DC_40(n)AD,DC_40(n)AA1,See CA_40D Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,"10, 20, 25, 30, 40, 50",,100,0
,,,"10, 20, 25, 30, 40, 50",See CA_40D Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,,
NOTE 1:Only single switched UL is supported.,,,,,,
