NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n25A-n257A,CA_n25A-n257A,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,See n257 channel bandwidths in Table 5.3.5-1,
CA_n25A-n257G,CA_n25A-n257A/G,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257G,
CA_n25A-n257H,CA_n25A-n257A/G/H,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257H,
CA_n25A-n257I,CA_n25A-n257A/G/H/I,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257I,
CA_n25A-n257J,CA_n25A-n257A/G/H/I/J,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257J,
CA_n25A-n257K,CA_n25A-n257A/G/H/I/J/K,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257K,
CA_n25A-n257L,CA_n25A-n257A/G/H/I/J/K/L,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257L,
CA_n25A-n257M,CA_n25A-n257A/G/H/I/J/K/L/M,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257M,
CA_n25A-n257O,CA_n25A-n257A/O,n25,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n257,CA_n257O,
CA_n25A-n257P,CA_n25A-n257A/O/P,n25,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n257,CA_n257P,
CA_n25A-n257Q,CA_n25A-n257A/O/P/Q,n25,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n257,CA_n257Q,
CA_n25A-n258A,CA_n25A-n258A,n25,"5, 10, 15, 20",0
,,n258,"50, 100, 200, 400",
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,See n258 channel bandwidths in Table 5.3.5-1,
CA_n25A-n258(2A),CA_n25A-n258A,n25,"5, 10, 15, 20",0
,,n258,CA_n258(2A),
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(2A),
CA_n25A-n258(3A),CA_n25A-n258A,n25,"5, 10, 15, 20",0
,,n258,CA_n258(3A),
CA_n25A-n258(4A),CA_n25A-n258A,n25,"5, 10, 15, 20",0
,,n258,CA_n258(4A),
CA_n25A-n258(5A),CA_n25A-n258A,n25,"5, 10, 15, 20",0
,,n258,CA_n258(5A),
CA_n25A-n258G,CA_n25A-n258A/G,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258G,
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258G,
CA_n25A-n258(2G),CA_n25A-n258A/G,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258(2G),
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(2G),
CA_n25A-n258H,CA_n25A-n258A/G/H,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258H,
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258H,
CA_n25A-n258I,CA_n25A-n258A/G/H/I,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258I,
CA_n25A-n258J,CA_n25A-n258A/G/H/I/J,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258J,
CA_n25A-n258(A-G),CA_n25A-n258A/G,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258(A-G),
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-G),
CA_n25A-n258(A-H),CA_n25A-n258A/G/H,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258(A-H),
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-H),
CA_n25A-n258(A-I),CA_n25A-n258A/G/H/I,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-I),
CA_n25A-n258(A-J),CA_n25A-n258A/G/H/I/J,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-J),
CA_n25A-n258(G-H),CA_n25A-n258A/G/H,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258(G-H),
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(G-H),
CA_n25A-n258(G-I),CA_n25A-n258A/G/H/I,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(G-I),
CA_n25A-n258(G-J),CA_n25A-n258A/G/H/I/J,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(G-J),
CA_n25A-n260A,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,"50, 100, 200, 400",
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,See n260 channel bandwidths in Table 5.3.5-1,
CA_n25A-n260(2A),CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260(2A),
CA_n25A-n260(3A),CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260(3A),
CA_n25A-n260(4A),CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260(4A),
