NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n3A-n7A-n78A-n258A,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,"50, 100, 200, 400",
CA_n3A-n7A-n78A-n258B,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258B,
CA_n3A-n7A-n78A-n258C,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258C,
CA_n3A-n7A-n78A-n258D,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258D,
CA_n3A-n7A-n78A-n258E,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258E,
CA_n3A-n7A-n78A-n258F,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258F,
CA_n3A-n7A-n78A-n258G,CA_n3A-n258A/GCA_n7A-n258A/GCA_n78A-n258A/GCA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258G,
CA_n3A-n7A-n78A-n258H,CA_n3A-n258A/G/HCA_n7A-n258A/G/HCA_n78A-n258A/G/HCA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258H,
CA_n3A-n7A-n78A-n258I,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258I,
CA_n3A-n7A-n78A-n258J,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258J,
CA_n3A-n7A-n78A-n258K,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258K,
CA_n3A-n7A-n78A-n258L,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258L,
CA_n3A-n7A-n78A-n258M,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258M,
CA_n3A-n7B-n78A-n258A,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,"50, 100, 200, 400",
CA_n3A-n7B-n78A-n258B,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258B,
CA_n3A-n7B-n78A-n258C,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258C,
CA_n3A-n7B-n78A-n258D,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258D,
CA_n3A-n7B-n78A-n258E,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258E,
CA_n3A-n7B-n78A-n258F,CA_n3A-n258ACA_n7A-n258ACA_n78A-n258ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
