Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)6",,
,Component band in order of bands in configuration7,,
DC_1_n1-n41,0.5,0.5,0.5
DC_1_n1-n78,0.3,0.3,0.8
DC_1-3_n1DC_1-3-3_n1,0.3,0.3,0.3
DC_1-3_n3DC_1_(n)3,0.3,0.3,0.3
DC_1-3_n5,0.3,0.3,0.3
DC_1-3_n7,0.6,0.6,0.6
DC_1-3_n8DC_1-3-3_n8,0.3,0.3,0.3
DC_1_n3-n8,0.3,0.3,0.3
DC_1-3_n28,0.3,0.3,0.6
DC_1-3_n26,0.3,0.3,0.3
DC_1_n3-n28,0.3,0.3,0.6
DC_1-3_n38,0.5,0.5,0.5
DC_1-3_n40,0.5,0.5,0.5
DC_1-3_n41DC_1-3-3_n41,0.5,0.5,0.33 / 0.84
DC_1_n3-n41,0.5,0.5,0.33 / 0.84
DC_1-41_n3,0.5,0.33 / 0.84,0.5
DC_1_n3-n75,0.5,0.5,N/A
DC_1-3_n77,0.6,0.6,0.8
DC_1_n3-n77,0.6,0.6,0.8
DC_1-3_n71,0.3,0.3,0.3
DC_1-3_n78DC_1-3-3_n78DC_1-1-3-3_n78,0.6,0.6,0.8
DC_1-3_n79,0.3,0.3,-
DC_1_n3-n78,0.6,0.6,0.8
DC_1_n3-n79,0.3,0.3,0.8
DC_1-3_n105,0.3,0.3,0.6
DC_1-5_n3,0.3,0.3,0.3
DC_1-5_n28,0.3,0.5,0.6
DC_1-5_n40,0.6,0.3,0.5
DC_1_n5-n40,0.6,0.6,0.9
DC_1-5_n77,0.3,0.6,0.8
DC_1-5_n78,0.3,0.6,0.8
DC_1-5_n79,0.3,0.3,-
DC_1-7_n1,0.5,0.6,0.5
DC_1-7_n3,0.6,0.6,0.6
DC_1-7_n5,0.5,0.6,0.3
DC_1-7_n7DC_1-(n)7,0.5,0.6,0.6
DC_1-7_n8DC_1-7-7_n8,0.5,0.6,0.6
DC_1-7_n20,0.5,0.6,0.3
DC_1-7_n26,0.5,0.6,0.3
DC_1-7_n28,0.5,0.6,0.6
DC_1-7_n38,0.5,N/A,N/A
DC_1-7_n40DC_1-7-7_n40,0.6,0.8,0.9
DC_1-7_n77,0.6,0.6,0.8
DC_1-7_n78DC_1-7-7_n78,0.6,0.6,0.8
DC_1-7_n105,0.5,0.6,0.6
DC_1_n7-n78,0.6,0.6,0.8
DC_1-8_n1,0.3,0.3,0.3
DC_1-8_n3,0.3,0.3,0.3
DC_1-8_n3DC_1-8_n28,0.3,0.6,0.6
DC_1_n8-n40,0.3,0.3,0.5
DC_1-8_n41,0.5,0.6,0.6
DC_1-8_n71,0.3,0.6,0.6
DC_1-8_n77,0.3,0.6,0.8
DC_1_n8-n77,0.3,0.6,0.8
DC_1-8_n78,0.3,0.6,0.8
DC_1_n8-n78,0.3,0.6,0.8
DC_1-8_n79,0.3,0.3,-
DC_1-11_n3,0.3,0.8,0.9
DC_1-11_n28,0.3,0.4,0.6
DC_1-11_n41,0.5,0.3,0.5
DC_1-11_n77,0.6,0.4,0.8
DC_1-11_n78,0.3,0.4,0.8
DC_1-11_n79,0.3,0.3,-
DC_1-18_n3,0.3,0.3,0.3
DC_1-18_n28,0.3,0.5,0.5
DC_1-18_n41,0.5,0.3,0.5
DC_1-18_n77,0.3,0.3,0.8
DC_1-18_n78,0.3,0.3,0.8
DC_1-19_n77,0.3,0.3,0.8
DC_1-19_n78,0.3,0.3,0.8
DC_1-19_n79,0.3,0.3,-
DC_1-20_n1,0.3,0.3,0.3
DC_1-20_n3,0.3,0.3,0.3
DC_1-20_n7,0.5,0.3,0.6
DC_1-20_n8,0.3,0.4,0.4
DC_1-20_n28,0.5,0.6,0.6
DC_1-20_n38,0.5,0.3,0.5
DC_1-20_n41,0.5,0.3,0.51 / 1.22
DC_1-20_n78DC_1-1-20_n78,0.3,0.3,0.8
DC_1-21_n28,0.3,0.4,0.6
DC_1-21_n77,0.3,0.3,0.8
DC_1-21_n78,0.6,0.4,0.8
DC_1-21_n79,0.3,0.3,-
DC_1-26_n78DC_1-1-20_n78,0.3,0.6,0.8
DC_1_n26-n78,0.3,0.6,0.8
DC_1-28_n3,0.3,0.6,0.3
DC_1-28_n5,0.3,0.5,0.5
DC_1-28_n7,0.5,0.6,0.6
DC_1-28_n20,0.3,0.6,0.6
DC_1-28_n38,0.5,0.6,0.6
DC_1-28_n71,0.3,1.1,1.1
DC_1-28_n77,0.3,0.6,0.8
DC_1-28_n78,0.3,0.6,0.8
DC_1_n28-n75,0.3,0.7,N/A
DC_1_n28-n78,0.3,0.6,0.8
DC_1_n28-n79,0.3,0.6,-
DC_1_n28-n40,0.6,0.3,0.5
DC_1_n28-n77,0.6,0.6,0.8
DC_1-28_n40,0.6,0.3,0.5
DC_1-32_n3,0.5,N/A,0.5
DC_1-32_n8,0.5,N/A,0.3
DC_1-32_n28,0.3,N/A,0.7
DC_1-32_n41,0.5,N/A,0.6
DC_1-32_n78,0.5,N/A,0.8
DC_1-38_n3,0.5,0.5,0.5
DC_1-38_n7,0.5,N/A,N/A
DC_1-38_n8,0.5,0.5,0.3
DC_1-38_n28,0.5,0.5,0.6
DC_1-(n)38,0.5,0.5,0.5
DC_1-38_n78,0.5,0.5,0.8
DC_1_n38-n78,0.5,0.5,0.8
DC_1A-40A_n28A,0.5,0.6,0.6
DC_1_n40-n41,0.6,0.9,0.8
DC_1_n40-n71,0.5,0.5,0.6
DC_1_n40-n77,0.3,0.5,0.8
DC_1-40_n78,0.6,0.35,0.85
DC_1_n40-n78,0.3,0.5,0.8
DC_1_n40-n105,0.5,0.5,0.6
DC_1-41_n1,0.5,0.5,0.5
DC_1-41_n3,0.5,0.33 / 0.84,0.5
DC_1-41_n28,0.5,0.5,0.5
DC_1-(n)41,0.5,0.5,0.5
DC_1-41_n41,0.5,0.5,0.5
DC_1-41_n77,0.5,0.5,0.8
DC_1_n41-n77,0.5,0.5,0.8
DC_1-41_n78,0.5,0.5,0.8
DC_1_n41-n78,0.5,0.5,0.8
DC_1-41_n79,0.5,0.5,-
DC_1-42_n3,0.3,0.8,0.6
DC_1-42_n28,0.3,0.8,0.8
DC_1-42_n77,0.6,N/A,0.8
DC_1-42_n78,0.3,N/A,0.8
DC_1-42_n79,0.3,N/A,-
DC_1_n71-n77,0.6,0.6,0.8
DC_1_n75-n78,0.5,N/A,0.8
DC_1_n77-n79,0.6,0.8,-
DC_1_SUL_n77-n80,0.6,0.8,0.6
DC_1_SUL_n77-n84,0.6,0.8,0.6
DC_1_SUL_n78-n84,0.3,0.8,0.3
DC_1_n78-n79,0.3,0.8,0.5
DC_1_SUL_n78-n80,0.6,0.8,0.6
DC_1_n78-n105,0.3,0.8,0.6
DC_2_n2-n7,0.5,0.5,0.5
DC_2_n2-n38,0.5,0.5,0.9
DC_2_n2-n41,0.5,0.5,0.5
DC_2_n2-n66,0.5,0.5,0.5
DC_2_n2-n71,0.3,0.3,0.3
DC_2_n2-n77,0.6,0.6,0.8
DC_2_n2-n78,0.6,0.6,0.8
DC_2-4_n28,0.5,0.5,0.8
DC_2-4_n38,0.5,0.5,0.5
DC_2-4_n41,0.5,0.5,0.5
DC_2-4_n78,0.6,0.6,0.8
DC_2-5_n2DC_2-5-5_n2,0.3,0.3,0.3
DC_2-5_n5DC_2-2-5_n5DC_2-(n)5DC_2-2-(n)5,0.3,0.3,0.3
DC_2-5_n7DC_2-2-5_n7,0.5,0.3,0.5
DC_2_n5-n7,0.5,0.6,0.4
DC_2-5_n12,0.3,0.8,0.4
DC_2-5_n30DC_2-2-5_n30,0.5,0.3,0.3
DC_2-5_n41,0.5,0.6,0.41 / 0.92
DC_2-5_n48,0.6,0.3,0.8
DC_2-5_n66DC_2-5-5_n66,0.5,0.3,0.5
DC_2-5_n71,0.3,0.5,0.5
DC_2-5_n77DC_2-2-5_n77,0.6,0.6,0.8
DC_2-5_n78DC_2-2-5_n78,0.6,0.6,0.8
