Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)12",,,
,Component band in order of bands in configuration13,,,
DC_1-(n)3-n8,0.3,0.3,0.3,0.3
DC_1-3_n1-n41DC_1-3-3_n1-n41,0.5,0.5,0.5,0.34/0.85
DC_1-3_n1-n78DC_1-3-3_n1-n78,0.5,0.5,0.5,0.8
DC_1-3_n3-n41,0.5,0.5,0.5,0.34/0.85
DC_1-3_n3-n77DC_1-(n)3-n77,0.6,0.6,0.6,0.8
DC_1-3_n3-n78DC_1-(n)3-n78,0.6,0.6,0.6,0.8
DC_1-3_n5-n40,0.6,0.6,0.6,0.9
DC_1-3-5_n28,0.3,0.3,0.7,0.7
DC_1-3-5_n40,0.6,0.6,0.6,0.9
DC_1-3-5_n77,0.6,0.6,0.6,0.8
DC_1-3-5_n78,0.6,0.6,0.3,0.8
DC_1-3-5_n79,0.3,0.3,0.3,-
DC_1-3-7_n3,0.6,0.6,0.6,0.6
DC_1-3-7_n1,0.6,0.6,0.6,0.6
DC_1-3-7_n5,0.6,0.6,0.6,0.3
DC_1-3-7_n7DC_1-3-(n)7,0.6,0.6,0.6,0.6
DC_1-3-7_n8DC_1-3-3-7_n8DC_1-3-7-7_n8DC_1-3-3-7-7_n8,0.6,0.6,0.6,0.3
DC_1-3-7_n26,0.6,0.6,0.6,0.3
DC_1-3-7_n28DC_1-3-7-7_n28,0.6,0.6,0.6,0.6
DC_1-3-7_n38,0.6,0.6,N/A,N/A
DC_1-3-7_n40DC_1-3-7-7_n40,0.6,0.6,0.8,0.9
DC_1-3-7_n77,0.6,0.6,0.6,0.8
DC_1-3-7_n78DC_1-3-3-7_n78DC_1-3-3-7-7_n78DC_1-3-7-7_n78DC_1-1-3-3-7_n78,0.7,0.7,0.7,0.8
DC_1-3_n7-n78,0.7,0.7,0.7,0.8
DC_1-3-7_n105,0.6,0.6,0.6,0.6
DC_1-3-8_n1DC_1-3-3-8_n1,0.3,0.3,0.3,0.3
DC_1-3-8_n7,0.6,0.6,0.6,0.6
DC_1-3-8_n28,0.3,0.3,0.6,0.6
DC_1-3-8_n40,0.6,0.6,0.6,0.9
DC_1-3-8_n41DC_1-3-3-8_n41,0.5,0.5,0.3,0.34 / 0.85
DC_1-3-8_n71,0.3,0.3,0.6,0.6
DC_1-3-8_n77,0.6,0.6,0.6,0.8
DC_1_n3-n8-n77DC_1-3-3-8_n78,0.6,0.6,0.6,0.8
DC_1-3-8_n78,0.6,0.6,0.6,0.8
DC_1-3_n8-n78DC_1-3-3_n8-n78,0.6,0.6,0.6,0.8
DC_1-3-8_n79,0.3,0.3,0.3,-
DC_1-3-11_n28,0.3,0.8,0.9,0.6
DC_1-3-11_n77,0.6,0.8,0.9,0.8
DC_1-3-18_n3,0.3,0.3,0.3,0.3
DC_1-3-18_n28,0.3,0.3,0.3,0.6
DC_1-3-18_n41,0.3,0.3,0.3,0.34
DC_1-3-28_n3,0.3,0.3,0.6,0.3
DC_1-3-18_n77,0.6,0.6,0.3,0.8
DC_1-3-18_n78,0.6,0.6,0.3,0.8
DC_1-3-18_n79,0.3,0.3,0.3,-
DC_1-3-19_n78,0.6,0.6,0.3,0.8
DC_1-3-19_n79,0.3,0.3,0.3,-
DC_1-3-20_n1DC_1-3-3-20_n1,0.3,0.3,0.3,0.3
DC_1-3-20_n3,0.3,0.3,0.3,0.3
DC_1-3-20_n7,0.3,0.5,0.3,0.5
DC_1-3-20_n8,0.6,0.6,0.6,0.6
DC_1-3-20_n28,0.3,0.3,0.6,0.6
DC_1-3-20_n38,0.5,0.5,0.5,0.5
DC_1-3-20_n41DC_1-3-3-20_n41,0.5,0.5,0.3,0.84 / 1.35
DC_1-3-20_n78DC_1-1-3-20_n78DC_1-3-3-20_n78,0.6,0.6,0.3,0.8
DC_1-3-21_n77,0.6,0.8,0.9,0.8
DC_1-3-21_n78,0.6,0.8,0.9,0.8
DC_1-3-21_n79,0.3,0.8,0.9,-
DC_1-3-26_n78,0.6,0.6,0.3,0.8
DC_1-3_n26-n78,0.6,0.6,0.3,0.8
DC_1-3-28_n5,0.3,0.3,0.6,0.6
DC_1-3-28_n7,0.6,0.6,0.6,0.6
DC_1-3-28_n38,0.6,0.6,0.6,0.6
DC_1-3-28_n40,0.5,0.5,0.6,0.5
DC_1-3-28_n71,0.3,0.3,1.1,1.1
