UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
3,n41,1775,20,15,50 (RBstart=50),2501,10,0.7,>ACLR2
n41,1,2546,100,30,270 (RBstart=0),2167.5,5,12.4,>ACLR2
n41,2,2546,100,30,270 (RBstart=0),1987.5,5,1.6,>ACLR2
n41,3,2546,100,30,270 (RBstart=0),1877.5,5,2.3,>ACLR2
n41,4,2546,100,30,270 (RBstart=0),2152.5,5,12.4,>ACLR2
n41,25,2546,100,30,270 (RBstart=0),1992.5,5,1.6,>ACLR2
n41,40,2546,100,30,270 (RBstart=0),2397.5,5,34.4,ACLR2
n41,66,2546,100,30,270 (RBstart=0),2177.5,5,12.4,>ACLR2
n77,2,3350,100,30,270 (RBstart=0),1987.5,5,1.0,>ACLR2
n77,30,3350,100,30,270 (RBstart=0),2357.5,5,1.0,>ACLR2
n77,401,3350,100,30,270 (RBstart=0),2395,10,6.5,>ACLR2
n77,411,3350,100,30,270 (RBstart=0),2687.5,5,6.5,>ACLR2
n77,66,3350,100,30,270 (RBstart=0),2177.5,5,1.0,>ACLR2
n78,7,3350,100,30,270 (RBstart=0),2687.5,5,6.5,>ACLR2
n78,25,3350,100,30,270 (RBstart=0),1992.5,5,1.0,>ACLR2
n78,38,3350,100,30,270 (RBstart=0),2617.5,5,5.3,>ACLR2
n78,401,3350,100,30,270 (RBstart=0),2397.5,5,6.7,>ACLR2
n78,411,3350,100,30,270 (RBstart=0),2687.5,5,6.5,>ACLR2
NOTE 1: Applicable only when harmonic mixing MSD for this combination is not applied.,,,,,,,,,
