Parameter,Ch BW,Allocated RBs,UL-DL Configuration (NOTE 2),Special subframe configuration (NOTE 3),DFT-OFDM Symbols per Sub-Frame,Mod'n,Target Coding rate,"Payload size for Sub-Frame 2, 7",Trans-port block CRC,Number of code blocks per Sub-Frame (NOTE 1),"Total number of bits per Sub-Frame for Sub-Frame 2, 7","Total symbols per Sub-Frame for Sub-Frame 2, 7",UE Category (NOTE 4)
Unit,MHz,,,,,,,Bits,Bits,,Bits,,
,1.4 - 20,1,2,7,12,64QAM,3/4,616,24,1,864,144,"5,8"
,1.4 - 20,2,2,7,12,64QAM,3/4,1256,24,1,1728,288,"5,8"
,1.4 - 20,3,2,7,12,64QAM,3/4,1864,24,1,2592,432,"5,8"
,1.4 - 20,4,2,7,12,64QAM,3/4,2536,24,1,3456,576,"5,8"
,1.4 - 20,5,2,7,12,64QAM,3/4,3112,24,1,4320,720,"5,8"
,3-20,6,2,7,12,64QAM,3/4,3752,24,1,5184,864,"5,8"
,3-20,8,2,7,12,64QAM,3/4,5160,24,1,6912,1152,"5,8"
,3-20,9,2,7,12,64QAM,3/4,5736,24,1,7776,1296,"5,8"
,3-20,10,2,7,12,64QAM,3/4,6200,24,2,8640,1440,"5,8"
,3-20,12,2,7,12,64QAM,3/4,7480,24,2,10368,1728,"5,8"
,5-20,15,2,7,12,64QAM,3/4,9528,24,2,12960,2160,"5,8"
,5-20,16,2,7,12,64QAM,3/4,10296,24,2,13824,2304,"5,8"
,5-20,18,2,7,12,64QAM,3/4,11448,24,2,15552,2592,"5,8"
,5-20,20,2,7,12,64QAM,3/4,12576,24,3,17280,2880,"5,8"
,5-20,24,2,7,12,64QAM,3/4,15264,24,3,20736,3456,"5,8"
,10-20,25,2,7,12,64QAM,3/4,15840,24,3,21600,3600,"5,8"
,10-20,27,2,7,12,64QAM,3/4,16992,24,3,23328,3888,"5,8"
,10-20,30,2,7,12,64QAM,3/4,19080,24,4,25920,4320,"5,8"
,10-20,32,2,7,12,64QAM,3/4,20616,24,4,27648,4608,"5,8"
,10-20,36,2,7,12,64QAM,3/4,22920,24,4,31104,5184,"5,8"
,10-20,40,2,7,12,64QAM,3/4,25456,24,5,34560,5760,"5,8"
,10-20,45,2,7,12,64QAM,3/4,28336,24,5,38880,6480,"5,8"
,10-20,48,2,7,12,64QAM,3/4,30576,24,5,41472,6912,"5,8"
,15 - 20,50,2,7,12,64QAM,3/4,31704,24,6,43200,7200,"5,8"
,15 - 20,54,2,7,12,64QAM,3/4,34008,24,6,46656,7776,"5,8"
,15 - 20,60,2,7,12,64QAM,3/4,37888,24,7,51840,8640,"5,8"
,15 - 20,64,2,7,12,64QAM,3/4,40576,24,7,55296,9216,"5,8"
,1.4 - 20,1,2,7,12,64QAM,3/4,616,24,1,864,144,"5,8"
,1.4 - 20,2,2,7,12,64QAM,3/4,1256,24,1,1728,288,"5,8"
,1.4 - 20,3,2,7,12,64QAM,3/4,1864,24,1,2592,432,"5,8"
,1.4 - 20,4,2,7,12,64QAM,3/4,2536,24,1,3456,576,"5,8"
,1.4 - 20,5,2,7,12,64QAM,3/4,3112,24,1,4320,720,"5,8"
,3-20,6,2,7,12,64QAM,3/4,3752,24,1,5184,864,"5,8"
,3-20,8,2,7,12,64QAM,3/4,5160,24,1,6912,1152,"5,8"
,3-20,9,2,7,12,64QAM,3/4,5736,24,1,7776,1296,"5,8"
,3-20,10,2,7,12,64QAM,3/4,6200,24,2,8640,1440,"5,8"
,3-20,12,2,7,12,64QAM,3/4,7480,24,2,10368,1728,"5,8"
,5-20,15,2,7,12,64QAM,3/4,9528,24,2,12960,2160,"5,8"
,5-20,16,2,7,12,64QAM,3/4,10296,24,2,13824,2304,"5,8"
,5-20,18,2,7,12,64QAM,3/4,11448,24,2,15552,2592,"5,8"
,5-20,20,2,7,12,64QAM,3/4,12576,24,3,17280,2880,"5,8"
,5-20,24,2,7,12,64QAM,3/4,15264,24,3,20736,3456,"5,8"
,10-20,25,2,7,12,64QAM,3/4,15840,24,3,21600,3600,"5,8"
,10-20,27,2,7,12,64QAM,3/4,16992,24,3,23328,3888,"5,8"
,10-20,30,2,7,12,64QAM,3/4,19080,24,4,25920,4320,"5,8"
,15 - 20,50,2,7,12,64QAM,3/4,31704,24,6,43200,7200,"5,8"
,15 - 20,54,2,7,12,64QAM,3/4,34008,24,6,46656,7776,"5,8"
,15 - 20,60,2,7,12,64QAM,3/4,37888,24,7,51840,8640,"5,8"
,15 - 20,64,2,7,12,64QAM,3/4,40576,24,7,55296,9216,"5,8"
,15 - 20,72,2,7,12,64QAM,3/4,45352,24,8,62208,10368,"5,8"
,20,75,2,7,12,64QAM,3/4,46888,24,8,64800,10800,"5,8"
,20,80,2,7,12,64QAM,3/4,51024,24,9,69120,11520,"5,8"
,20,81,2,7,12,64QAM,3/4,51024,24,9,69984,11664,"5,8"
,20,90,2,7,12,64QAM,3/4,51024,24,9,77760,12960,"5,8"
,20,96,2,7,12,64QAM,3/4,61664,24,11,82944,13824,"5,8"
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 2:As per Table 4.2-2 in TS 36.211 [7].NOTE 3:As per Table 4.2-1 in TS 36.211 [7]NOTE 4: If UE does not report UE UL category, then the applicability of reference channel is determined by UE category. If UE reports UE UL category, then the applicability of reference channel is determined by UE UL category",,,,,,,,,,,,,
