NR operating band,ΔFRaster(kHz),Uplinkrange of NREF(First – <Step size> – Last),Downlinkrange of NREF(First – <Step size> – Last)
n1,100,384000 – <20> – 396000,422000 – <20> – 434000
n2,100,370000 – <20> – 382000,386000 – <20> – 398000
n3,100,342000 – <20> – 357000,361000 – <20> – 376000
n5,100,164800 – <20> – 169800,173800 – <20> – 178800
n7,100,500000 – <20> – 514000,524000 – <20> – 538000
n8,100,176000 – <20> – 183000,185000 – <20> – 192000
n12,100,139800 – <20> – 143200,145800 – <20> – 149200
n13,100,155400 – <20> – 157400,149200 – <20> – 151200
n14,100,157600 – <20> –159600,151600 – <20> – 153600
n18,100,163000 – <20> – 166000,172000 – <20> – 175000
n20,100,166400 – <20> – 172400,158200 – <20> – 164200
n25,100,370000 – <20> – 383000,386000 – <20> – 399000
n24,100,325300 – <20> – 332100,305000 – <20> – 311800
n26,100,162800 – <20> – 169800,171800 – <20> – 178800
n28,100,140600 – <20> – 149600,151600 – <20> – 160600
,,,
n29,100,N/A,143400 – <20> – 145600
n30,100,461000 – <20> – 463000,470000 – <20> – 472000
n31,100,90500 – <20> – 91500,92500 – <20> – 93500
n34,100,402000 – <20> – 405000,402000 – <20> – 405000
n38,100,514000 – <20> – 524000,514000 – <20> – 524000
n39,100,376000 – <20> – 384000,376000 – <20> – 384000
n40,100,460000 – <20> – 480000,460000 – <20> – 480000
n41,15,499200 – <3> – 537999,499200 – <3> – 537999
,30,499200 – <6> – 537996,499200 – <6> – 537996
n461,15,743334  – <1> – 795000,743334  – <1> – 795000
n48,15,636667 – <1> – 646666,636667 – <1> – 646666
,30,636668 – <2> – 646666,636668 – <2> – 646666
n50,100,286400 – <20> – 303400,286400 – <20> – 303400
n51,100,285400 – <20> – 286400,285400 – <20> – 286400
n53,100,496700 – <20> – 499000,496700 – <20> – 499000
n54,100,334000 - <20> - 335000,334000 - <20> - 335000
n65,100,384000 – <20> – 402000,422000 – <20> – 440000
n66,100,342000 – <20> – 356000,422000 – <20> – 440000
n67,100,N/A,147600 – <20> – 151600
n68,100,139600 – <20> – 145600,150600 – <20> – 156600
n70,100,339000 – <20> – 342000,399000 – <20> – 404000
n71,100,132600 – <20> – 139600,123400 – <20> – 130400
n72,100,90200 – <20> – 91200,92200 – <20> – 93200
n74,100,285400 – <20> – 294000,295000 – <20> – 303600
n75,100,N/A,286400 – <20> – 303400
n76,100,N/A,285400 – <20> – 286400
n77,15,620000 – <1> – 680000,620000 – <1> – 680000
,30,620000 – <2> – 680000,620000 – <2> – 680000
n78,15,620000 – <1> – 653333,620000 – <1> – 653333
,30,620000 – <2> – 653332,620000 – <2> – 653332
n79,15,693334 – <1> – 733333,693334 – <1> – 733333
,30,693334 – <2> – 733332,693334 – <2> – 733332
n80,100,342000 – <20> – 357000,N/A
n81,100,176000 – <20> – 183000,N/A
n82,100,166400 – <20> – 172400,N/A
n83,100,140600 – <20> –149600,N/A
n84,100,384000 – <20> – 396000,N/A
n85,100,139600 – <20> – 143200,145600 – <20> – 149200
n86,100,342000 – <20> – 356000,N/A
n87,100,82000 – <20> – 83000,84000 – <20> – 85000
n88,100,82400 – <20> – 83400,84400 – <20> – 85400
n89,100,164800 – <20> – 169800,N/A
,15,499200 – <3> – 537999,499200 – <3> – 537999
n90,30,499200 – <6> – 537996,499200 – <6> – 537996
,100,499200 – <20> – 538000,499200 – <20> – 538000
n91,100,166400 – <20> – 172400,285400 – <20> – 286400
n92,100,166400 – <20> – 172400,286400 – <20> – 303400
n93,100,176000 – <20> – 183000,285400 – <20> – 286400
n94,100,176000 – <20> – 183000,286400 – <20> – 303400
n95,100,402000 – <20> – 405000,N/A
n962,15,795000 – <1> – 875000,795000 – <1> – 875000
n97,100,460000 – <20> – 480000,N/A
n98,100,376000 – <20> – 384000,N/A
n99,100,325300 -- <20> – 332100,N/A
n100,100,174880 – <20> – 176000,183880 – <20> – 185000
n101,100,380000 – <20> – 382000,380000 – <20> – 382000
n1023,15,795000 – <1> – 828333,795000 – <1> – 828333
n104,15,828334 – <1> – 875000,828334 – <1> – 875000
,30,828334 – <2> – 875000,828334 – <2> – 875000
n105,100,132600 – <20> – 140600,122400 – <20> – 130400
n1065,100,179200 – <20> – 180200,187000 – <20> – 188000
n109,100,140600 – <20> – 146600,286400 – <20> – 303400
n110,100,278000 – <20> – 279000,286400 – <20> – 287000
