BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
3,15,G-FR1-A2-15,-73.6,-84.7,AWGN
5,15,G-FR1-A2-1,-70.7,-82.5,AWGN
,30,G-FR1-A2-2,-71.4,,
7,15,G-FR1-A2-1,-70.7,-81.0,AWGN
10,15,G-FR1-A2-1,-70.7,-79.3,AWGN
,30,G-FR1-A2-2,-71.4,,
,60,G-FR1-A2-3,-68.4,,
15,15,G-FR1-A2-1,-70.7,-77.5,AWGN
,30,G-FR1-A2-2,-71.4,,
,60,G-FR1-A2-3,-68.4,,
20,15,G-FR1-A2-4,-64.5,-76.2,AWGN
,30,G-FR1-A2-5,-64.5,,
,60,G-FR1-A2-6,-64.8,,
25,15,G-FR1-A2-4,-64.5,-75.2,AWGN
,30,G-FR1-A2-5,-64.5,,
,60,G-FR1-A2-6,-64.8,,
30,15,G-FR1-A2-4,-64.5,-74.4,AWGN
,30,G-FR1-A2-5,-64.5,,
,60,G-FR1-A2-6,-64.8,,
35,15,G-FR1-A2-4,-64.5,-73.7,AWGN
,30,G-FR1-A2-5,-64.5,,
,60,G-FR1-A2-6,-64.8,,
40,15,G-FR1-A2-4,-64.5,-73.1,AWGN
,30,G-FR1-A2-5,-64.5,,
,60,G-FR1-A2-6,-64.8,,
45,15,G-FR1-A2-4,-64.5,-72.6,AWGN
,30,G-FR1-A2-5,-64.5,,
,60,G-FR1-A2-6,-64.8,,
50,15,G-FR1-A2-4,-64.5,-72.1,AWGN
,30,G-FR1-A2-5,-64.5,,
,60,G-FR1-A2-6,-64.8,,
60,30,G-FR1-A2-5,-64.5,-71.3,AWGN
,60,G-FR1-A2-6,-64.8,,
70,30,G-FR1-A2-5,-64.5,-70.7,AWGN
,60,G-FR1-A2-6,-64.8,,
80,30,G-FR1-A2-5,-64.5,-70.1,AWGN
,60,G-FR1-A2-6,-64.8,,
90,30,G-FR1-A2-5,-64.5,-69.5,AWGN
,60,G-FR1-A2-6,-64.8,,
100,30,G-FR1-A2-5,-64.5,-69.1,AWGN
,60,G-FR1-A2-6,-64.8,,
"NOTE:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.",,,,,
