Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB),
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-8,pos1,-2.3,
,2,Normal,TDLC300-100 Low,70 %,G-FR1-A4-8,pos1,10.1,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-8,pos1,12.3,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-1,pos1,19.1,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-8,pos1,-5.8,
1,4,Normal,TDLC300-100 Low,70 %,G-FR1-A4-8,pos1,6.2,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-8,pos1,8.8,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-1,pos1,15.5,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-8,pos1,-8.7,
,8,Normal,TDLC300-100 Low,70 %,G-FR1-A4-8,pos1,3.0,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-8,pos1,5.6,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-1,pos1,12.4,
,2,Normal,TDLB100-400 Low,70 %,G-FR1-A3-22,pos1,1.0,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-22,pos1,18.2,
2,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-22,pos1,-2.3,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-22,pos1,11.0,
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-22,pos1,-5.3,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-22,pos1,6.8,
3,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-43,pos1,0.3,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-21,pos1,15.5,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-17,pos1,17.0,
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-43,pos1,-3.4,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-21,pos1,9.6,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-17,pos1,11.7,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-39,pos1,1.8,
,4,Normal,TDLC300-100 Low,70 %,G-FR1-A7-1,pos1,14.6,
4,,Normal,TDLA30-10 Low,70 %,G-FR1-A11-1,pos1,19.2,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-39,pos1,-1.5,
,8,Normal,TDLC300-100 Low,70 %,G-FR1-A7-1,pos1,8.0,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A11-1,pos1,11.6,
