Test,Number,Number,Cyclic,Propagation,Additional,Channel bandwidth / SNR (dB),,,
Number,of TX antennas,of RX antennas,Prefix,conditions and correlation matrix (Annex G),DM-RS configuration,10 MHz,20 MHz,40 MHz,100 MHz
1,1,2,Normal,TDLC300-100 Low,No additional DM-RS,0.9,0.6,0.6,0.9
,,,,,Additional DM-RS,0.5,0.3,0.0,0.1
,,4,Normal,TDLC300-100 Low,No additional DM-RS,-3.1,-3.4,-3.2,-3.5
,,,,,Additional DM-RS,-3.7,-4.1,-4.0,-4.2
,,8,Normal,TDLC300-100 Low,No additional DM-RS,-6.6,-6.7,-6.8,-6.8
,,,,,Additional DM-RS,-7.5,-7.6,-7.6,-7.7
2,1,2,Normal,TDLC300-100 Low,No additional DM-RS,1.8,2.0,2.0,1.5
,,4,Normal,TDLC300-100 Low,No additional DM-RS,-2.9,-3.0,-2.4,-3.0
,,8,Normal,TDLC300-100 Low,No additional DM-RS,-6.4,-6.0,-6.4,-6.2
