Parameter,,Value
Transform precoding,,Disabled
Default TDD UL-DL pattern (Note 1),,"60 kHz and 120kHz SCS:3D1S1U, S=10D:2G:2U"
HARQ,Maximum number of HARQ transmissions,4
,RV sequence,"0, 3, 0,3"
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,Additional DM-RS symbols,Pos1
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port(s),0
,DM-RS sequence generation,"NID=0, nSCID =0"
Time domain,PUSCH mapping type,B
resource,Start symbol index,0
,Allocation length,10
,PUSCH aggregation factor (Note 2),n8
Frequency domain,RB assignment,Full applicable test bandwidth
resource,Frequency hopping,Disabled
Code block group based PUSCH transmission,,Disabled
PT-RS,Frequency density (KPT-RS),Disabled
configuration,Time density (LPT-RS),Disabled
"NOTE 1:The effective RV sequence is {0,2,3,1} with slot aggregationNOTE 2:   The intention of this configuration is to have two effective transmissions of the transport block. To achieve this for the standard TDD pattern captured in this table, a value of n8 is necessary",,
