Reference channel,G-FR2-A3-18,G-FR2-A3-19,G-FR2-A3-20,G-FR2-A3-21,G-FR2-A3-22
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),8,8,8,8,8
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024,193/1024
Payload size (bits),4744,9480,2408,4744,9480
Transport block CRC (bits),24,24,16,24,24
Code block CRC size (bits),24,24,-,24,24
Number of code blocks - C,2,3,1,2,3
Code block size including CRC (bits) (Note 2),2408,3192,2424,2408,3192
Total number of bits per slot,25344,50688,12288,25344,50688
Total symbols per slot,12672,25344,6144,12672,25344
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,,,,
