Reference channel,G-FR2-A3A-1,G-FR2-A3A-2,G-FR2-A3A-3,G-FR2-A3A-4
Subcarrier spacing [kHz],60,60,120,120
Allocated resource blocks,66,132,32,66
Data bearing CP-OFDM Symbols per slot (Note 1),3,3,3,3
Modulation,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),99/1024,99/1024,99/1024,99/1024
Payload size (bits),456,928,224,456
Transport block CRC (bits),16,16,16,16
Code block CRC size (bits),-,-,-,-
Number of code blocks - C,1,1,1,1
Code block size including CRC (bits) (Note 2),472,944,240,472
Total number of bits per slot,4752,9504,2304,4752
Total symbols per slot,2376,4752,1152,2376
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, additional DM-RS position = pos0, l0= 0 as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
