Reference channel,G-FR1-A3B-1,G-FR1-A3B-2,G-FR1-A3B-3,G-FR1-A3B-4
Subcarrier spacing (kHz),15,15,30,30
Allocated resource blocks,25,52,24,106
Data bearing CP-OFDM Symbols per slot (Note 1),1,1,1,1
Modulation,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),308/1024,308/1024,308/1024,308/1024
Payload size (bits),176,368,168,768
Transport block CRC (bits),16,16,16,16
Code block CRC size (bits),-,-,-,-
Number of code blocks - C,1,1,1,1
Code block size including CRC (bits) (Note 2),192,384,184,784
Total number of bits per slot,600,1248,576,2544
Total resource elements per slot,300,624,288,1272
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, additional DM-RS position = pos0, l0 = 0 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15]..",,,,
