Reference channel,G-FR1-A3B-7,G-FR1-A3B-8
Subcarrier spacing [kHz],15,30
Allocated resource blocks,25,24
CP-OFDM Symbols per slot (Note 1),13,13
Modulation,QPSK,QPSK
Code rate (Note 2),308/1024,308/1024
Payload size (bits),2408,2280
Transport block CRC (bits),16,16
Code block CRC size (bits),-,-
Number of code blocks - C,1,1
Code block size including CRC (bits) (Note 2),2424,2296
Total number of bits per slot,7800,7488
Total resource elements per slot,3900,3744
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos0 l0 = 2 and l = 11 for PUSCH mapping type A, l0 = 0 and l = 10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,
