Reference channel,G-FR2-A4-11,G-FR2-A4-12,G-FR2-A4-13 (Note 3),G-FR2-A4-14,G-FR2-A4-15
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),8,8,8,8,8
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate (Note 2),658/1024,658/1024,658/1024,658/1024,658/1024
Payload size (bits),16392,32776,7936,16392,32776
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),24,24,-,24,24
Number of code blocks - C,2,4,1,2,4
Code block size including CRC (bits) (Note 2),8232,8224,7960,8232,8224
Total number of bits per slot without PT-RS,25344,50688,12288,25344,50688
Total number of bits per slot with PT-RS (Note 4),24288,48576,11776,24288,48576
Total symbols per slot without PT-RS,6336,12672,3072,6336,12672
Total symbols per slot with PT-RS (Note 4),6072,12144,2944,6072,12144
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:The calculation of the “Total number of bits per slot” and “Total symbols per slot” fields include the REs taken up by CSI part 1 and CSI part 2, if present.NOTE 4:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,,,
