Reference channel,G-FR2-A7-11,G-FR2-A7-12,G-FR2-A7-13
Subcarrier spacing [kHz],120,120,480
Allocated resource blocks,66,264,66
CP-OFDM Symbols per slot (Note 1),8,8,8
Modulation,16QAM,16QAM,16QAM
Code rate (Note 2),434/1024,434/1024,434/1024
Payload size (bits),21504,86040,21504
Transport block CRC (bits),24,24,24
Code block CRC size (bits),24,24,24
Number of code blocks - C,3,11,3
Code block size including CRC (bits) (Note 2),7200,7848,7200
Total number of bits per slot without PT-RS,50688,202752,50688
Total number of bits per slot with PT-RS (Note 4),48576,194304,48576
Total symbols per slot without PT-RS,12672,50688,12672
Total symbols per slot with PT-RS (Note 4),12144,48576,12144
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:The calculation of the “Total number of bits per slot” and “Total symbols per slot” fields include the REs taken up by CSI part 1 and CSI part 2, if present.NOTE 4:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,
