Channelbandwidth (MHz),FFT size,CP length for symbols 113 in FFT samples,EVM window length W,Ratio of W to total CP length for symbols 113 (Note) (%),
5,256,18,8,40,
10,512,36,14,40,
15,768,54,22,40,
20,1024,72,28,40,
25,1024,72,36,50,
30,1536,108,54,50,
35,1536,108,54,50,
40,2048,144,72,50,
45,2048,144,72,50,
50,2048,144,72,50,
60,3072,216,130,60,
70,3072,216,130,60,
80,4096,288,172,60,
90,4096,288,172,60,
100,4096,288,172,60,
NOTE:These percentages are informative and apply to a slot's symbols 1 through 13. Symbol 0 has a longer CP and therefore a lower percentage.,,,,,
