Accuracy,,Conditions,,,,,,
Normal condition,Extreme condition,CSI-RS Ês/Iot,Io Note 1 range,,,,,
,,,NR operating band groups,Minimum Io,,,,Maximum Io
dB,dB,dB,,dBm / SCS,,,dBm/BW Channel,dBm/BW Channel
,,,,SCS (kHz),,,,
3,4,-3,,15,30,60,,
,,,"NR_FDD_FR1_A, NR_TDD_FR1_A,NR_SDL_FR1_A",-121,-118,-115,N/A,-70
,,,"NR_FDD_FR1_B,NR_TDD_FR1_B",-120.5,-117.5,-114.5,N/A,-70
,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",-120,-117,-114,N/A,-70
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",-119.5,-116.5,-113.5,N/A,-70
,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",-119,-116,-113,N/A,-70
,,,NR_FDD_FR1_F,-118.5,-115.5,-112.5,N/A,-70
,,,"NR_FDD_FR1_G, NR_TDD_FR1_G, NR_SDL_FR1_G",-118,-115,-112,N/A,-70
,,,NR_FDD_FR1_H,-117.5,-114.5,-111.5,N/A,-70
,,,NR_FDD_FR1_N,-114.5,-111.5,-108.5,N/A,-70
3.5,4,-6,Note 2,Note 2,Note 2,Note 2,N/A,Note 2
"NOTE 1:Io is assumed to have constant EPRE across the bandwidth.NOTE 2:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding highest accuracy requirement.NOTE 3:NR operating band groups in FR1 are as defined in clause 3.5.2. NOTE 4:The requirements apply for CSI-RS Ês/Iot XdB. X=15 if timing offset between the reference measurement timing and the target CSI-RS is no larger than 0.5*CP, and X=4 if timing offset between the reference measurement timing and the target CSI-RS is larger than 0.5*CP but no larger than CP.",,,,,,,,
