Reported Quantity Value,Measured Quantity Value,Unit
RX-TX_TIME_DIFFERENCE_0000000,TUE Rx-Tx < -985024,Tc
RX-TX_TIME_DIFFERENCE_0000001,-985024  TUE Rx-Tx < -985023,Tc
RX-TX_TIME_DIFFERENCE_0000002,-985023  TUE Rx-Tx < -985022,Tc
,,…
RX-TX_TIME_DIFFERENCE_0985024,-1  TUE Rx-Tx < 0,Tc
RX-TX_TIME_DIFFERENCE_0985025,0  TUE Rx-Tx < 1,Tc
…,…,…
RX-TX_TIME_DIFFERENCE_1970047,985022  TUE Rx-Tx < 985023,Tc
RX-TX_TIME_DIFFERENCE_1970048,985023  TUE Rx-Tx < 985024,Tc
RX-TX_TIME_DIFFERENCE_1970049,985024  TUE Rx-Tx,Tc
