Reported value,Measured quantity value,Unit
DIFFRSRPP_0,-30≥ΔRSRPP,dB
DIFFRSRPP_1,-29≥ΔRSRPP>-30,dB
DIFFRSRPP_2,-28≥ΔRSRPP>-29,dB
DIFFRSRPP_3,-27≥ΔRSRPP>-28,dB
DIFFRSRPP_4,-26≥ΔRSRPP>-27,dB
DIFFRSRPP_5,-25≥ΔRSRPP>-26,dB
DIFFRSRPP_6,-24≥ΔRSRPP>-25,dB
DIFFRSRPP_7,-23≥ΔRSRPP>-24,dB
DIFFRSRPP_8,-22≥ΔRSRPP>-23,dB
DIFFRSRPP_9,-21≥ΔRSRPP>-22,dB
DIFFRSRPP_10,-20≥ΔRSRPP>-21,dB
DIFFRSRPP_11,-19≥ΔRSRPP>-20,dB
DIFFRSRPP_12,-18≥ΔRSRPP>-19,dB
DIFFRSRPP_13,-17≥ΔRSRPP>-18,dB
DIFFRSRPP_14,-16≥ΔRSRPP>-17,dB
…,…,…
DIFFRSRPP_25,-5≥ΔRSRPP>-6,dB
DIFFRSRPP_26,-4≥ΔRSRPP>-5,dB
DIFFRSRPP_27,-3≥ΔRSRPP>-4,dB
DIFFRSRPP_28,-2≥ΔRSRPP>-3,dB
DIFFRSRPP_29,-1≥ΔRSRPP>-2,dB
DIFFRSRPP_30,0≥ΔRSRPP>-1,dB
DIFFRSRPP_31,1≥ΔRSRPP>0,dB
DIFFRSRPP_32,2≥ΔRSRPP>1,dB
DIFFRSRPP_33,3≥ΔRSRPP>2,dB
DIFFRSRPP_34,4≥ΔRSRPP>3,dB
DIFFRSRPP_35,5≥ΔRSRPP>4,dB
DIFFRSRPP_36,6≥ΔRSRPP>5,dB
…,…,…
DIFFRSRPP_47,17≥ΔRSRPP>16,dB
DIFFRSRPP_48,18≥ΔRSRPP>17,dB
DIFFRSRPP_49,19≥ΔRSRPP>18,dB
DIFFRSRPP_50,20≥ΔRSRPP>19,dB
DIFFRSRPP_51,21≥ΔRSRPP>20,dB
DIFFRSRPP_52,22≥ΔRSRPP>21,dB
DIFFRSRPP_53,23≥ΔRSRPP>-22,dB
DIFFRSRPP_54,24≥ΔRSRPP>23,dB
DIFFRSRPP_55,25≥ΔRSRPP>24,dB
DIFFRSRPP_56,26≥ΔRSRPP>25,dB
DIFFRSRPP_57,27≥ΔRSRPP>26,dB
DIFFRSRPP_58,28≥ΔRSRPP>27,dB
DIFFRSRPP_59,29≥ΔRSRPP>28,dB
DIFFRSRPP_60,30≥ΔRSRPP>29,dB
DIFFRSRPP_61,ΔRSRPP>30,dB
